,Title,List Author,Author(s),Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics,id
9,On the Future of Tax Salience Scholarship: Operative Mechanisms and Limiting Factors [article],David Gamage,"Gamage, David (Cited 267 times)","Florida State University Law Review, Vol. 41, Issue 1 (Fall 2013), pp. 173-204",na,7,na,4,na,6965
10,The Trouble with Tax Increase Limitations [article],David Gamage,"Gamage, David (Cited 267 times); Shanske, Darien (Cited 144 times)","Albany Government Law Review, Vol. 6, Issue 1 (2013), pp. 50-82",na,5,na,4,na,6965
11,Preventing Government Shutdowns: Designing Default Rules for Budgets [article],David Gamage,"Louk, David Scott (Cited 6 times); Gamage, David (Cited 267 times)","University of Colorado Law Review, Vol. 86, Issue 1 (2015), pp. 181-258",86 U. Colo. L. Rev. 181 (2015),4,na,56,na,6965
12,Tax Cannibalization and Fiscal Federalism in the United States [article],David Gamage,"Gamage, David (Cited 267 times); Shanske, Darien (Cited 144 times)","Northwestern University Law Review, Vol. 111, Issue 2 (2017), pp. 295-376",111 Nw. U. L. Rev. 295 (2016-2017),2,na,34,na,6965
13,"The Games They Will Play: Tax Games, Roadblocks, and Glitches under the 2017 Tax Legislation [article]",David Gamage,"Kamin, David (Cited 37 times); Gamage, David (Cited 267 times); Glogower, Ari (Cited 7 times); Kysar, Rebecca (Cited 3 times); Shanske, Darien (Cited 144 times); Avi-Yonah, Reuven (Cited 1233 times); Batchelder, Lily (Cited 4 times); Fleming, J. Clifton; Hemel, Daniel (Cited 40 times); Kane, Mitchell","Minnesota Law Review, Vol. 103, Issue 3 (February 2019), pp. 1439-1522",103 Minn. L. Rev. 1439 (2018-2019),2,na,na,na,6965
14,"A Way Forward for Tax Law and Economics - A Response to Osofsky's Frictions, Screening, and Tax Law Design [comments]",David Gamage,"Gamage, David (Cited 267 times)","Buffalo Law Review, Vol. 62, Issue 1 (January 2014), pp. 189-192",na,1,na,4,na,6965
15,Comments on Daniel Shaviro's Rax Reform Implications of the Risk of a U.S. Budget Catastrophe [article],David Gamage,"Gamage, David (Cited 267 times)","University of Louisville Law Review, Vol. 50, Issue 4 (2012), pp. 599-602",na,na,na,1,na,6965
0,Liberalism and Ability Taxation [article],David Hasen,"Hasen, David (Cited 109 times)","Texas Law Review, Vol. 85, Issue 5 (April 2007), pp. 1057-1114",85 Tex. L. Rev. 1057 (April 2007),22,na,9,na,3381
1,Unwinding Unwinding [article],David Hasen,"Hasen, David (Cited 109 times)","Emory Law Journal , Vol. 57, Issue 4 (2008), pp. 871-946",57 Emory L.J. 871 (2007-2008),9,na,6,na,3381
2,Tax Neutrality and Tax Amenities [article],David Hasen,"Hasen, David (Cited 109 times)","Florida Tax Review, Vol. 12, Issue 2 (2012), pp. 57-124",12 Fla. Tax Rev. 57 (2012),8,na,28,na,3381
3,Partnership Special Allocations Revisited [article],David Hasen,"Hasen, David (Cited 109 times)","Florida Tax Review, Vol. 13, Issue 7 (2012), pp. 349-396",13 Fla. Tax Rev. 349 (2012-2013),7,na,8,na,3381
4,The Tax Treatment of Advance Receipts [article],David Hasen,"Hasen, David (Cited 109 times)","Tax Law Review, Vol. 61, Issue 4 (Summer 2008), pp. 395-458",61 Tax L. Rev. 395 (2007-2008),5,na,8,na,3381
5,Financial Options in the Real World: An Economic and Tax Analysis [article],David Hasen,"Hasen, David (Cited 109 times)","Florida State University Law Review , Vol. 37, Issue 4 (Summer 2010), pp. 789-840",na,3,na,5,na,3381
6,How Should Gifts Be Treated under the Federal Income Tax [article],David Hasen,"Hasen, David (Cited 109 times)","Michigan State Law Review, Vol. 2018, Issue 1 (2018), pp. 81-116",2018 Mich. St. L. Rev. 81 (2018),1,na,16,na,3381
7,Taxation and Innovation - A Sectorial Approach [article],David Hasen,"Hasen, David (Cited 109 times)","University of Illinois Law Review, Vol. 2017, Issue 3 (2017), pp. 1043-1090",2017 U. Ill. L. Rev. 1043 (2017),na,na,19,na,3381
8,The Reinvestment Deduction: A Modest Proposal to Reform the Taxation of Business Income [article],David Hasen,"Hasen, David (Cited 109 times)","Chapman Law Review, Vol. 18, Issue 1 (Fall 2014), pp. 49-64",18 Chap. L. Rev. 49 (2014-2015),na,na,1,na,3381
9,A Partnership Mark-to-Market Tax Election [article],David Hasen,"Hasen, David (Cited 109 times)","Tax Lawyer, Vol. 71, Issue 1 (Fall 2017), pp. 93-142",71 Tax Law. 93 (2017-2018),na,na,11,na,3381
10,Asset Basis in Acquisitive Reorganizations: General Utilities Hangover [article],David Hasen,"Hasen, David (Cited 109 times)","Tax Lawyer, Vol. 72, Issue 2 (Winter 2019), pp. 481-500",72 Tax Law. 481 (2018-2019),na,na,1,na,3381
11,Accretion-Based Progressive Wealth Taxation [article],David Hasen,"Hasen, David (Cited 109 times)","Florida Tax Review, Vol. 20, Issue 4 (2017), pp. 277-318",20 Fla. Tax Rev. 277 (2016-2017),na,na,13,na,3381
12,Some Consequences of Governmental Provision of Rival Goods [article],David Hasen,"Hasen, David (Cited 109 times)","Virginia Tax Review, Vol. 34, Issue 2 (Fall 2014), pp. 319-356",34 Va. Tax Rev. 319 (2014-2015),na,na,na,na,3381
0,Whose Eyes are You Going to Believe - Scott v. Harris and the Perils of Cognitive Illiberalism [article],David Hoffman,"Kahan, Dan M. (Cited 4671 times); Hoffman, David A. (Cited 841 times); Braman, Donald (Cited 838 times)","Harvard Law Review, Vol. 122, Issue 3 (January 2009), pp. 837-906",122 Harv. L. Rev. 837 (January 2009),261,22,95,na,4165
1,Privileged Informers: The Attorney Subpoena Problem and a Proposal for Reform [article],David Hoffman,"Stern, Max D. (Cited 82 times); Hoffman, David (Cited 140 times)","University of Pennsylvania Law Review, Vol. 136, Issue 6 , pp. 1783-1854",136 U. Pa. L. Rev. 1783 (1987-1988),70,6,4,na,4165
2,They Saw a Protest: Cognitive Illiberalism and the Speech-Conduct Distinction [article],David Hoffman,"Kahan, Dan M. (Cited 4671 times); Hoffman, David A. (Cited 841 times); Braman, Donald (Cited 838 times); Evans, Danieli (Cited 105 times)","Stanford Law Review, Vol. 64, Issue 4 (April 2012), pp. 851-906",64 Stan. L. Rev. 851 (2012),70,na,74,na,4165
3,The Best Puffery Article Ever [article],David Hoffman,"Hoffman, David A. (Cited 841 times)","Iowa Law Review, Vol. 91, Issue 5 (July 2006), pp. 1395-1448",91 Iowa L. Rev. 1395 (2005-2006),58,3,56,na,4165
4,"Docketology, District Courts, and Doctrine [article]",David Hoffman,"Hoffman, David A. (Cited 841 times); Izenman, Alan J. (Cited 59 times); Lidicker, Jeffrey R. (Cited 59 times)","Washington University Law Review , Vol. 85, Issue 4 (2007), pp. 681-752",85 Wash. U. L. Rev. 681 (2007-2008),58,na,23,na,4165
5,The Duty to Be a Rational Shareholder [article],David Hoffman,"Hoffman, David A. (Cited 841 times)","Minnesota Law Review, Vol. 90, Issue 3 (February 2006), pp. 537-611",90 Minn. L. Rev. 537 (2005-2006),53,1,21,na,4165
6,Can Law and Economics be Both Practical and Principled [article],David Hoffman,"Hoffman, David A. (Cited 841 times); O'Shea, Michael P. (Cited 150 times)","Alabama Law Review, Vol. 53, Issue 2 (Winter 2002), pp. 335-420",53 Ala. L. Rev. 335 (2001-2002),47,na,7,na,4165
7,Some Realism about Punishment Naturalism [article],David Hoffman,"Braman, Donald (Cited 838 times); Kahan, Dan M. (Cited 4671 times); Hoffman, David A. (Cited 841 times)","University of Chicago Law Review, Vol. 77, Issue 4 (Fall 2010), pp. 1531-1610",77 U. Chi. L. Rev. 1531 (2010),33,1,12,na,4165
8,Ideology or Situation Sense: An Experimental Investigation of Motivated Reasoning and Professional Judgment [article],David Hoffman,"Kahan, Dan M. (Cited 4671 times); Hoffman, David (Cited 140 times); Evans, Danieli (Cited 105 times); Devins, Neal (Cited 2527 times); Lucci, Eugene; Cheng, Katherine","University of Pennsylvania Law Review, Vol. 164, Issue 2 (January 2016), pp. 349-440",164 U. Pa. L. Rev. 349 (2015-2016),27,na,131,na,4165
9,Nullificatory Juries [article],David Hoffman,"Wenger, Kaimipono David (Cited 96 times); Hoffman, David A. (Cited 841 times)","Wisconsin Law Review, Vol. 2003, Issue 6 (2003), pp. 1115-1162",2003 Wis. L. Rev. 1115 (2003),25,1,6,na,4165
10,Whither Bespoke Procedure [article],David Hoffman,"Hoffman, David A. (Cited 841 times)","University of Illinois Law Review, Vol. 2014, Issue 2 (2014), pp. 389-430",2014 U. Ill. L. Rev. 389 (2014),25,na,24,na,4165
11,Wikitruth through Wikiorder [article],David Hoffman,"Hoffman, David A. (Cited 841 times); Mehra, Salil K. (Cited 211 times)","Emory Law Journal, Vol. 59, Issue 1 (2009), pp. 151-210",59 Emory L.J. 151 (2009-2010),24,na,1,na,4165
12,Disputing Limited Liability [article],David Hoffman,"Boyd, Christina L. (Cited 106 times); Hoffman, David A. (Cited 841 times)","Northwestern University Law Review, Vol. 104, Issue 3 (2010), pp. 853-916",104 Nw. U. L. Rev. 853 (2010),18,na,34,na,4165
13,"Federal Sentencing Guidelines and Confrontation Rights, The [notes]",David Hoffman,"Hoffman, David A. (Cited 841 times)","Duke Law Journal , Vol. 42, Issue 2 (November 1992), pp. 382-418",na,16,na,3,na,4165
14,"Mediation, Multiple Minds, and Managing the Negotiation Within [article]",David Hoffman,"Hoffman, David A. (Cited 841 times)","Harvard Negotiation Law Review, Vol. 16, pp. 297-330",na,16,na,34,na,4165
15,Colliding Worlds of Dispute Resolution: Towards a Unified Field Theory of ADR [article],David Hoffman,"Hoffman, David A. (Cited 841 times)","Journal of Dispute Resolution, Vol. 2008, Issue 1 (2008), pp. 11-44",na,14,na,18,na,4165
16,Building a Taxonomy of Litigation: Clusters of Causes of Action in Federal Complaints [article],David Hoffman,"Boyd, Christina L. (Cited 106 times); Hoffman, David A. (Cited 841 times); Obradovic, Zoran (Cited 15 times); Ristovski, Kosta (Cited 15 times)","Journal of Empirical Legal Studies, Vol. 10, Issue 2 (June 2013), pp. 253-287",10 J. Empirical Legal Stud. 253 (2013),13,na,10,na,4165
17,The Psychology of Contract Precautions [article],David Hoffman,"Hoffman, David A. (Cited 841 times); Wilkinson-Ryan, Tess (Cited 252 times)","University of Chicago Law Review, Vol. 80, Issue 1 (Winter 2013), pp. 395-446",80 U. Chi. L. Rev. 395 (2013),12,na,20,na,4165
18,Empirical Analysis of Data Breach Litigation [article],David Hoffman,"Romanosky, Sasha (Cited 28 times); Hoffman, David (Cited 140 times); Acquisti, Alessandro (Cited 49 times)","Journal of Empirical Legal Studies, Vol. 11, Issue 1 (March 2014), pp. 74-265",11 J. Empirical Legal Stud. 74 (2014),12,na,54,na,4165
19,The Common Sense of Contract Formation [article],David Hoffman,"Wilkinson-Ryan, Tess (Cited 252 times); Hoffman, David A. (Cited 841 times)","Stanford Law Review, Vol. 67, Issue 6 (June 2015), pp. 1269-1302",na,10,na,100,na,4165
20,How Relevant Is Jury Rationality [comments],David Hoffman,"Hoffman, David A. (Cited 841 times)","University of Illinois Law Review, Vol. 2003, Issue 2 (2003), pp. 507-530",na,9,na,6,na,4165
21,Instructing Juries on Noneconomic Contract Damages [article],David Hoffman,"Hoffman, David A. (Cited 841 times); Radus, Alexander S. (Cited 7 times)","Fordham Law Review, Vol. 81, Issue 3 (December 2012), pp. 1221-1262",81 Fordham L. Rev. 1221 (December 2012),7,na,5,na,4165
22,Challenge to Single-Sex Schools under Equal Protection: Mississippi University for Women v. Hogan [article],David Hoffman,"Hoffman, David (Cited 140 times)","Harvard Women's Law Journal , Vol. 6, pp. 163-174",6 Harv. Women's L.J. 163 (1983),7,na,11,na,4165
23,The Right to Obscurity: How We Can Implement the Google Spain Decision [article],David Hoffman,"Hoffman, David (Cited 140 times); Bruening, Paula (Cited 6 times); Carter, Sophia (Cited 6 times)","North Carolina Journal of Law & Technology, Vol. 17, Issue 3 (March 2016), pp. 437-482",17 N.C. J.L. & Tech. 437 (2015-2016),6,na,37,na,4165
24,From Promise to Form: How Contracting Online Changes Consumers [article],David Hoffman,"Hoffman, David A. (Cited 841 times)","New York University Law Review, Vol. 91, Issue 6 (December 2016), pp. 1595-1650",91 N.Y.U. L. Rev. 1595 (2016),5,na,59,na,4165
25,Self-Handicapping and Managers' Duty of Care [article],David Hoffman,"Hoffman, David A. (Cited 841 times)","Wake Forest Law Review, Vol. 42, Issue 3 (2007), pp. 803-830",na,5,na,5,na,4165
26,Litigating toward Settlement [article],David Hoffman,"Boyd, Christina L. (Cited 106 times); Hoffman, David A. (Cited 841 times)","Journal of Law, Economics, and Organization, Vol. 29, Issue 4 (August 2013), pp. 898-929",na,5,na,na,na,4165
27,Attorney Subpoenas and Massachusetts Rule PF 15 [article],David Hoffman,"Hoffman, David (Cited 140 times); Kelston, David (Cited 5 times); Shaughnessy, David (Cited 5 times)","Massachusetts Law Review, Vol. 74, Issue 2 (June 1989), pp. 95-110",74 Mass. L. Rev. 95 (June 1989),5,na,1,na,4165
28,Mediation and the Art of Shuttle Diplomacy [notes],David Hoffman,"Hoffman, David A. (Cited 841 times)","Negotiation Journal, Vol. 27, Issue 3 (July 2011), pp. 263-310",na,5,na,1,na,4165
29,Bringing Peace into the Room: The Personal Qualities of the Mediator and Their Impact on the Mediation [notes],David Hoffman,"Bowling, Daniel (Cited 5 times); Hoffman, David (Cited 140 times)","Negotiation Journal, Vol. 16, Issue 1 (January 2000), pp. 5-28",na,5,na,1,na,4165
30,The Psychology of Mediation [article],David Hoffman,"Hoffman, David A. (Cited 841 times); Wolman, Richard N. (Cited 4 times)","Cardozo Journal of Conflict Resolution, Vol. 14, Issue 3 (Spring 2013), pp. 759-806",14 Cardozo J. Conflict Resol. 759 (2012-2013),5,na,81,na,4165
31,"Exploring the Boundaries and Terrain of ADR Practice - Mediation, Arbitration, and Collaborative Law [article]",David Hoffman,"Hoffman, David A. (Cited 841 times)","Dispute Resolution Magazine, Vol. 14, Issue 1 (Fall 2007), pp. 4-9",14 Disp. Resol. Mag. 4 (Fall 2007),4,na,5,na,4165
32,Core of Agreement [comments],David Hoffman,"Braman, Donald (Cited 838 times); Kahan, Dan M. (Cited 4671 times); Hoffman, David A. (Cited 841 times)","University of Chicago Law Review, Vol. 77, Issue 4 (Fall 2010), pp. 1655-1660",na,3,na,7,na,4165
33,Walking the Talk [comments],David Hoffman,"Hoffman, David A. (Cited 841 times)","Dispute Resolution Magazine, Vol. 11, Issue 1 (Fall 2004), pp. 3-4",na,3,na,na,na,4165
34,Why Do We Care about Diversity [comments],David Hoffman,"Hoffman, David A. (Cited 841 times)","Dispute Resolution Magazine, Vol. 11, Issue 2 (Winter 2005), pp. 3-4",na,3,na,1,na,4165
35,"The Future of ADR Professionalization, Spirituality, and the Internet [article]",David Hoffman,"Hoffman, David A. (Cited 841 times)","Dispute Resolution Magazine, Vol. 14, Issue 3 and 4 (Spring and Summer 2008), pp. 6-11",14 Disp. Resol. Mag. 6 (Spring and Summer 2008),3,na,3,na,4165
36,Building Bridges to Resolve Conflict and Overcome the Prisoner's Dilemma: The Vital Role of Professional Relationships in the Collaborative Law Process [article],David Hoffman,"Hoffman, David (Cited 140 times); Ash, Dawn (Cited 3 times)","Journal of Dispute Resolution, Vol. 2010, Issue 2 (2010), pp. 271-296",2010 J. Disp. Resol. 271 (2010),3,na,13,na,4165
37,Promises to Keep: The Right to Effective Assistance of Counsel - Anderson v. Butler [article],David Hoffman,"Hoffman, David A. (Cited 841 times)","Massachusetts Law Review, Vol. 74, Issue 1 (March 1989), pp. 28-35",74 Mass. L. Rev. 28 (March 1989),3,na,1,na,4165
38,Hoffman's Course of Legal Study [article],David Hoffman,"Hoffman, David (Cited 140 times)","American Jurist and Law Magazine, Vol. 15, Issue 30 (July 1836), pp. 321-342",15 Am. Jurist & L. Mag. 321 (1836),2,na,6,na,4165
39,Contract Consideration and Behavior [article],David Hoffman,"Hoffman, David A. (Cited 841 times); Eigen, Zev J. (Cited 210 times)","George Washington Law Review, Vol. 85, Issue 2 (March 2017), pp. 351-396",85 Geo. Wash. L. Rev. 351 (2017),2,na,98,na,4165
40,"Law and Psychology Grows up, Goes Online, and Replicates [article]",David Hoffman,"Irvine, Krin (Cited 4 times); Hoffman, David A. (Cited 841 times); Wilkinson-Ryan, Tess (Cited 252 times)","Journal of Empirical Legal Studies, Vol. 15, Issue 2 (2018), pp. 320-355",na,2,na,1,na,4165
41,Introduction [comments],David Hoffman,"Hoffman, David A. (Cited 841 times)","Journal of Dispute Resolution, Vol. 2003, Issue 1 (2003), pp. 61-66",na,2,na,na,na,4165
42,Is There a Niche for Lawyers in the Field of Mediation [notes],David Hoffman,"Hoffman, David A. (Cited 841 times)","Negotiation Journal, Vol. 15, Issue 2 (April 1999), pp. 107-112",na,2,na,na,na,4165
43,"The Future of ADR Practice: Three Hopes, Three Fears, and Three Predictions [notes]",David Hoffman,"Hoffman, David A. (Cited 841 times)","Negotiation Journal, Vol. 22, Issue 4 (October 2006), pp. 467-474",na,2,na,1,na,4165
44,Certifying ADR Providers [article],David Hoffman,"Hoffman, David A. (Cited 841 times)","Boston Bar Journal, Vol. 40, Issue 2 (March/April 1996), pp. 9-26",40 Boston Bar J. 9 (1996),1,na,na,na,4165
45,Mediation and UPL - Do Mediators Have a Well-Founded Fear of Prosecution [notes],David Hoffman,"Hoffman, David A. (Cited 841 times); Affolder, Natasha A. (Cited 23 times)","GPSolo , Vol. 17, Issue 6 (September 2000), pp. 38-39",na,1,na,11,na,4165
46,Regulating Collaborative Law: The Uniform Collaborative Law Act Takes Shape [article],David Hoffman,"Schepard, Andrew (Cited 464 times); Hoffman, David A. (Cited 841 times)","Dispute Resolution Magazine, Vol. 17, Issue 1 (Fall 2010), pp. 26-[ii]",na,1,na,9,na,4165
47,Frank Sander: Mentor to the Field of Dispute Resolution [article],David Hoffman,"Hoffman, David (Cited 140 times); Moffitt, Michael (Cited 220 times)","Dispute Resolution Magazine, Vol. 19, Issue 1 (Fall 2012), pp. 14-16",19 Disp. Resol. Mag. 14 (2012-2013),1,na,2,na,4165
48,The Use and Reliability of Federal Nature of Suit Codes [article],David Hoffman,"Boyd, Christina L. (Cited 106 times); Hoffman, David A. (Cited 841 times)","Michigan State Law Review, Vol. 2017, Issue 5 (2017), pp. 997-1032",2017 Mich. St. L. Rev. 997 (2017),1,na,6,na,4165
49,Fork in the Road [notes],David Hoffman,"Hoffman, David A. (Cited 841 times)","Dispute Resolution Magazine, Vol. 5, Issue 3 (Spring 1999), pp. 20-22",na,1,na,8,na,4165
50,Paradoxes of Mediation [article],David Hoffman,"Hoffman, David A. (Cited 841 times)","Dispute Resolution Magazine, Vol. 9, Issue 1 (Fall 2002), pp. 23-26",9 Disp. Resol. Mag. 23 (2002-2003),1,na,10,na,4165
51,Beyond Public Diplomacy [comments],David Hoffman,"Hoffman, David (Cited 140 times)","Foreign Affairs, Vol. 81, Issue 2 (March/April 2002), pp. 83-95",na,1,na,15,na,4165
52,Hoffman's Legal Outlines [notes],David Hoffman,"Hoffman, David (Cited 140 times); Coale, Edward J.","United States Law Intelligencer and Review, Vol. 1, Issue 9 (September, 1829), pp. 264-267",na,na,na,4,na,4165
53,Breach is for Suckers [article],David Hoffman,"Wilkinson-Ryan, Tess (Cited 252 times); Hoffman, David A. (Cited 841 times)","Vanderbilt Law Review, Vol. 63, Issue 4 (May 2010), pp. 1001-1046",63 Vand. L. Rev. 1001 (2010),na,na,21,na,4165
54,Doctoring the Evidence [article],David Hoffman,"Hoffman, David (Cited 140 times)","Legal Service Bulletin, Vol. 15, Issue 2 (April 1990), pp. 76-78",na,na,na,1,na,4165
55,"Construction of a Power of Attorney, and of a Deed [article]",David Hoffman,"Hoffman, David (Cited 140 times)","American Jurist, and Law Magazine, Vol. 3, Issue 5 (January 1830), pp. 52-86",3 Am. Jurist & L. Mag. 52 (1830),na,na,3,na,4165
56,Hoffman's Legal Outlines [article],David Hoffman,"Hoffman, David (Cited 140 times)","American Jurist, and Law Magazine, Vol. 3, Issue 5 (January 1830), pp. 86-100",3 Am. Jurist & L. Mag. 86 (1830),na,na,5,na,4165
57,"What the #@!* Are They Fighting About: Reflections on Fairness, Identity, Social Capital, and Peacemaking in Family Conflicts [comments] *new*",David Hoffman,"Hoffman, David A. (Cited 841 times)","Family Court Review, Vol. 53, Issue 4 (November 2015), pp. 509-516",na,na,na,na,na,4165
58,Exploring the Boundaries of ADR Practice [notes],David Hoffman,"Hoffman, David A. (Cited 841 times)","GPSolo, Vol. 25, Issue 6 (September 2008), pp. 28-29",na,na,na,2,na,4165
59,Paradoxes of Mediation Part II of II [article],David Hoffman,"Hoffman, David A. (Cited 841 times)","Dispute Resolution Magazine, Vol. 9, Issue 2 (Winter 2003), pp. 30-33",9 Disp. Resol. Mag. 30 (2002-2003),na,na,4,na,4165
60,Courts and ADR: A Symbiotic Relationship [comments],David Hoffman,"Hoffman, David A. (Cited 841 times)","Dispute Resolution Magazine, Vol. 11, Issue 3 (Spring 2005), pp. 2-2",na,na,na,na,na,4165
61,Collaborative Law - A Practitioner's Perspective [article],David Hoffman,"Hoffman, David A. (Cited 841 times)","Dispute Resolution Magazine, Vol. 12, Issue 1 (Fall 2005), pp. 25-28",12 Disp. Resol. Mag. 25 (2005-2006),na,na,5,na,4165
62,Is the CISG Irrelevant [reviews],David Hoffman,"Hoffman, David (Cited 140 times)","Jotwell: The Journal of Things We Like (Lots), Vol. 2016, pp. [407]-[408]",na,na,na,na,na,4165
63,A Major New Move in Contract Interpretation [reviews],David Hoffman,"Hoffman, David (Cited 140 times)","Jotwell: The Journal of Things We Like (Lots), Vol. 2017, pp. 1-2",na,na,na,5,na,4165
64,Commitment in the Real World [reviews],David Hoffman,"Hoffman, David (Cited 140 times)","Jotwell: The Journal of Things We Like (Lots), Vol. 2018, pp. 1-2",na,na,na,5,na,4165
65,"Need for a Reliable Test of Software Patentability, The [notes]",David Hoffman,"Hoffman, David (Cited 140 times)","Los Angeles Lawyer, Vol. 37, Issue 5 (July/August 2014), pp. 52-2",37 L.A. Law. 52 (2014-2015),na,na,na,na,4165
66,The Law of Restitution and the Human Rights Act 1998 [article],David Hoffman,"Hoffman, David (Cited 140 times)","Restitution Law Review, Vol. 12, pp. 64-78",12 RLR 64 (2004),na,na,7,na,4165
67,Coin-Operated Capitalism [article] *new*,David Hoffman,"Cohney, Shaanan; Hoffman, David (Cited 140 times); Sklaroff, Jeremy; Wishnick, David","Columbia Law Review, Vol. 119, Issue 3 (April 2019), pp. 591-676",na,na,na,na,na,4165
68,Relational Contracts of Adhesion [article],David Hoffman,"Hoffman, David A. (Cited 841 times)","University of Chicago Law Review, Vol. 85, Issue 6 (October 2018), pp. 1395-1462",85 U. Chi. L. Rev. 1395 (2018),na,na,na,na,4165
69,Our Unconscionable Contract Casebooks [reviews],David Hoffman,"Hoffman, David (Cited 140 times)","Jotwell: The Journal of Things We Like (Lots), Vol. 2019, pp. 1-2",na,na,na,na,na,4165
0,The Receding Tide of Medical Malpractice Litigation: Part 2 - Effect of Damage Caps [article],David Hyman,"Paik, Myungho (Cited 19 times); Black, Bernard (Cited 3647 times); Hyman, David (Cited 9 times)","Journal of Empirical Legal Studies, Vol. 10, Issue 4 (2013), pp. 639-669",10 J. Empirical Legal Stud. 639 (2013),4,na,13,na,7191
1,"Medicaid, Managed Care, and America's Health Safety Net [article]",David Hyman,"Manski, Richard J. (Cited 4 times); Peddicord, Douglas (Cited 4 times); Hyman, David (Cited 9 times)","Journal of Law, Medicine and Ethics, Vol. 25, Issue 1 (Spring 1997), pp. 30-33",25 J.L. Med. & Ethics 30 (1997),4,na,2,na,7191
2,Symposium Transcripts [comments],David Hyman,"Sexton, Peter; Nolin, Pter; Hyman, David (Cited 9 times); Tener, John","Connecticut Insurance Law Journal, Vol. 4, Issue 1 (1997-1998), pp. 411-442",na,na,na,na,na,7191
3,"Bankruptcy Reform Act of 1994: A Brief Synopsis, The [notes]",David Hyman,"Hyman, David (Cited 9 times)","Vermont Bar Journal and Law Digest, Vol. 21, Issue 1 (February 1995), pp. 47-48",21 Vt. B.J. & L. Dig. 47 (1995),na,na,na,na,7191
4,Tasini v. New York Times Co.: Breaking New Ground in Copyright Law [article],David Hyman,"Hyman, David (Cited 9 times)","Vermont Bar Journal and Law Digest, Vol. 23, Issue 5 (December 1997), pp. 51-52",23 Vt. B.J. & L. Dig. 51 (1997),na,na,na,na,7191
0,Debunking Dilution Doctrine: Toward a Coherent Theory of the Anti-Free-Rider Principle in American Trademark Law [article],David J. Franklyn,"Franklyn, David J. (Cited 142 times)","Hastings Law Journal, Vol. 56, Issue 1 (2004-2005), pp. 117-168",56 Hastings L.J. 117 (2004-2005),58,na,25,na,9140
1,Toward a Coherent Theory of Strict Tort Liability for Trademark Licensors [article],David J. Franklyn,"Franklyn, David J. (Cited 142 times)","Southern California Law Review, Vol. 72, Issue 1 (November 1998), pp. 1-66",72 S. Cal. L. Rev. 1 (1998-1999),21,1,5,na,9140
2,"The Apparent Manufacturer Doctrine, Trademark Licensors and the Third Restatement of Torts [article]",David J. Franklyn,"Franklyn, David J. (Cited 142 times)","Case Western Reserve Law Review, Vol. 49, Issue 4 (Summer 1999), pp. 671-730",49 Case W. Res. L. Rev. 671 (1998-1999),16,4,1,na,9140
3,Owning Words in Cyberspace: The Accidental Trademark Regime [article],David J. Franklyn,"Franklyn, David J. (Cited 142 times)","Wisconsin Law Review, Vol. 2001, Issue 5 (2001), pp. 1251-1290",2001 Wis. L. Rev. 1251 (2001),15,na,2,na,9140
4,Trademark Surveys: An Undulating Path [article],David J. Franklyn,"Diamond, Shari Seidman (Cited 1236 times); Franklyn, David J. (Cited 142 times)","Texas Law Review, Vol. 92, Issue 7 (June 2014), pp. 2029-2074",na,11,na,10,na,9140
5,Trademarks as Search Engine Keywords: Much Ado about Something [article],David J. Franklyn,"Franklyn, David J. (Cited 142 times); Hyman, David A. (Cited 1166 times)","Harvard Journal of Law & Technology, Vol. 26, Issue 2 (Spring 2013), pp. 481-544",26 Harv. J. L. & Tech. 481 (Spring 2013),6,na,13,na,9140
6,"Trademarks as Search-Engine Keywords: Who, What, When [article]",David J. Franklyn,"Hyman, David A. (Cited 1166 times); Franklyn, David J. (Cited 142 times)","Texas Law Review, Vol. 92, Issue 7 (June 2014), pp. 2117-2148",na,4,na,9,na,9140
7,"New Federal Anti-Dilution Act: Reinstating the Myth of Likely Dilutive Harm as a Mask Anti-Free-Rider Liability, The [article]",David J. Franklyn,"Franklyn, David J. (Cited 142 times)","Intellectual Property Law Bulletin , Vol. 11, Issue 2 (Spring 2007), pp. 199-204",na,3,na,3,na,9140
8,Search Bias and the Limits of Antitrust: An Empirical Perspective on Remedies [article],David J. Franklyn,"Hyman, David A. (Cited 1166 times); Franklyn, David J. (Cited 142 times)","Jurimetrics, Vol. 55, Issue 3 (Spring 2015), pp. 339-380",55 Jurimetrics 339 (2014-2015),3,na,30,na,9140
9,Northern Kentucky Law Review Products Liability Symposium 1999 [article],David J. Franklyn,"Franklyn, David J. (Cited 142 times)","Northern Kentucky Law Review, Vol. 26, Issue 3 (Spring 1999), pp. 531-534",na,2,na,3,na,9140
10,Media Violence Tort Cases: Problems of Causation and the First Amendment [comments],David J. Franklyn,"Franklyn, David J. (Cited 142 times)","Northern Kentucky Law Review, Vol. 27, Issue 1 (2000), pp. i-iv",na,na,na,na,na,9140
0,Can the United States Afford a No-Fault System of Compensation for Medical Injury [article],David M. Studdert,"Studdert, David M. (Cited 255 times); Thomas, Eric J. (Cited 105 times); Zbar, Brett I.W. (Cited 55 times); Newhouse, Joseph P. (Cited 58 times)","Law and Contemporary Problems, Vol. 60, Issue 2 (Spring 1997), pp. 1-34",na,55,na,3,na,9475
