Title,List Author,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics,ID
The (Now Urgent) Case for State-Level Monitoring of Local Government Finances: Protecting Localities from Trump's Potemkin Village of Nothing [article],Darien Shanske,"Shanske, Darien (Cited 144 times)",,"New York University Journal of Legislation and Public Policy, Vol. 20, Issue 3 (2017), pp. 773-826",20 N.Y.U. J. Legis. & Pub. Pol'y 773 (2017),na,na,6,"Banking and Finance, Economics, Government, Local Government, State and Local Government Law, Debt, Liberty, Public Finance",7109.0
Local Government Finance as Integrated System: The Uneasy Case for Using Special Districts in Real Estate Finance (A Response to Odinet's Super-Liens to the Rescue: A Case against Special Districts in Real Estate Finance) [article],Darien Shanske,"Shanske, Darien (Cited 144 times)",,"Washington and Lee Law Review Online, Vol. 72, Issue 1 (2015), pp. 194-205",72 Wash. & Lee L. Rev. Online 194 (2015-2016),na,na,1,"Government, Liens, Local Government, Real Estate, Taxation-Federal Income, Law Enforcement, Police, Sovereignty",7109.0
Guns as Smut: Defending the Home-Bound Second Amendment [article],Darrell A. H. Miller,"Miller, Darrell A. H. (Cited 283 times)",,"Columbia Law Review , Vol. 109, Issue 6 (October 2009), pp. 1278-1356",109 Colum. L. Rev. 1278 (2009),72,2,39,"First Amendment, Second Amendment",2856.0
"Guns, Inc.: Citizens United, McDonald, and the Future of Corporate Constitutional Rights [article]",Darrell A. H. Miller,"Miller, Darrell A. H. (Cited 283 times)",,"New York University Law Review, Vol. 86, Issue 4 (October 2011), pp. 887-957",86 N.Y.U. L. Rev. 887 (2011),66,6,56,"Constitutional Rights, Corporations, Firearms, Second Amendment, Business Organizations, Cruel and Unusual Punishment, Death, Punishment, Constitutional Law, Jurisdiction",2856.0
"Text, History, and Tradition: What the Seventh Amendment Can Teach Us about the Second [article]",Darrell A. H. Miller,"Miller, Darrell A. H. (Cited 283 times)",,"Yale Law Journal, Vol. 122, Issue 4 (Janaury 2013), pp. 852-939",122 Yale L. J. 852 (2012-2013),39,1,28,"History, Death, Legal History, Constitutional Law, Jury, Practice and Procedure",2856.0
"White Cartels, the Civil Rights Act of 1866, and the History of Jones v. Alfred H. Mayer Co. [article]",Darrell A. H. Miller,"Miller, Darrell A. H. (Cited 283 times)",,"Fordham Law Review, Vol. 77, Issue 3 (December 2008), pp. 999-1050",77 Fordham L. Rev. 999 (2008-2009),25,na,20,"Cartels, Civil Rights, Economics, History, Law and Society, Race, Thirteenth Amendment",2856.0
Iqbal and Empathy [comments],Darrell A. H. Miller,"Miller, Darrell A. H. (Cited 283 times)",,"UMKC Law Review, Vol. 78, Issue 4 (Summer 2010), pp. 999-1014",78 UMKC L. Rev. 999 (Summer 2010),16,na,11,"Practice and Procedure, Law Enforcement and Corrections, Sentencing, Bullying, Law and Society",2856.0
Retail Rebellion and the Second Amendment [article],Darrell A. H. Miller,"Miller, Darrell A. H. (Cited 283 times)",,"Indiana Law Journal, Vol. 86, Issue 3 (Summer 2011), pp. 939-978",86 Ind. L.J. 939 (Summer 2011),14,8,11,"Arrest, Law Enforcement and Corrections, Legal History, Second Amendment",2856.0
"What Is Gun Control: Direct Burdens, Incidental Burdens, and the Boundaries of the Second Amendment [article]",Darrell A. H. Miller,"Blocher, Joseph (Cited 625 times); Miller, Darrell A. H. (Cited 283 times)",,"University of Chicago Law Review, Vol. 83, Issue 1 (Winter 2016), pp. 295-356",83 U. Chi. L. Rev. 295 (2016),13,na,na,"Boundaries, Second Amendment, Judicial Review, Constitutional Law, Jurisprudence",2856.0
The Thirteenth Amendment and the Regulation of Custom [article],Darrell A. H. Miller,"Miller, Darrell A. H. (Cited 283 times)",,"Columbia Law Review, Vol. 112, Issue 7 (November 2012), pp. 1811-1854",112 Colum. L. Rev. 1811 (2012),9,1,12,"Regulation, Thirteenth Amendment",2856.0
"Peruta, the Home-Bound Second Amendment, and Fractal Originalism [article]",Darrell A. H. Miller,"Miller, Darrell A. H. (Cited 283 times)",,"Harvard Law Review Forum, Vol. 127, pp. 238-242",127 Harv. L. Rev. F. 238 (2013-2014),6,na,7,Second Amendment,2856.0
Racial Cartels and the Thirteenth Amendment Enforcement Power [article],Darrell A. H. Miller,"Miller, Darrell A. H. (Cited 283 times)",,"Kentucky Law Journal, Vol. 100, Issue 1 (2011-2012), pp. 23-42",100 Ky. L.J. 23 (2011-2012),5,na,41,"Cartels, Economics, Thirteenth Amendment, Discrimination, Disability",2856.0
"State Domas, Neutral Principles, and the Mobius of State Action [comments]",Darrell A. H. Miller,"Miller, Darrell A. H. (Cited 283 times)",,"Temple Law Review, Vol. 81, Issue 4 (Winter 2008), pp. 967-994",81 Temp. L. Rev. 967 (2008),4,na,na,"Fourteenth Amendment, Sexuality and the Law, State Action, Domestic Relations, Marriage, Public Policy, Civil Rights, Taxation, Taxation-Federal Income, Taxation-State and Local",2856.0
The Stain of Slavery: Notes Toward an Attainder Theory of the Thirteenth Amendment [notes],Darrell A. H. Miller,"Miller, Darrell A. H. (Cited 283 times)",,"University of Toledo Law Review, Vol. 38, Issue 3 (Spring 2007), pp. 1011-1036",38 U. Tol. L. Rev. 1011 (2006-2007),4,na,7,"Attainder, Slavery, Thirteenth Amendment, Employees, History, Legal History, Civil Rights, Congress",2856.0
"Self-Defense, Defense of Others, and the State [article]",Darrell A. H. Miller,"Miller, Darrell A. H. (Cited 283 times)",,"Law and Contemporary Problems, Vol. 80, Issue 2 (2017), pp. 85-102",80 Law & Contemp. Probs. 85 (2017),3,na,62,"Criminal Law and Procedure, Law Enforcement, Firearms, Handguns",2856.0
Institutions and the Second Amendment [article],Darrell A. H. Miller,"Miller, Darrell A. H. (Cited 283 times)",,"Duke Law Journal, Vol. 66, Issue 1 (October 2016), pp. 69-120",66 Duke L.J. 69 (2016-2017),1,2,25,"Constitutional Law, Jurisprudence, Second Amendment, Ownership, Regulation, Zoning",2856.0
The Second Generation of Second Amendment Law & Policy [comments],Darrell A. H. Miller,"Ruben, Eric M. (Cited 14 times); Miller, Darrell A. H. (Cited 283 times)",,"Law and Contemporary Problems, Vol. 80, Issue 2 (2017), pp. 1-10",80 Law & Contemp. Probs. 1 (2017),1,na,22,"Banking, Bankruptcy Law, Consumer Protection Law, Economics, Legal History, Legislation, Politics, Second Amendment, Trade Regulation, Firearms",2856.0
Analogies and Institutions in the First and Second Amendments: A Response to Professor Magarian [comments],Darrell A. H. Miller,"Miller, Darrell A. H. (Cited 283 times)",,"Texas Law Review See Also, Vol. 91, pp. 137-151",91 Tex. L. Rev. See Also 137 (2012),1,na,3,"Second Amendment, First Amendment, Education Law",2856.0
Romanticism Meets Realism in Second Amendment Adjudication [article] *new*,Darrell A. H. Miller,"Miller, Darrell A. H. (Cited 283 times)",,"Duke Law Journal Online, Vol. 68, pp. 33-40",68 Duke L.J. Online 33 (2018-2019),1,na,na,na,2856.0
A Short Reply to Professor Volokh [comments],Darrell A. H. Miller,"Miller, Darrell A. H. (Cited 283 times)",,"Columbia Law Review Sidebar, Vol. 109, pp. 105-106",109 Colum. L. Rev. Sidebar 105 (2009),na,na,3,"Second Amendment, Arrest, Law Enforcement and Corrections, Legal History",2856.0
Comments on an Amendment to Repeal the Natural Born Citizen Clause [comments],Darrell A. H. Miller,"Miller, Darrell A. H. (Cited 283 times)",,"Duke Journal of Constitutional Law & Public Policy, Vol. 13, Issue 2 (Spring 2018), pp. 77-82",13 Duke J. Const. L. & Pub. Pol'y 77 (2017-2018),na,na,8,"Citizenship, President/Executive Department, Constitutional Law",2856.0
Second Amendmnet Traditionalism and Desuetude [article],Darrell A. H. Miller,"Miller, Darrell A. H. (Cited 283 times)",,"Georgetown Journal of Law & Public Policy, Vol. 14, Issue 1 (Winter 2016), pp. 223-232",14 Geo. J.L. & Pub. Pol'y 223 (Winter 2016),na,na,17,"History, Firearms, First Amendment, Obscenity, Law Enforcement and Corrections, Strikes",2856.0
"Dignity and Second Amendment Enforcement - Response to William D. Araiza's, Arming the Second Amendment and Enforcing the Fourteenth [article]",Darrell A. H. Miller,"Miller, Darrell A. H. (Cited 283 times)",,"Washington and Lee Law Review Online, Vol. 74, pp. 438-449",74 Wash. & Lee L. Rev. Online 438 (2017-2018),na,na,1,"Second Amendment, Fourteenth Amendment",2856.0
Out Yet Unseen: A Racial Critique of Gay and Lesbian Legal Theory and Political Discourse [article],Darren Hutchinson,"Hutchinson, Darren Lenard (Cited 906 times)",,"Connecticut Law Review, Vol. 29, Issue 2 (Winter 1997), pp. 561-646",29 Conn. L. Rev. 561 (1996-1997),167,na,75,"Jurisprudence, Sexuality and the Law, Civil Rights, Boundaries",6660.0
"Ignoring the Sexualization of Race: Heteronormativity, Critical Race Theory and Anti-Racist Politics [article]",Darren Hutchinson,"Hutchinson, Darren Lenard (Cited 906 times)",,"Buffalo Law Review, Vol. 47, Issue 1 (Winter 1999), pp. 1-116",47 Buff. L. Rev. 1 (1999),122,na,177,"Jurisprudence, Politics, Race, Feminism, Civil Rights, Women",6660.0
"Gay Rights for Gay Whites: Race, Sexual Identity, and Equal Protection Discourse [article]",Darren Hutchinson,"Hutchinson, Darren Lenard (Cited 906 times)",,"Cornell Law Review , Vol. 85, Issue 5 (1999-2000), pp. 1358-1391",85 Cornell L. Rev. 1358 (1999-2000),98,1,103,"Civil Rights, Discrimination, Equal Protection, Gay Men and Lesbians, Race, Sexuality and the Law, Crimes, Sexual Orientation, Sodomy, Statutory Construction",6660.0
"Identity Crisis: Intersectionality, Multidimensionality, and the Development of an Adequate Theory of Subordination [article]",Darren Hutchinson,"Hutchinson, Darren Lenard (Cited 906 times)",,"Michigan Journal of Race & Law, Vol. 6, Issue 2 (Spring 2001), pp. 285-318",6 Mich. J. Race & L. 285 (2000-2001),96,na,149,"Sexuality and the Law, Civil Rights, Discrimination, Equal Protection, Gay Men and Lesbians, Race",6660.0
Unexplainable on Grounds Other Than Race: The Inversion of Privilege and Subordination in Equal Protection Jurisprudence [article],Darren Hutchinson,"Hutchinson, Darren Lenard (Cited 906 times)",,"University of Illinois Law Review, Vol. 2003, Issue 3 (2003), pp. 615-700",2003 U. Ill. L. Rev. 615 (2003),79,na,18,"Constitutional Law, Equal Protection, Jurisprudence, Race, Fourteenth Amendment, Sexuality and the Law",6660.0
"Progressive Race Blindness: Individual Identity, Group Politics, and Reform [article]",Darren Hutchinson,"Hutchinson, Darren Lenard (Cited 906 times)",,"UCLA Law Review, Vol. 49, Issue 5 (June 2002), pp. 1455-1480",49 UCLA L. Rev. 1455 (2001-2002),45,na,25,"Politics, Race, Jurisprudence, Law and Society",6660.0
Racial Exhaustion [article],Darren Hutchinson,"Hutchinson, Darren Lenard (Cited 906 times)",,"Washington University Law Review, Vol. 86, Issue 4 (2009), pp. 917-974",86 Wash. U. L. Rev. 917 (2008-2009),34,na,11,"Law and Society, Race",6660.0
Critical Race Histories: In and Out [comments],Darren Hutchinson,"Hutchinson, Darren Lenard (Cited 906 times)",,"American University Law Review, Vol. 53, Issue 6 (August 2004), pp. 1187-1216",53 Am. U. L. Rev. 1187 (2003-2004),33,na,19,"Jurisprudence, Race, Politics",6660.0
"The Majoritarian Difficulty: Affirmative Action, Sodomy, and Supreme Court Politics [article]",Darren Hutchinson,"Hutchinson, Darren Lenard (Cited 906 times)",,"Law and Inequality: A Journal of Theory and Practice, Vol. 23, Issue 1 (Winter 2005), pp. 1-94",23 Law & Ineq. 1 (Winter 2005),33,na,17,"Affirmative Action, Politics, Sexuality and the Law, Sodomy, Judges, Judicial Review, Administration Law, Agency, President/Executive Department",6660.0
"Accommodating Outness: Hurley, Free Speech, and Gay and Lesbian Equality [article]",Darren Hutchinson,"Hutchinson, Darren Lenard (Cited 906 times)",,"University of Pennsylvania Journal of Constitutional Law, Vol. 1, Issue 1 (Spring 1998), pp. 85-126",1 U. Pa. J. Const. L. 85 (1998-1999),30,na,5,"Equal Protection, Sex, Constitutional Law, Sexuality and the Law, Sodomy",6660.0
"Continually Reminded of Their Inferior Position: Social Dominance, Implicit Bias, Criminality, and Race [article]",Darren Hutchinson,"Hutchinson, Darren Lenard (Cited 906 times)",,"Washington University Journal of Law & Policy, Vol. 46, pp. 23-116",46 Wash. U. J. L. & Pol'y 23 (2014),27,na,109,"Criminal Law and Procedure, Psychiatry and Psychology, Race and Ethnicity, Law Enforcement",6660.0
"Not without Political Power: Gays and Lesbians, Equal Protection [article]",Darren Hutchinson,"Hutchinson, Darren Lenard (Cited 906 times)",,"Alabama Law Review, Vol. 65, Issue 4 (2014), pp. 975-1034",65 Ala. L. Rev. 975 (2013-2014),21,2,9,"Equal Protection, Fourteenth Amendment, Sexuality and the Law, Sexual Orientation, Constitutional Law, Domestic Relations",6660.0
"Closet Case: Boy Scouts of America v. Dale and the Reinforcement of Gay, Lesbian, Bisexual, and Transgender Invisibility [article]",Darren Hutchinson,"Hutchinson, Darren Lenard (Cited 906 times)",,"Tulane Law Review, Vol. 76, Issue 1 (November 2001), pp. 81-148",76 Tul. L. Rev. 81 (2001-2002),20,na,27,"Organizations, Sexuality and the Law, Transgender, Civil Rights",6660.0
Sexual Politics and Social Change [comments],Darren Hutchinson,"Hutchinson, Darren Lenard (Cited 906 times)",,"Connecticut Law Review, Vol. 41, Issue 5 (July 2009), pp. 1523-1548",41 Conn. L. Rev. 1523 (2008-2009),19,na,9,"Law and Society, Politics, Human Rights, Minorities, Sexuality and the Law",6660.0
Beyond the Rhetoric of Dirty Laundry: Examining the Value of Internal Criticism within Progressive Social Movements and Oppressed Communities [article],Darren Hutchinson,"Hutchinson, Darren Lenard (Cited 906 times)",,"Michigan Journal of Race & Law, Vol. 5, Issue 1 (Fall 1999), pp. 185-200",5 Mich. J. Race & L. 185 (Fall 1999),16,na,17,"Jurisprudence, Politics, Race, Education",6660.0
New Complexity Theories: From Theoretical Innovation to Doctrinal Reform [comments],Darren Hutchinson,"Hutchinson, Darren Lenard (Cited 906 times)",,"UMKC Law Review, Vol. 71, Issue 2 (Winter 2002), pp. 431-446",71 UMKC L. Rev. 431 (2002-2003),15,na,7,"Feminism, Law and Society, Civil Rights, Sexual Orientation",6660.0
Factless Jurisprudence [article],Darren Hutchinson,"Hutchinson, Darren Lenard (Cited 906 times)",,"Columbia Human Rights Law Review, Vol. 34, Issue 3 (Summer 2003), pp. 615-634",34 Colum. Hum. Rts. L. Rev. 615 (2002-2003),14,na,1,"Jurisprudence, Discrimination, Employment, Employment Discrimination, Equity, Wages",6660.0
Preventing Balkanization or facilitating Racial Domination: A Critique of the New Equal Protection [article],Darren Hutchinson,"Hutchinson, Darren Lenard (Cited 906 times)",,"Virginia Journal of Social Policy & the Law, Vol. 22, Issue 1 (Winter 2015), pp. 1-70",22 Va. J. Soc. Pol'y & L. 1 (2015),11,na,11,"Equal Protection, Fourteenth Amendment, Race and Ethnicity, Supreme Court of the United States, Sexuality and the Law",6660.0
"Undignified: The Supreme Court, Racial Justice, and Dignity Claims [article]",Darren Hutchinson,"Hutchinson, Darren Lenard (Cited 906 times)",,"Florida Law Review, Vol. 69, Issue 1 (January 2017), pp. 1-62",69 Fla. L. Rev. 1 (January 2017),9,na,59,"Constitutional Law, Equal Protection, Fourteenth Amendment, Race and Ethnicity, Supreme Court of the United States, Jurisprudence",6660.0
Dissecting Axes of Subordination: The Need for a Structural Analysis [article],Darren Hutchinson,"Hutchinson, Darren Lenard (Cited 906 times)",,"American University Journal of Gender, Social Policy & the Law, Vol. 11, Issue 1 (2002-2003), pp. 13-24",11 Am. U. J. Gender Soc. Pol'y & L. 13 (2002-2003),8,na,2,"Discrimination, Sexual Orientation, Sexuality and the Law, Civil Rights, Equal Protection, Gay Men and Lesbians, Race",6660.0
Who Locked Us up: Examining the Social Meaning of Black Punitiveness [article],Darren Hutchinson,"Hutchinson, Darren Lenard (Cited 906 times)",,"Yale Law Journal, Vol. 127, Issue 8 (June 2018), pp. 2388-2447",127 Yale L. J. 2388 (2017-2018),3,na,106,"Criminal Law and Procedure, Psychiatry and Psychology, Race and Ethnicity, Sentencing and Punishment, Race",6660.0
"Social Movements and Judging: An Essay on Institutional Reform Litigation and Desegregation in Dallas, Texas [article]",Darren Hutchinson,"Hutchinson, Darren (Cited 906 times)",,"SMU Law Review, Vol. 62, Special Issue (2009), pp. 1635-1656",62 S.M.U. L. Rev. 1635 (2009),2,na,1,"Desegregation, Legal History, Schools, Administration Law, Courts",6660.0
Majority Politic and Race Based Remedies [article],Darren Hutchinson,"Hutchinson, Darren Lenard (Cited 906 times)",,"Howard Law Journal, Vol. 50, Issue 3 (Spring 2007), pp. 827-840",50 Howard L.J. 827 (2006-2007),1,na,2,"Race, Remedies, Affirmative Action, Comparable Worth, Democracy",6660.0
Critical Habitat and the Challenge of Regulating Small Harms [article],Dave Owen,"Owen, Dave (Cited 271 times)",,"Florida Law Review, Vol. 64, Issue 1 (January 2012), pp. 141-200",64 Fla. L. Rev. 141 (January 2012),32,na,15,"Natural Resources Law, Endangered Species",2636.0
Technocracy and Democracy: Conflicts between Models and Participation in Environmental Law and Planning [article],Dave Owen,"Fine, James D. (Cited 29 times); Owen, Dave (Cited 271 times)",,"Hastings Law Journal, Vol. 56, Issue 5 (2004-2005), pp. 901-982",56 Hastings L.J. 901 (2004-2005),29,na,37,"Administration Law, Democracy, Environment, Environmental Law, Science and Technology, Technology, Evidence, Trade Regulation",2636.0
"Probabilities, Planning Failures, and Environmental Law [article]",Dave Owen,"Owen, Dave (Cited 271 times)",,"Tulane Law Review, Vol. 84, Issue 2 (December 2009), pp. 265-336",84 Tul. L. Rev. 265 (2009-2010),28,na,19,"Environmental Law, Natural Resources Law, Administration Law, Fisheries, Fishing, Natural Resources",2636.0
"The Mono Lake Case, the Public Trust Doctrine, and the Administrative State [article]",Dave Owen,"Owen, Dave (Cited 271 times)",,"UC Davis Law Review, Vol. 45, Issue 3 (February 2012), pp. 1099-1154",45 U.C.D. L. Rev. 1099 (2011-2012),24,na,28,"Legal History, Water, Wildlife",2636.0
"Urbanization, Water Quality, and the Regulated Landscape [article]",Dave Owen,"Owen, Dave (Cited 271 times)",,"University of Colorado Law Review, Vol. 82, Issue 2 (2011), pp. 431-504",82 U. Colo. L. Rev. 431 (2011),23,na,34,"Environment, Land Use Planning, Water, Agriculture Law, Regulation",2636.0
"Law, Environmental Dynamism, Reliability: The Rise and Fall of Calfed [article]",Dave Owen,"Owen, Dave (Cited 271 times)",,"Environmental Law, Vol. 37, Issue 4 (Fall 2007), pp. 1145-1216",37 Envtl. L. 1145 (2007),22,na,4,"International Law, Environment",2636.0
Regional Federal Administration [article],Dave Owen,"Owen, Dave (Cited 271 times)",,"UCLA Law Review, Vol. 63, Issue 1 (2016), pp. 58-121",63 UCLA L. Rev. 58 (2016),20,na,15,"Administration Law, Constitutional Law, Federalism, Politics, Sovereignty, Jurisdiction, Standing",2636.0
Climate Change and Environmental Assessment Law [article],Dave Owen,"Owen, Dave (Cited 271 times)",,"Columbia Journal of Environmental Law, Vol. 33, Issue 1 (2008), pp. 57-120",33 Colum. J. Envtl. L. 57 (2008),19,na,18,"State and Local Government Law, Environment, International Law, Legislation",2636.0
"Mapping, Modeling, and the Fragmentation of Environmental Law [article]",Dave Owen,"Owen, Dave (Cited 271 times)",,"Utah Law Review, Vol. 2013, Issue 1 (2013), pp. 219-282",2013 Utah L. Rev. 219 (2013),14,na,17,"Environment, Environmental Law, Science and Technology, Natural Resources Law, Law and Society",2636.0
Taking Groundwater [article],Dave Owen,"Owen, Dave (Cited 271 times)",,"Washington University Law Review, Vol. 91, Issue 2 (2013), pp. 253-307",91 Wash. U. L. Rev. 253 (2013-2014),12,na,10,"Groundwater, Water, Health, Health Law, Pollution, Public Health",2636.0
Trading Dams [article],Dave Owen,"Owen, Dave (Cited 271 times); Apse, Colin (Cited 10 times)",,"U.C. Davis Law Review, Vol. 48, Issue 3 (February 2015), pp. 1043-1110",48 U.C.D. L. Rev. 1043 (2014-2015),10,na,15,"Dams, Water Law, Credit, Economics, Taxation-Federal",2636.0
The Disappointing History of the National Marine Sanctuaries Act [article],Dave Owen,"Owen, Dave (Cited 271 times)",,"New York University Environmental Law Journal, Vol. 11, Issue 3 (2003), pp. 711-757",11 N.Y.U. Envtl L.J. 711 (2002-2003),10,na,10,"History, Natural Resources Law, Zoning, Oil, Gas, and Mineral Law",2636.0
Gibbs v. Babbitt [notes],Dave Owen,"Owen, Dave (Cited 271 times)",,"Ecology Law Quarterly, Vol. 28, Issue 2 (2001), pp. 377-398",28 Ecology L.Q. 377 (2001-2002),8,na,2,"Natural Resources Law, Commerce, Commerce Clause, Endangered Species, Regulation",2636.0
"Prescriptive Laws, Uncertain Science, and Political Stories: Forest Management in the Sierra Nevada [article]",Dave Owen,"Owen, Dave (Cited 271 times)",,"Ecology Law Quarterly, Vol. 29, Issue 4 (2002), pp. 747-804",29 Ecology L.Q. 747 (2002),8,na,3,"Agriculture Law, Natural Resources Law, Administration Law, Conservation, States",2636.0
Little Streams and Legal Transformations [article],Dave Owen,"Owen, Dave (Cited 271 times)",,"Utah Law Review, Vol. 2017, Issue 1 (2017), pp. 1-56",2017 Utah L. Rev. 1 (2017),6,na,15,"Mistake, Water, Environment",2636.0
Interdisciplinary Research and Environmental Law [article],Dave Owen,"Owen, Dave (Cited 271 times); Noblet, Caroline (Cited 2 times)",,"Ecology Law Quarterly, Vol. 41, Issue 4 (2014), pp. 887-938",41 Ecology L.Q. 887 (2014),2,na,26,"Environmental Law, Legal Education, Legal Research, Research, Standing, History",2636.0
After the TMDLs [article],Dave Owen,"Owen, Dave (Cited 271 times)",,"Vermont Journal of Environmental Law, Vol. 17, Issue 4 (Spring 2016), pp. 845-870",17 Vt. J. Envtl. L. 845 (2015-2016),2,na,4,"Transportation, Administration Law, Economics, Water, Courts",2636.0
Water and Taxes [article],Dave Owen,"Owen, Dave (Cited 271 times)",,"U.C. Davis Law Review, Vol. 50, Issue 4 (April 2017), pp. 1559-1618",50 U.C.D. L. Rev. 1559 (2016-2017),1,na,16,"Water, Economics, Water Law",2636.0
Sea-Level Rise and the Endangered Species Act [article],Dave Owen,"Owen, Dave (Cited 271 times)",,"Louisiana Law Review, Vol. 73, Issue 1 (Fall 2012), pp. 119-150",73 La. L. Rev. 119 (Fall 2012),1,na,13,"Law of the Sea, Environment, Health Law, Climate Change, Environmental Protection, International Law",2636.0
"Auctions, Taxes, and Air [article]",Dave Owen,"Owen, Dave (Cited 271 times)",,"UCLA Law Review Discourse, Vol. 65, pp. 64-87",65 UCLA L. Rev. Discourse 64 (2017-2018),na,na,12,"Taxation-State and Local, Gaming, Regulation",2636.0
Cooperative Subfederalism [article],Dave Owen,"Owen, Dave (Cited 271 times)",,"UC Irvine Law Review, Vol. 9, Issue 1 (September 2018), pp. 177-228",9 UC Irvine L. Rev. 177 (2018-2019),na,na,19,"Environmental Law, Land Use, State and Local Government Law, Federalism, Natural Resources, Natural Resources Law",2636.0
Foreword [comments],Dave Owen,"Owen, Dave (Cited 271 times)",,"Ecology Law Quarterly, Vol. 29, Issue 2 (2002), pp. 131-136",29 Ecology L.Q. 131 (2002),na,na,1,"Civil Rights, Environmental Justice, Remedies",2636.0
The Conservative Turn against Compensatory Mitigation [comments],Dave Owen,"Owen, Dave (Cited 271 times)",,"Environmental Law, Vol. 48, Issue 2 (Spring 2018), pp. 265-290",48 Envtl. L. 265 (2018),na,na,25,"Regulation, Water, Banking, General, Permits",2636.0
Federal Laboratories of Democracy [article],Dave Owen,"Wiseman, Hannah J. (Cited 655 times); Owen, Dave (Cited 271 times)",,"U.C. Davis Law Review, Vol. 52, Issue 2 (December 2018), pp. 1119-1192",52 U.C.D. L. Rev. 1119 (2018-2019),na,na,11,"Democracy, Laboratories, Constitutional Law, Federalism, Environment, Indian Law",2636.0
The Poor State of Health Care Quality in the U.S.: Is Malpractice Liability Part of the Problem or Part of the Solution [article],David A. Hyman,"Hyman, David A. (Cited 1166 times); Silver, Charles (Cited 1565 times)",,"Cornell Law Review, Vol. 90, Issue 4 (May 2005), pp. 893-994",90 Cornell L. Rev. 893 (2004-2005),95,4,35,"Health, Health Law, Liability, Malpractice, Medical Jurisprudence, No-Fault",6716.0
"Medical Malpractice Litigation and Tort Reform: It's the Incentives, Stupid [article]",David A. Hyman,"Hyman, David A. (Cited 1166 times); Silver, Charles (Cited 1565 times)",,"Vanderbilt Law Review, Vol. 59, Issue 4 (May 2006), pp. 1085-0",59 Vand. L. Rev. 1085 (2006),74,na,93,"Malpractice, Medical Malpractice, Tort Reform, Medical Jurisprudence, Liability",6716.0
Regulating Managed Care: What's Wrong with a Patient Bill of Rights [article],David A. Hyman,"Hyman, David A. (Cited 1166 times)",,"Southern California Law Review, Vol. 73, Issue 2 (January 2000), pp. 221-276",73 S. Cal. L. Rev. 221 (1999-2000),73,na,21,"Health Law, Managed Care, Contracts, Economics, Women",6716.0
Two Cheers for Employment-Based Health Insurance [article],David A. Hyman,"Hyman, David A. (Cited 1166 times); Hall, Mark (Cited 132 times)",,"Yale Journal of Health Policy, Law, and Ethics, Vol. 2, Issue 1 (2001-2002), pp. 23-58",2 Yale J. Health Pol'y L. & Ethics 23 (2001-2002),70,na,17,"Employment, Employment Practice, Health, Health Insurance, Insurance, Insurance Law, Government, Health Law",6716.0
"Lies, Damned Lies, and Narrative [article]",David A. Hyman,"Hyman, David A. (Cited 1166 times)",,"Indiana Law Journal, Vol. 73, Issue 3 (Summer 1998), pp. 797-866",73 Ind. L.J. 797 (1997-1998),64,4,10,"Taxation-Federal Income, Arts, Jurisprudence, Legal Education",6716.0
"Stability, Not Crisis: Medical Malpractice Claim Outcomes in Texas, 1988-2002 [article]",David A. Hyman,"Black, Bernard (Cited 3647 times); Silver, Charles (Cited 1565 times); Hyman, David A. (Cited 1166 times); Sage, William M. (Cited 1594 times)",,"Journal of Empirical Legal Studies, Vol. 2, Issue 2 (2005), pp. 207-260",2 J. Empirical Legal Stud. 207 (2005),46,na,10,"Malpractice, Medical Jurisprudence, Medical Malpractice, Insurance, Insurance Law, Liability, Torts",6716.0
Medical Malpractice and the Tort System: What Do We Know and What (If Anything) Should We Do about It [comments],David A. Hyman,"Hyman, David A. (Cited 1166 times)",,"Texas Law Review, Vol. 80, Issue 7 (June 2002), pp. 1639-1656",80 Tex. L. Rev. 1639 (June 2002),42,na,38,"Malpractice, Medical Malpractice",6716.0
You Get What You Pay For: Result-Based Compensation for Health Care [article],David A. Hyman,"Hyman, David A. (Cited 1166 times); Silver, Charles (Cited 1565 times)",,"Washington and Lee Law Review, Vol. 58, Issue 4 (Fall 2001), pp. 1427-1492",58 Wash. & Lee L. Rev. 1427 (2001),38,na,5,"Compensation, Consumer Protection Law, Health, Confidentiality, Health Care Providers, Hospitals, Medical Jurisprudence",6716.0
Rescue without Law: An Empirical Perspective on the Duty to Rescue [article],David A. Hyman,"Hyman, David A. (Cited 1166 times)",,"Texas Law Review, Vol. 84, Issue 3 (February 2006), pp. 653-738",84 Tex. L. Rev. 653 (2005-2006),38,na,82,"Duty to Rescue, Torts, Law and Society",6716.0
Patient Dumping and Emtala: Past Imperfect/Future Shock [article],David A. Hyman,"Hyman, David A. (Cited 1166 times)",,"Health Matrix: Journal of Law-Medicine, Vol. 8, Issue 1 (Winter 1998), pp. 29-56",8 Health Matrix 29 (1998),35,na,34,"Health, Health Law, Health Services, Labor, Damages, Malpractice, Medical Malpractice",6716.0
Consumer Protection in a Managed Care World: Should Consumers Call 911 [article],David A. Hyman,"Hyman, David A. (Cited 1166 times)",,"Villanova Law Review, Vol. 43, Issue 2 (1998), pp. 409-466",43 Vill. L. Rev. 409 (1998),32,na,1,"Consumer Protection, Managed Care, Health Law, Tort Reform, Insurance Law, Liability",6716.0
