,Cluster #,100 Clusters: ,200 Clusters: ,300 Clusters: ,400 Clusters: ,500 Clusters: ,600 Clusters: ,700 Clusters: ,800 Clusters: ,900 Clusters: 
138,138,na,['Child Care'],['Restraint of Trade'],['Humanitarian Law'],['Insurance Policies'],['Reception of Law'],['Criminal Records'],['Handguns'],['Marital Property']
139,139,na,"['Weapons', 'Criminology', 'Public Defenders', 'Manslaughter', 'Demography', 'Grand Juries', 'Intoxication', 'Provocation', ""Drivers' Licenses"", 'Determinate Sentencing', 'Narcotics', 'Government Contracts', 'Criminal Law and Procedure']","['Homelessness', 'Misconduct']",['Farmland'],['Tax Relief'],"['Servitudes', 'Leases']",['Necessity Defense'],['Water Pollution'],['Fraudulent Conveyances']
140,140,na,['Space Law'],"['Preventive Detention', 'Right to Bail']",['Marital Status'],['Forgery'],['Lis Pendens'],['Retardation'],['Post-Conviction Remedies'],['Water Pollution']
141,141,na,['Television'],"['Experts', 'Expert Witnesses and Scientific Evidence']",['Fines'],"['Mines', 'Unitization']",['Bilingual Education'],['Crime Prevention'],['Marital Property'],['Youth Sports']
142,142,na,['Eighth Amendment'],['Cloning'],['Cloning'],['Copyrights and Trademarks'],['Retardation'],['Infants'],['Infants'],"[""Veterans' Law""]"
143,143,na,"['Preventive Detention', 'Right to Bail', 'Public Safety', 'Disability Law']","['Limited Partnerships', 'Fiduciaries', 'Trusts']",['Financial Law'],['Deeds'],['Disarmament'],['Nursing Homes'],['Solid Waste'],['Post-Conviction Remedies']
144,144,na,['Minorities'],['Usufruct and Use'],"['Patents', 'Food and Drug']",['False Statements'],['Native Americans'],['Deposits'],['Criminal Records'],['Cooperatives']
145,145,na,"['Censorship', 'Unemployment Insurance', 'Traffic Accidents', 'Expungement', 'Insurance: Liability', ""Workers' Compensation"", 'Disability Insurance', 'Property Insurance', 'Reinsurance', 'Deposit Insurance', 'Liability Insurance', 'Equal Access to Justice', 'Automobile Insurance', 'Farmworkers', 'Diseases', 'Indemnification', 'Insurance Companies', 'Insurance']","['Foreign Aid', 'Presidency']",['Reverse Engineering'],"['Servitudes', 'Leases']",['Derivative Securities'],['Lis Pendens'],['Consultants'],['Infants']
146,146,na,"['Deductions', 'Tax Credits']",['Natural Resources Law'],['Computer Programs'],['Timber'],['False Advertising'],['Cloud Computing'],['Illegitimate Children'],['Deceit']
147,147,na,['Oil and Gas Law'],['Mineral Law'],['Mineral Law'],"[""Victims' Compensation""]",['Leasing'],['Periodicals'],['Crime Prevention'],['Moral Rights of Artists']
148,148,na,['Deaf'],['Intentional Infliction of Emotional Distress'],['Renewable Energy'],['Computers'],['Superfund'],['Holidays'],['Municipalities'],['Contempt']
149,149,na,"['Cell Phones', 'Drones', 'Air and Space Law', 'Fourth Amendment']","['Patents', 'Professional Sports', 'Food and Drug', 'Trademarks']",['Intentional Infliction of Emotional Distress'],"[""Workers' Participation in Management"", 'Work Environment']",['Probation'],['Wiretapping'],['Lis Pendens'],['Joinder']
150,150,na,['Construction Industry'],"['Employment-At-Will', 'National Guard', 'Public Enterprises', 'Covenants', 'National Defense', 'Candidates', 'Discipline', 'Campaign Finance', 'Information Privacy', 'Business Organizations']",['Juvenile Offenders'],['Redevelopment'],['Social Workers'],['Reception of Law'],['Bibliographies'],['Rules of Professional Conduct']
151,151,na,"['Guardianship', 'Foreign Judgments', 'Fundraising', 'International Finance', 'Right to Vote', 'Attachment and Garnishment', 'Birth Certificates', 'Execution', 'Assisted Suicide', 'Beer', 'Defenses', 'Predatory Lending', 'Law and Economics', 'Accounting', 'Debtors and Creditors', 'Wrongful Death', 'Jewish Law', 'Safe Harbor', 'Death']",['Oil and Gas Law'],['Groundwater'],['Stem Cells'],['Privity'],['Privity'],['Nursing Homes'],['Foreign Judgments']
152,152,na,"['Close Corporations', 'Foreign Aid', 'Presidency', 'Homosexuality']",['Judgments'],['Appropriations'],['Bail'],['Crime Prevention'],['Unemployment Insurance'],['Bank Holding Companies'],['Holidays']
153,153,na,['Long-Term Care'],['Space Law'],"['International Disputes', 'World Trade Organization']",['Clean Energy'],['Sex Trafficking'],['Life Without Parole'],['Dower'],['Solid Waste']
154,154,na,"['Transgender', 'Birth Control', 'Stem Cell Research', 'Stalking', 'Voir Dire', 'Sex Education', 'Uniform Parentage Act', 'Artificial Procreation', 'Fraudulent Conveyances', 'Minors', 'Legislative History', 'Fetuses and Embryos', 'Rape', 'Fair Credit', 'Offenses Against the Person', 'Battered Woman Syndrome', 'Libel and Slander', 'Child Support', 'Sexting', 'Disability', 'Federal Rules of Evidence', 'Feminism', 'Child Custody', 'Tourism', 'Family Law', 'Rico', 'Spouses', 'Northern Ireland', 'Automobiles', 'Health Care Providers', 'Presumptions', 'Fair Employment', 'Life Imprisonment', 'Self-Determination', 'Protective Orders', 'Incompetents', 'Civil Unions', 'Adultery', 'Genocide', 'Marriage', 'Homicide', 'Family and Medical Leave', 'Ultra Vires', 'Police Power', 'English Language', 'Best Interests of the Child', 'Human Experimentation', 'Abortion', 'Domestic Violence', 'Public Schools', 'Clergy', 'Gender', 'Rape and Sexual Assault', 'Pornography', 'Criminal Intent', 'Private Schools', 'Supreme Court of the United States', 'Cultural Property', 'Double Jeopardy', 'Wages', 'Cocaine', 'Predators', 'Sexual Orientation', 'Natural Law', 'Hate Crimes', 'Self-Defense', 'Social Sciences', 'Bioethics', 'Sexuality', 'Sexuality and the Law', 'Visitation Rights', 'Apologies', 'Foster Care', 'Right to Free Speech', 'Philosophy', 'Cartels', 'Adopted Children', 'Genetic Testing', 'Legal Malpractice', 'Child Abuse', 'Bullying', 'Battered Women', 'Cable Television', 'Boxing', 'Comparable Worth', 'Aids', 'Race', 'Adoption', 'Foreclosure', 'Sodomy', 'Exports', 'Parents', 'Employment Discrimination', 'Testimony']",['Child Care'],['Usufruct and Use'],['Checkpoints'],['Insurance Policies'],['False Advertising'],['Justiciability'],['Municipalities']
155,155,na,"['Farmland', 'Liquidation', 'Trees']",['Television'],['Economic Development'],['Search Warrants'],"['Electoral College', 'Miscellaneous']",['Female Genital Mutilation'],['Deposits'],['Illegitimate Children']
156,156,na,['Brownfields'],['Eighth Amendment'],['Expert Witnesses'],['Depositions'],['Deeds'],['Derivative Securities'],['Periodicals'],['Construction Contracts']
157,157,na,"['Right to Treatment', 'Patients']","['Peacekeeping Forces', 'Methodology Of']","['Deductions', 'Tax Credits']",['Sex Trafficking'],['Copyrights and Trademarks'],['Bilingual Education'],['Correctional Institutions'],['Female Genital Mutilation']
158,158,na,"['Imprisonment', 'Parole']",['Construction Industry'],['Special Education'],['Sustainable Development'],['Redevelopment'],['False Statements'],['Wiretapping'],['Correctional Institutions']
159,159,na,"['Pleading and Proof Of', 'Judicial Discretion', 'Punitive Damages', 'Civil Procedure', 'Joinder', 'Slavery', 'Medical Malpractice', 'Construction Contracts', 'Assumption of Risk', 'Municipalities', 'Public Law', 'Appellate Courts', 'United Nations', 'Hermeneutics', 'Summary Judgment', 'Symbolic Speech', 'Drunk Driving', 'Guardian Ad Litem', 'Secured Transactions', 'Legal Research', 'Constitutional Amendment', 'Cameras in the Courtroom', 'Sexual Harassment', 'Debt Collection', 'Res Judicata', 'Right to Education', 'Criminal Law', 'Alcohol', 'Personal Injury', 'Gift Taxation', 'Reapportionment', 'Dram Shop Laws', 'Admiralty', 'Laboratories', 'Harassment', 'Procedure', 'Merit Selection', 'Diplomatic Privileges and Immunities', 'Contempt', 'Court Procedure', 'Undocumented Workers', 'Social Host Liability', 'Confessions', 'Gender Identity', 'Court Rules', 'Adversary System', 'Burden of Proof', 'Political Science', 'Government Liability', 'Aliens', 'Practice and Procedure', 'Church and State', 'International Commercial Arbitration', 'Statutory Construction', 'Religion', 'Unfair Competition']","['Censorship', 'Unemployment Insurance', 'Traffic Accidents', 'Expungement', ""Workers' Compensation"", 'Disability Insurance', 'Property Insurance', 'Insurance Agents', 'Reinsurance', 'Business Judgment Rule', 'Residency', 'Deposit Insurance', 'Attorneys', 'Undocumented Workers', 'Automobile Insurance', 'Legal Malpractice', 'Insurance Companies', 'Unfair Competition']",['Soccer'],['Three Strikes'],['and Exemptions'],['Social Workers'],['and Exemptions'],['Yk']
160,160,na,"['Wetlands', 'Greenhouse Gases', 'Public Contracts', 'Freedom of Information', 'Oil and Gas', 'and Mineral Law', 'Dams', 'Conservation', 'Takings Clause', 'Public Land', 'Easements', 'Horse Racing', 'Fair Market Value', 'Endangered Species', 'Fish and Game', 'Wildlife', 'Culture and Law', 'Indigenous Peoples', 'Agriculture Law', 'Separation of Powers', 'Fishing', 'Water Pollution', 'Public Utilities Law', 'Gaming', 'Chemicals', 'Labor-Management Relations', 'Gas', 'Highways', 'Transportation', 'Gasoline', 'Biodiversity', 'Air Pollution', 'Fisheries', 'Investment Advisers', 'Water Law', 'Utilities', 'Poultry', 'Ownership', 'Engineers', 'Planning and Zoning', 'Constitutions', 'Marine Resources', 'Reciprocity', 'Agriculture', 'Foreign Affairs', 'Environmental Protection', 'Asbestos', 'Land Use', 'Pipelines', 'Natural Resources', 'Interpretation and Construction', 'Oil', 'State Legislatures', 'Environmental Law', 'Animal Welfare', 'Land Use Planning', 'Creditors', 'State and Local Government Law', 'Scientific Evidence', 'Coroners', 'Eleventh Amendment', 'Rivers', 'Disasters', 'Price Fixing', 'Solar Energy', 'Animals', 'Water', 'Airports', 'The', 'State', 'Separation', 'International Economic Law', 'Deregulation', 'Religious Freedom', 'Takings', 'Duty to Warn', 'Administration Law', 'Nuisance']",['Deaf'],['Judgments'],['Appropriations'],['False Statements'],['Joint and Several Liability'],['Bilingual Education'],['Labor Supply']
161,161,na,['Computer Programs'],"['Transgender', 'Voir Dire', 'Conscientious Objectors', 'Fraudulent Conveyances', 'Fair Credit', 'Hermeneutics', 'Religious Discrimination', 'Northern Ireland', 'Military Personnel', 'Life Imprisonment', 'Self-Determination', 'Homicide', 'Parents and Children', 'Criminal Law', 'Public Schools', 'Clergy', 'Cultural Property', 'Cocaine', 'Cohabitation', 'Sexual Orientation', 'Social Sciences', 'Sexuality', 'Gender Identity', 'Child Labor', 'Incorporation', 'Cable Television', 'Comparable Worth', 'Aids', 'Race', 'Church and State', 'Foreclosure', 'Exports', 'Employment Discrimination', 'Religion']",['Son of Sam Laws'],['Farmland'],['Tax Relief'],['Bank Holding Companies'],['Reception of Law'],['Necessity Defense']
162,162,na,"['International Disputes', 'World Trade Organization']",['Mineral Resources'],['Mineral Resources'],['Reverse Engineering'],"[""Workers' Participation in Management"", 'Work Environment']",['and Exemptions'],['Bribery'],['Criminal Records']
163,163,na,['Judgments'],"['Cy Pres', 'Animal Law', 'Political Crimes', 'Philanthropy', 'Estate Planning']",['Insurance Companies'],"['Roman Law', 'American Indians', 'Attainder', 'Tenth Amendment', 'Successor Liability', 'Graduation', 'Generally', 'Privileges and Immunities', 'Eleventh Amendment', 'Martin Luther King', 'Political Science', 'Legal History']","[""Victims' Compensation""]",['Disarmament'],['Duty to Rescue'],['Deposits']
164,164,na,['Holding Companies'],"['Wetlands', 'Dams', 'Conservation', 'Takings Clause', 'Easements', 'Endangered Species', 'Wildlife', 'Separation of Powers', 'Labor-Management Relations', 'Transportation', 'Biodiversity', 'Fisheries', 'Water Law', 'Constitutions', 'Reciprocity', 'Foreign Affairs', 'Environmental Protection', 'Natural Resources', 'Taxation-Federal', 'Creditors', 'Eleventh Amendment', 'Duty to Warn', 'Administration Law']","['Public Defenders', 'Demography', 'Intoxication', 'Provocation', ""Drivers' Licenses"", 'Determinate Sentencing', 'Narcotics', 'Government Contracts', 'Criminal Law and Procedure']",['Civil Law'],['Bail'],['Probation'],['Joint and Several Liability'],['Wiretapping']
165,165,na,['Expert Witnesses'],"['European Commission', 'International Court of Justice', 'Due Process of Law', 'Advisory Opinions', 'Declaratory Judgments', 'European Court of Human Rights']","['Employment-At-Will', 'National Guard', 'Public Enterprises', 'Covenants', 'National Defense', 'Candidates', 'Discipline', 'Campaign Finance', 'Information Privacy', 'Business Organizations']","['Limited Partnerships', 'Fiduciaries', 'Trusts']",['Forgery'],['Tax Relief'],['Life Without Parole'],['Sources Of']
166,166,na,"['Cy Pres', 'Uniform Laws', 'Animal Law', 'Political Crimes', 'Philanthropy', 'Estate Planning']","['Mutual Funds', 'Casinos', 'Securities']","['Birth Control', 'Uniform Parentage Act', 'Artificial Procreation', 'Fetuses and Embryos', 'Tourism', 'Incompetents', 'Family and Medical Leave', 'Police Power', 'Abortion', 'Rape and Sexual Assault', 'Wages', 'Cartels']",['Cell Phones'],['Depositions'],['Leasing'],['Cloud Computing'],['Periodicals']
167,167,na,"['Movies', 'Guilty Pleas', 'Economic Policy', 'Student Athletes', 'High School', 'Ombudsmen', 'Subpoenas', 'Professions', 'Fantasy Sports', 'Mail', 'Pets', 'Confidentiality', 'Mergers', 'Investment', 'Communications Law']","['Practice of Medicine', 'Breast Cancer', 'Brain Death', 'Medical Care', 'Living Wills', 'Prescription Drugs', 'Data Mining']",['Natural Resources Law'],['Cloning'],['Stem Cells'],"[""Victims' Compensation""]",['Expulsion'],['Corporate Officers']
168,168,na,"['Representative Government', 'Domestic Partnerships', 'Equal Rights', 'Child Neglect', 'Women']","['Public Defenders', 'Manslaughter', 'Demography', 'Intoxication', 'Provocation', ""Drivers' Licenses"", 'Determinate Sentencing', 'Narcotics', 'Government Contracts', 'Criminal Law and Procedure']",['Eighth Amendment'],['Precedents'],['Intentional Infliction of Emotional Distress'],['Expulsion'],['Disarmament'],['Exterritoriality']
169,169,na,['Nuclear Energy'],"['European Communities', 'Aircraft']",['Annuities'],['Financial Law'],['Checkpoints'],['Insurance Policies'],['Sources Of'],['Retardation']
170,170,na,"['Titles', 'Liquor', 'Legal Literature', 'Negotiable Instruments', 'Industrial Accidents', 'Common Law']","['Liquor', 'Legal Literature']",['Child Care'],['Fines'],['Timber'],"['Electoral College', 'Miscellaneous']",['Retardation'],['Termination of Employment']
171,171,na,"['Handguns', 'Kidnapping', 'Handicapped', 'Telecommunications', 'Mentally Retarded', 'Endangerment', 'Motor Vehicles', 'Necessity Defense', 'Constitutional Rights', 'Arrest', 'Stop and Frisk', 'Criminals', 'Aged', 'Right to Counsel', 'Felonies', 'Controlled Substances', 'Post-Conviction Remedies', 'Passengers', 'Indigents', 'Detention', 'Territorial Waters', 'Sedition', 'Aviation', 'Bribery', 'Managed Care', 'Trespass', 'Holocaust', 'Self-Incrimination', 'Human Trafficking', 'Hearsay', 'Computer Crime', 'Community Service', 'Law Enforcement', 'Right to Jury Trial', 'Mentally Disabled', 'Searches and Seizures', 'International Courts and Tribunals', 'Exclusionary Rule', 'War Crimes', 'Model Penal Code', 'Law Enforcement and Corrections', 'Sentencing', 'Verdicts', 'Email', 'Deportation', 'Treason', ""Victims' Rights"", 'Executive Powers', 'Freedom of the Press', 'Sentencing and Punishment', 'Capital Punishment', 'Privileged Communications', 'Shield Laws', 'News Reporters', 'Child Pornography', 'Right to Be Heard', 'Fifth Amendment', 'Freedom of Movement', 'Accomplices', 'Felony Murder', 'Whistleblowers', 'Vested Rights', 'Espionage', 'Traffic Laws', 'Crimes Against Humanity', 'Military', 'Public Officials', 'Electronic Surveillance', 'Alcoholic Beverages', 'Admiralty Law', 'Felons', 'Comparative and Foreign Law', 'Parental Rights Termination', 'Drug Testing', 'Drug Trafficking', 'Commander in Chief', 'Restrictive Covenants', 'Torture', 'Criminal Procedure', 'Juvenile Courts', 'Education Law', 'Legal History']","['Right to Vote', 'Attachment and Garnishment', 'Execution']",['Space Law'],['Humanitarian Law'],['Right to Bail'],"['Mines', 'Unitization']",['Insurance Policies'],['Usury']
172,172,na,"['Capital Market', 'Foreign Banks', 'Mutual Funds', 'Stamps', 'Casinos', 'Securities']",['Disaster Law'],['Construction Industry'],['Computer Programs'],['Computers'],['Superfund'],['Firefighters'],['Res Judicata']
173,173,na,"['Pesticides', 'News Media', 'Medical Records', 'Records', 'Exterritoriality', 'Radio and Cable Transmission', 'Political Activity', 'Radio', 'International Loans', 'Carriers', 'Confidential Communications', 'Court of Justice of the European Union', 'Broadband', 'Primaries', 'Court Records', 'Cruel and Unusual Punishment', 'Uniform Trade Secrets Act', 'Oral Argument', 'Tender Offers', 'Corporations: Liability', 'Prices', 'Rules and Regulations', 'Repatriation', 'Public Records', 'Foreign Corporations', 'Dividends', 'Background Checks', 'Employees', 'Freedom of Association', 'Identity Theft', 'Inventions', 'Libraries', 'Business Judgment Rule', 'Asylum', 'Marketing', 'Duty of Loyalty', 'International Banking', 'Social Networks', 'Tax Returns', 'Mandates', 'Private International Law', 'S Corporations', 'Data Protection', 'European Union', 'Money Laundering', 'Franchising', 'Computer Law', 'Nominations', 'Derivative Actions', 'Privacy', 'Hazardous Waste']","['Representative Government', 'Domestic Partnerships', 'Equal Rights', 'Women']","['Software', 'Stocks']",['Oil and Gas Law'],['Atomic Energy Law'],"['Servitudes', 'Leases']",['Waste Management'],['Life Without Parole']
174,174,na,"['Pensions', 'Foreign Law', 'Minimum Wage', 'Supremacy Clause', 'Consignment', 'Curfew', 'Equal Employment', 'Administrative Courts', 'Restorative Justice', 'Abandonment', 'Annexation', 'Courts']",['Holding Companies'],['Titles'],['Mineral Law'],['Humanitarian Law'],['Waste Management'],['Deeds'],['Bank Holding Companies']
175,175,na,['Sociology'],['Parole'],['Minorities'],"['Pesticides', 'Elections', 'Blood', 'Churches', 'Costs', 'Immunity', 'Public Finance', 'Plaintiffs', 'Injunctions', 'Foreign Athletes', 'Consumer Protection Law', 'Compensation', 'Legal Profession', 'Democracy', 'Ecology', 'Maritime Law', 'Judicial Process', 'Standing', 'Small Businesses', 'Torts', 'Subsidies', 'Obscenity', 'Jurisdiction', 'Right of Privacy', 'Indictments', 'Transportation Law', 'Administrative Law', 'Corporate Officers', 'Commerce', 'Privatization', 'Clinical Trials', 'Pledges', 'Security Interests', 'Products Liability Law', 'Federalism', 'Health Maintenance Organizations', 'Domicile', 'Damages', 'Third Parties', 'Euthanasia', 'Housing Law', 'Libel', 'Class Actions', 'Proof', 'Corporations: Foreign', 'Regulation', 'Public Policy', 'E-Commerce', 'Taxation-State and Local', 'Mortgages', 'Interest', 'Vicarious Liability', 'Corporations', 'Social Media', 'Evidence', 'Equity', 'Trials', 'Petroleum', 'Appellate Review', 'Choice of Law', 'Advertising', 'Property', 'Environment', 'Congress', 'Broadcasting', 'Contracts', 'Immigrants', 'Futures', 'International Labor Law', 'Law Reform', 'Commercial Law', 'Baseball', 'Divorce', 'Professional Ethics', 'Notice', 'Prescription', 'Liability', 'Standard of Care', 'Ethics', 'Research', 'Air Law and Aviation', 'Independent Contractors', 'Plain Language', 'Compensatory Damages', 'Revolution', 'Contractors', 'Documents', 'History', 'Mixed Legal Systems', 'Taxation: International', 'Agency', 'Public Housing', 'Tuition', 'Age', 'Segregation', 'Personal Property']",['Probate Law'],['Copyrights and Trademarks'],"['Mines', 'Unitization']",['Duty to Rescue']
176,176,na,['Law'],['Family Planning'],"['Preventive Detention', 'Right to Bail']","['Sterilization', 'Contraception']",['Civil Law'],['Sex Trafficking'],['Usury'],['Dower']
177,177,na,"['Family Planning', 'Pregnancy']",['Zoning'],"['Voir Dire', 'Fraudulent Conveyances', 'Offenses Against the Person', 'Libel and Slander', 'Sexting', 'Federal Rules of Evidence', 'Northern Ireland', 'Life Imprisonment', 'Self-Determination', 'Homicide', 'Domestic Violence', 'Shield Laws', 'Child Pornography', 'Pornography', 'Hate Crimes', 'Apologies', 'Aids', 'Parents']",['Expert Witnesses'],['Clean Energy'],['Deeds'],['False Advertising'],['Lis Pendens']
178,178,na,"['Disaster Law', 'Credit Cards', 'Credit']",['Nuclear Energy'],['Nuclear Energy'],['Son of Sam Laws'],['Sustainable Development'],['Redevelopment'],['False Statements'],['Disarmament']
179,179,na,"['Military Service', 'War and Peace']",['Colleges and Universities'],['Deaf'],['Usufruct and Use'],['Fines'],['Depositions'],['Unemployment Insurance'],['Derivative Securities']
180,180,na,['Hockey'],"['Telecommunications', 'Motor Vehicles', 'Passengers', 'Aviation', 'Managed Care', 'Trespass', 'Self-Incrimination', 'Searches and Seizures', 'Exclusionary Rule', 'Traffic Laws', 'Drug Testing']","['Foreign Aid', 'Presidency']","['Deductions', 'Tax Credits']",['Farmland'],['Scholarships'],['Probation'],['False Advertising']
181,181,na,"['Warranties', 'Sound Recordings', 'Fracking', 'Music', 'Technology']",['Chemicals'],"['Concessions', 'Military Tribunals', 'Military Occupation', 'Indigenous Peoples', 'Roman Law', 'Law of the Sea', 'Jr', 'Military Law', 'Civil War', 'American Indians', 'Treaties', 'Attainder', 'Tenth Amendment', 'Term Limits', 'Diplomatic Protection', 'Legislative Bodies', 'Anthropology', 'Successor Liability', 'Graduation', 'Generally', 'Exports and Imports', 'Privileges and Immunities', 'Eleventh Amendment', 'Affirmative Action', 'International Law', 'Human Rights', 'Martin Luther King', 'Sovereignty', 'Obligations', 'Biography', 'Political Science', 'Legal History']",['Presidency'],['Cloning'],['Computers'],"['Electoral College', 'Miscellaneous']",['Cloud Computing']
182,182,na,['Databases'],"['Pleadings', 'Civil Disobedience', 'Constitutional History', 'Islamic Law', 'Customary Law', 'Environmental Policy']",['Fourth Amendment'],['Trademarks'],['Search Warrants'],['Reverse Engineering'],['Privity'],['Nursing Homes']
183,183,na,['Biotechnology'],['Long-Term Care'],"['Mutual Funds', 'Casinos', 'Securities']",['Groundwater'],['Appropriations'],['Stem Cells'],['Derivative Securities'],['Preventive Detention']
184,184,na,"['Tortfeasors', 'Noneconomic Damages', 'Product Liability']","['Right to Treatment', 'Patients']","['Right to Treatment', 'Patients']","['Spendthrift Trusts', 'Uniform Probate Code']",['Marital Status'],"[""Workers' Participation in Management"", 'Work Environment']",['Superfund'],['Martial Law']
185,185,na,"['Actions and Defenses', 'Pleadings', 'Civil Disobedience', 'Constitutional History', 'Islamic Law', 'Customary Law', 'Environmental Policy']","['Military Service', 'War and Peace']",['Television'],['Soccer'],['Reverse Engineering'],['Timber'],['Scholarships'],['Unemployment Insurance']
186,186,na,"['Practice of Medicine', 'Breast Cancer', 'Brain Death', 'Medical Care', 'Living Wills', 'Prescription Drugs', 'Data Mining']","['Tortfeasors', 'Noneconomic Damages', 'Product Liability']","['Credit Cards', 'Credit']",['Juvenile Offenders'],['Expert Witnesses and Scientific Evidence'],['Bail'],['Sex Trafficking'],['Pledges']
187,187,na,"['Foreign Countries', 'Conditional Sales', 'Infertility', 'Health Services', 'Fetal Experimentation', 'Sterilization', 'Genetic Information', 'Reproductive Technology', 'Emergency Medical Services', 'Marital Status', 'Contraception', 'Paternity', 'Surrogate Parenthood']","['Good Faith', 'Estates', 'Disclaimers', 'Charities', 'Wills', 'Consumer Credit', 'Probate', 'Marijuana', 'Estates and Trusts', 'Credit Unions', 'Polygamy', 'Partnerships', 'Mistake', 'Liens', 'Urban Renewal', 'Inheritance', 'Breach of Contract', 'Medical Marijuana', 'Organizations', 'Fraud', 'Fair Housing', 'Banking Law', 'South Africa']","['Representative Government', 'Domestic Partnerships', 'Equal Rights', 'Women']","['Preventive Detention', 'Right to Bail']",['Misconduct'],['Search Warrants'],['Social Workers'],['Joint and Several Liability']
188,188,na,"['Homelessness', 'Misconduct', 'Zoning']","['Subpoenas', 'Separation', 'Professions', 'Adversary System', 'International Commercial Arbitration']",['Expert Witnesses and Scientific Evidence'],['Construction Industry'],['Financial Law'],['Checkpoints'],"[""Victims' Compensation""]",['Expulsion']
189,189,na,['Sex Crimes'],['Expert Witnesses'],"['Pleading and Proof Of', 'Foreign Law', 'Guardian Ad Litem', 'Debt Collection', 'Supremacy Clause', 'Diplomatic Privileges and Immunities', 'Confessions', 'Court Rules', 'Adversary System', 'Administrative Courts']",['Eighth Amendment'],"['International Disputes', 'World Trade Organization']",['Limited Liability Companies'],"['Servitudes', 'Leases']",['Probation']
190,190,na,['Writs'],['Computer Programs'],['Holding Companies'],['Misconduct'],['Computer Programs'],['Tax Credits'],['Computers'],['Leasing']
191,191,na,['Right to Privacy'],['Minorities'],['Oil and Gas Law'],['Natural Resources Law'],"['Livestock', 'Sexual Abuse', 'Climate Change']",['Civil Law'],['Leasing'],['Reception of Law']
192,192,na,['Restraint of Trade'],['Sociology'],['Homes'],['Manslaughter'],['Stamps'],['Military Personnel'],['Stem Cells'],['Privity']
193,193,na,['Corporations: Directors'],"['Foreign Countries', 'Fetuses and Embryos', 'Infertility', 'Health Services', 'Family and Medical Leave', 'Sterilization', 'Genetic Information', 'Contraception']","['Attachment and Garnishment', 'Execution']","['Employment-At-Will', 'National Guard', 'Public Enterprises', 'Covenants', 'National Defense', 'Candidates', 'Discipline', 'Campaign Finance', 'Information Privacy', 'Business Organizations']",['Usufruct and Use'],['International Trade'],['Redevelopment'],"['Mines', 'Unitization']"
194,194,na,"['Scholarships', 'Colleges and Universities']",['Sex Crimes'],"['European Commission', 'International Court of Justice', 'Declaratory Judgments']","['Right to Treatment', 'Patients']",['Special Education'],['Right to Bail'],['Copyrights and Trademarks'],"['Electoral College', 'Miscellaneous']"
195,195,na,"['Just Compensation', 'Hijacking', 'Genetics', 'Right of Publicity', 'Labor Relations', 'Antidilution Laws', 'Video Games', 'Trade Secrets', 'Counterfeiting', 'International Criminal Law', 'Multinational Corporations', 'Antitrust', 'Assignments', 'Royalties', 'Political Speech', 'Dilution Laws', 'Trade Regulation', 'Medical Devices', 'Publicity', 'Licensing', 'Disclosure Laws', 'Names', 'Intellectual Property', 'Nanotechnology', 'Jury Instructions', 'Commercial Code', 'Trade Dress', 'Cause of Action', 'Remedies', 'Plagiarism', 'Athletes']","['No-Fault', 'Organ Donation']","['Tax Incentives', 'Sixth Amendment', 'Holidays', 'Trade Unions', 'Taxation-Federal', 'Repossession', 'Tax Policy']","['Natural Gas', 'Wind Energy']",['Foreign Aid'],['Atomic Energy Law'],['Forgery'],['Insurance Policies']
196,196,na,"['Federal Rules of Civil Procedure', 'No-Fault', 'Witnesses', 'Discovery', 'Experts', 'Brokers']","['Negotiable Instruments', 'Industrial Accidents', 'Common Law']",['Family Planning'],['Intentional Infliction of Emotional Distress'],['Soccer'],['Forgery'],['Search Warrants'],['Scholarships']
197,197,na,"['Habeas Corpus', 'Governors']","['Warranties', 'Technology']","['Natural Gas', 'Wind Energy', 'Electricity']",['In Vitro Fertilization'],['Aged'],['Power Plants'],"[""Workers' Participation in Management"", 'Work Environment']",['Bilingual Education']
198,198,na,"['Good Faith', 'Model Business Corporation Act', 'Estates', 'Disclaimers', 'Charities', 'Wills', 'Consumer Credit', 'Probate', 'Insider Trading', 'Marijuana', 'Estates and Trusts', 'Credit Unions', 'Polygamy', 'Partnerships', 'Mistake', 'Liens', 'Urban Renewal', 'Inheritance', 'Financial Services', 'Breach of Contract', 'Medical Marijuana', 'Repossession', 'Organizations', 'Statute of Limitations', 'International Agencies', 'Tax Policy', 'Consumer Protection', 'Fraud', 'Fair Housing', 'Banking Law', 'South Africa']",['Reproduction'],['Law'],['Television'],['Son of Sam Laws'],['Parking'],['Timber'],['Crime Prevention']
199,199,na,"['European Commission', 'Deceit', 'Administrative Law Judges', 'Cuba', 'Citizen Suit', 'Bad Faith', 'Pardons', 'Law and Ethics', 'Proxies', 'Clemency', 'Administrative Agencies', 'Takeovers', 'Strict Liability', 'Voting', 'Structured Settlements', 'Statistics', 'Causation', 'Home Rule', 'Freedom of Religion', 'Globalization', 'Guardians', 'Penology', 'Human Rights', 'Sovereignty', 'Insanity', 'Settlements', 'Administrative Procedure', 'Life Insurance', 'State Action']","['Ninth Amendment', 'Freedom of Association', 'European Union', 'Privacy']","['Pets', 'Communications Law']",['Deaf'],['Professional Sports'],['Cloning'],['Tax Relief'],['Deeds']
