,0,1,2,3,4,5,6,7,8,9,10
1965,First Amendment,Law and Society,Psychiatry and Psychology,Arbitration,,,,,,,
1966,Consumer Protection Law,Securities,,,,,,,,,
1967,Courts,Judges,Law and Society,Legal Analysis and Writing,,,,,,,
1968,Law and Society,Securities,Fraud,Judges,Administrative Agencies,Judicial Review,,,,,
1969,Economics,Jurisprudence,Law and Economics,Administrative Agencies,Judges,Labor,,,,,
1970,International Criminal Law,Jurisprudence,Natural Law,First Amendment,Religion,Criminal Law and Procedure,,,,,
1971,Judges,Legal Profession,Politics,Evidence,Law and Society,Criminal Law and Procedure,Sexuality and the Law,,,,
1972,Remedies,Jury,Rule of Law,Verdicts,,,,,,,
1973,Contracts,Procedure,Arbitration,Dispute Resolution,Judges,Judicial Discretion,Practice and Procedure,,,,
1974,Dispute Resolution,Law and Society,Science and Technology,Labor,Labor Law,Good Faith,,,,,
1975,Corporations,Liability,Judges,Judicial Discretion,Limited Liability Companies,Comparative Law,States,,,,
1976,Food and Drug,Divorce,Dispute Resolution,Legal Education,,,,,,,
1977,Dispute Resolution,Legal Profession,Consent,Informed Consent,,,,,,,
1978,Civil Procedure,Notice,Joinder,Procedure,,,,,,,
1979,Consumer Protection Law,Contracts,Criminal Law and Procedure,Law and Society,,,,,,,
1980,Science and Technology,Torts,Communications Law,Jurisdiction,Class Actions,Standing,,,,,
1981,Consent,Consumer Protection Law,Contracts,Psychiatry and Psychology,Common Law,,,,,,
1982,Jury,Practice and Procedure,Remedies,Law and Society,Torts,Fraud,Securities,,,,
1983,Damages,Contracts,Evidence,Remedies,,,,,,,
1984,Communications Law,Comparative Law,Information Privacy,Privacy,Court of Justice of the European Union,European Union,Internet,,,,
1985,Contracts,Science and Technology,Intellectual Property Law,Federal Trade Commission,Trade Regulation,,,,,,
1986,Duty of Care,Education,Law and Society,Legal Education,Corporate Officers,,,,,,
1987,Comparative Law,Malpractice,Medical Jurisprudence,Medical Malpractice,Torts,Dispute Resolution,,,,,
1988,Diplomacy,Dispute Resolution,Economics,Divorce,Legislation,,,,,,
1989,Judges,Divorce,Environment,,,,,,,,
1990,Law and Society,Diplomacy,Ethics,,,,,,,,
1991,Arbitration,Boundaries,Dispute Resolution,,,,,,,,
1992,Torts,Criminal Law and Procedure,Jurisprudence,,,,,,,,
1993,Family Law,Legal Profession,Divorce,Dispute Resolution,Literature,,,,,,
1994,Discrimination in Athletics,Sports,Education,Legal Education,Legal Profession,Race and Ethnicity,Schools,Discrimination,Health,,
1995,Internet,Communications Law,Dispute Resolution,Law and Society,Technology,,,,,,
1996,Legal Profession,Family Law,Dispute Resolution,Ethics,Professional Ethics,,,,,,
1997,Contracts,Law and Society,Legislation,,,,,,,,
1998,Communications Law,Psychiatry and Psychology,Administrative Agencies,Science and Technology,Labor,,,,,,
1999,Confidentiality,Dispute Resolution,Evidence,,,,,,,,
2000,Money,Dispute Resolution,Ethics,,,,,,,,
2001,Liability,Malpractice,Neutrality,Capacity,,,,,,,
2002,Legal Education,Professional Ethics,Dispute Resolution,Adoption,Domestic Relations,,,,,,
2003,Dispute Resolution,,,,,,,,,,
2004,International Court of Justice,Labor,Legislation,Liability,,,,,,,
2005,Neutrality,Death,Costs,,,,,,,,
2006,Communications Law,Law and Society,Military Law,Criminal Law and Procedure,International Law,Military,War and Peace,,,,
2007,Breach of Contract,Contracts,Damages,Remedies,,,,,,,
2008,Divorce,Parents,,,,,,,,,
2009,Boundaries,Arbitration,Dispute Resolution,,,,,,,,
2010,Commercial Law,Contracts,International Trade,United Nations,Sales,States,,,,,
2011,Privacy,Economics,Law and Economics,Insurance,,,,,,,
2012,Commitment,Banking,Consumer Protection Law,Economics,Equity,Loans,,,,,
2013,Software,Intellectual Property Law,Science and Technology,,,,,,,,
2014,Human Rights,Restitution,Jurisprudence,,,,,,,,
2015,,,,,,,,,,,
2016,Consumer Protection Law,Contracts,Science and Technology,Software,,,,,,,
2017,Commitment,Arbitration,Jurisprudence,,,,,,,,
2018,Corporations,Partnerships,States,,,,,,,,
2019,Compensation,Taxation-Federal Income,Voting,Comparative Law,,,,,,,
2020,Compensation,Corporations,Taxation,Taxation-Federal Income,Retirement,Congress,,,,,
2021,Organizations,Constitutional Law,,,,,,,,,
2022,Compensation,Contracts,Corporations,Economics,,,,,,,
2023,Organizations,Campaign Finance,Congress,Mandates,Political Activity,Regulation,,,,,
2024,Labor Law,Law and Society,Science and Technology,Business Organizations,Civil Rights,Employment Practice,,,,,
2025,Damages,Punitive Damages,Remedies,Taxation-Federal Income,Taxation,,,,,,
2026,Taxation-Federal Income,Trees,Attorneys,Attorneys' Fees,Fees,Taxation,,,,,
2027,Partnerships,Accounting,,,,,,,,,
2028,Discrimination,Employment,Employment Discrimination,Employment Practice,Remedies,Taxation-Federal Income,Malpractice,Professional Ethics,Tax Policy,,
2029,Banking,Taxation-Federal Income,Compensation,,,,,,,,
2030,Taxation-Federal Income,Taxation,Housing Law,Law and Society,,,,,,,
2031,Dispute Resolution,Settlements,Structured Settlements,Taxation-Federal Income,Damages,Judicial Review,Torts,Government,Statistics,,
2032,Credit,Taxation,Housing,Housing Law,State and Local Government Law,,,,,,
2033,Malpractice,Professional Ethics,Discrimination,Employment,Employment Discrimination,Employment Practice,Remedies,Taxation-Federal Income,Estates,,
2034,Taxation-Federal Income,Trees,Malpractice,Professional Ethics,Discrimination,Employment,Employment Discrimination,Employment Practice,Remedies,,
2035,Taxation-Federal Income,Economics,Persons,,,,,,,,
2036,Compensation,,,,,,,,,,
2037,Money,Water,Corporations,Compensation,,,,,,,
2038,Business Organizations,Revolution,Securities Law,Taxation-Federal,,,,,,,
2039,Partnerships,Taxation-Federal Income,,,,,,,,,
2040,Personal Injury,Plaintiffs,Income Taxation,Taxation,Fees,Legal Profession,Taxation-Federal Income,,,,
2041,Attorneys,Plaintiffs,Damages,Punitive Damages,Taxation,Taxation-Federal Income,Torts,Common Law,Fees,Legal Profession,
2042,Criminals,Son of Sam Laws,Communications Law,Criminal Law and Procedure,Victims' Compensation,Legislation,,,,,
2043,Business Organizations,Divorce,Domestic Relations,Taxation,,,,,,,
2044,Damages,Punitive Damages,Taxation,Death,,,,,,,
2045,,,,,,,,,,,
2046,Bioethics,Intellectual Property Law,Science and Technology,Genetic Testing,Race,,,,,,
2047,Breast Cancer,Genetics,Public Policy,Comparative Law,Medical Jurisprudence,Patients,Science and Technology,,,,
2048,Research,Consent,Health Law,Informed Consent,,,,,,,
2049,Drugs,Medical Devices,Consumer Protection Law,Food and Drug Law,Nanotechnology,Science and Technology,,,,,
2050,Consumer Protection Law,Hijacking,Intellectual Property Law,Trade Regulation,Antitrust,Food and Drug,Food and Drug Law,,,,
2051,Comparative Law,European Union,Genetics,Breast Cancer,Public Policy,,,,,,
2052,Food and Drug Law,Medical Jurisprudence,Regulation,Copyright,Intellectual Property Law,Science and Technology,Environment,,,,
2053,Food and Drug,Health,Revolution,States,,,,,,,
2054,Health,Public Health,Administrative Agencies,Congress,Advertising,First Amendment,,,,,
2055,Consumer Protection Law,Food and Drug Law,Nanotechnology,Science and Technology,Food and Drug,Health,Revolution,,,,
2056,States,Food and Drug,Health,Food and Drug Law,Intellectual Property Law,,,,,,
2057,Drugs,Medical Devices,Clinical Trials,Trials,Licensing,Nanotechnology,,,,,
2058,Drugs,Medical Devices,Consumer Protection Law,Food and Drug Law,Nanotechnology,Science and Technology,Regulation,,,,
2059,Drugs,Medical Devices,Nanotechnology,Soft Law,,,,,,,
2060,Intellectual Property,Licensing,Property,Malpractice,Information Privacy,Medical Jurisprudence,,,,,
2061,Deregulation,Food and Drug Law,Health Law and Policy,Medical Jurisprudence,Software,Health,Health Law,Remedies,,,
2062,Regulation,Inventions,,,,,,,,,
2063,Administrative Agencies,Liability,Evidence,Genetic Testing,Testimony,Food and Drug Law,Intellectual Property Law,Regulation,Science and Technology,,
2064,Administrative Agencies,Antitrust,Economics,Food and Drug Law,Intellectual Property Law,Trade Regulation,,,,,
2065,Legal History,Banking,Science and Technology,Criminal Law and Procedure,Remedies,,,,,,
2066,Business Organizations,Food and Drug Law,Industry,Mergers,Antitrust,Health Law,Trade Regulation,Prices,,,
2067,Health,Health Law,Public Health,States,,,,,,,
2068,Nanotechnology,,,,,,,,,,
2069,,,,,,,,,,,
2070,,,,,,,,,,,
2071,Civil Rights,Constitutional Law,Evidence,Pornography,Women,Politics,,,,,
2072,Bibliographies,Jurisprudence,Race,,,,,,,,
2073,Judges,Jurisprudence,Literature,Ethics,,,,,,,
2074,Law Reform,Legal History,Law Students,Research,Students,Women,,,,,
2075,Education,History,Race,Law and Society,Civil Rights,Courts,,,,,
2076,Education,Education Law,Law Reform,Corporations,Interest,Biography,Legal Education,,,,
2077,Constitutional Law,Education,First Amendment,Politics,Affirmative Action,,,,,,
2078,Human Rights Law,Constitutional Law,Freedom of Speech,Human Rights,Legislation,,,,,,
2079,Education,Law and Society,Affirmative Action,Legal History,,,,,,,
2080,Law and Society,Civil Rights,Employment Practice,Courts,,,,,,,
2081,Jurisprudence,Criminal Law and Procedure,Legal Profession,Professional Ethics,Politics,,,,,,
2082,Race,Bibliographies,Jurisprudence,,,,,,,,
2083,Arts,Criminal Law and Procedure,Legal Profession,,,,,,,,
2084,Legal Education,Courts,Judges,Legal Analysis and Writing,,,,,,,
2085,Law and Society,Immigration Law,Education,History,Legal History,Race,,,,,
2086,Regulation,Constitutional Law,Education,First Amendment,Politics,,,,,,
2087,Jurisprudence,Law Reform,Legal Writing,Revolution,Technology,Legal Education,,,,,
2088,Constitutional Law,Education,First Amendment,Politics,,,,,,,
2089,Evidence,Pornography,Women,Constitutional Law,Jurisprudence,Sex,,,,,
2090,Immigration Law,Law and Society,Judges,Jurisprudence,,,,,,,
2091,Legal Research,Research,Age,Law Reform,Legal History,,,,,,
2092,Civil Rights,Race,,,,,,,,,
2093,Law and Society,Biography,Jurisprudence,Education,Legal Education,,,,,,
2094,Police,Civil Rights,Law Enforcement,Race and Ethnicity,,,,,,,
2095,Jurisprudence,Internet,Legal Education,,,,,,,,
2096,Civil Rights,Comparative Law,Human Rights Law,International Trade,International Law,,,,,,
2097,Jurisprudence,Legal Writing,Computer Law,,,,,,,,
2098,Constitutional Law,Jurisprudence,Pornography,First Amendment,Gender,Race and Ethnicity,Regulation,Government,,,
2099,Education,History,Legal Education,Law and Society,Professional Ethics,Interest,,,,,
2100,Contracts,Legal Analysis and Writing,Legal Education,,,,,,,,
2101,Labor,Race,Sex,Wages,Jurisprudence,Law and Society,Women,,,,
2102,Law and Society,Professional Ethics,Insanity,Treason,Copyright,Legal History,,,,,
2103,Affirmative Action,,,,,,,,,,
2104,First Amendment,Immigration Law,Jurisprudence,Constitutional Law,Education,Politics,,,,,
2105,Civil Rights,Communications Law,Human Rights,Internet,First Amendment,Education Law,Social Media,,,,
2106,Costs,Civil Rights,Race and Ethnicity,Education Law,First Amendment,,,,,,
2107,Employment,Immigrants,Immigration Law,Law and Society,,,,,,,
2108,Fair Housing,Housing,Housing Law,Biography,Law and Society,,,,,,
2109,Legal History,Disability Law,Intellectual Property Law,International Trade,Persons,Soft Law,Comparative Law,Law and Society,States,Torts,
2110,,,,,,,,,,,
2111,Minorities,Women,Feminism,Jurisprudence,,,,,,,
2112,Legal Profession,Jurisprudence,Law and Society,,,,,,,,
2113,Standing,Statutes,Elections,Federalism,Marketing,,,,,,
2114,Legal Analysis and Writing,Evidence,Rape,,,,,,,,
2115,Antitrust,Settlements,Constitutions,Consultants,Consumer Protection Law,,,,,,
2116,Race,Education,,,,,,,,,
2117,Immigration Law,American Indians,Criminal Law and Procedure,Jurisdiction,Constitutional Law,Land Use Planning,,,,,
2118,History,Race,Social Justice,,,,,,,,
2119,Education Law,Comparative and Foreign Law,First Amendment,Race and Ethnicity,Communications Law,Criminal Law and Procedure,Information Privacy,,,,
2120,Rivers,International Law,Water,Water Law,,,,,,,
2121,Jurisprudence,Environmental Justice,Equity,Legal Literature,Literature,Comparative Law,Mixed Legal Systems,Sociological Jurisprudence,,,
2122,Women,Nuisance,Literature,,,,,,,,
2123,Domestic Relations,Reproduction,Race,Civil Rights,Human Rights,Minorities,,,,,
2124,Intellectual Property Law,Property,Databases,,,,,,,,
2125,Computer Law,Copyright,Intellectual Property Law,Technology,Legal Analysis and Writing,,,,,,
2126,Databases,Intellectual Property Law,Property,Copyright,Comparative Law,Contracts,,,,,
2127,Computer Law,Computers,Conflict of Laws,Electronics,International Law,,,,,,
2128,Computer Law,Intellectual Property Law,Communications Law,Jurisprudence,Internet,,,,,,
2129,Intellectual Property Law,International Law,,,,,,,,,
2130,Age,Intellectual Property,Intellectual Property Law,Property,Property Law,Research,,,,,
2131,Commerce,E-Commerce,Property,Age,Intellectual Property,Research,,,,,
2132,Property,Education,Futures,Legal Education,Databases,Domicile,Industrial and Intellectual Property,Secured Transactions,Security Interests,,
2133,Arbitration,Intellectual Property,Property,Communications Law,Consumer Protection,Consumer Protection Law,Intellectual Property Law,Names,Internet,,
2134,Remedies,Administrative Agencies,Electricity,Regulation,Investment,Investment Advisers,,,,,
2135,Intellectual Property Law,International Law,Military,War and Peace,Science and Technology,American Indians,,,,,
2136,Democracy,Government,Separation,Separation of Powers,Constitutional Law,Public Officials,,,,,
2137,Liability,Equity,Restitution,Ultra Vires,,,,,,,
2138,Good Faith,States,,,,,,,,,
2139,Age,Intellectual Property Law,Copyright,,,,,,,,
2140,Trademarks,Communications Law,Intellectual Property Law,Names,States,,,,,,
2141,Commercial Speech,Communications Law,Political Speech,States,Democracy,Prisoners,,,,,
2142,Constitutional Law,Women,Domestic Relations,Criminal Law and Procedure,Medical Jurisprudence,,,,,,
2143,Criminal Law and Procedure,Law Enforcement and Corrections,Politics,,,,,,,,
2144,Constitutional Law,Medical Jurisprudence,Sexuality and the Law,Women,,,,,,,
2145,Law and Society,Maintenance,Race,Law Enforcement and Corrections,Crimes,Due Process,Law Enforcement,State and Local Government Law,,,
2146,Child Neglect,Drug Abuse,Jurisprudence,Women,Family Law,,,,,,
2147,Domestic Relations,Jurisprudence,Feminism,Gender,Harassment,Race,Sexual Harassment,,,,
2148,Women,Domestic Relations,,,,,,,,,
2149,Medical Jurisprudence,Race,Reproduction,Law and Society,,,,,,,
2150,Children,Adoption,Evidence,Research,,,,,,,
2151,Domestic Relations,Foster Care,Juveniles,Punishment,Women,Equity,,,,,
2152,Citizenship,Civil Rights,Women,,,,,,,,
2153,Labor Law,Gender,Labor,Economics,Women,,,,,,
2154,Criminal Law and Procedure,Sex,Sex Crimes,,,,,,,,
2155,Abortion,Constitutional Law,First Amendment,Government,Medical Jurisprudence,,,,,,
2156,Domestic Relations,Constitutional Law,Women,Criminal Law and Procedure,,,,,,,
2157,Law and Society,Law Enforcement and Corrections,Gender,Race,Violence,Women,,,,,
2158,Civil Rights,Race,Reproduction,Regulation,,,,,,,
2159,Criminal Law and Procedure,Judges,Capital Punishment,,,,,,,,
2160,Civil Rights,Juveniles,Social Welfare Law,Race,Adoption,,,,,,
2161,Social Welfare Law,Sexuality and the Law,Drug Testing,,,,,,,,
2162,Children,Juveniles,,,,,,,,,
2163,Women,Race,,,,,,,,,
2164,Civil Rights,Juveniles,Social Welfare Law,Race,Adoption,,,,,,
2165,Disability,Social Welfare Law,,,,,,,,,
2166,Jurisprudence,Reproduction,Social Justice,Artificial Insemination,Health Insurance,In Vitro Fertilization,Infertility,Paternity,Physicians,Reproductive Technology,
2167,Child Support,Domestic Relations,Social Welfare Law,Women,,,,,,,
2168,Adoption,Child Abuse,Courts,Parents,Social Welfare Law,Children,,,,,
2169,Criminal Law,Gender,Rape,Labor,Women,,,,,,
2170,Race,Adoption,,,,,,,,,
2171,Civil Rights,Gender,Race,Criminal Law,Politics,Race and Ethnicity,,,,,
2172,Constitutional Amendment,Constitutional Law,Jurisprudence,Law and Society,Administrative Agencies,,,,,,
2173,Social Welfare Law,Civil Rights,Juveniles,,,,,,,,
2174,Commitment,Social Justice,Desegregation,Civil Rights,,,,,,,
2175,Politics,Race and Ethnicity,Criminal Law and Procedure,Domestic Relations,,,,,,,
2176,Constitutional Law,Medical Jurisprudence,Women,Civil Rights,Criminal Law and Procedure,,,,,,
2177,Juveniles,Civil Rights,Social Welfare Law,Race,,,,,,,
2178,Law and Society,Education,Nonprofit Organizations,Organizations,Religion,Vouchers,,,,,
2179,Gender,Law and Society,Race,Equal Protection,Fourteenth Amendment,Women,,,,,
2180,Race,Medical Jurisprudence,Philosophy,,,,,,,,
2181,Race,Research,Social Justice,Fourteenth Amendment,Medical Jurisprudence,Regulation,,,,,
2182,Law Enforcement,Criminal Law and Procedure,Military,War and Peace,,,,,,,
2183,Law and Society,Social Welfare Law,Women,Investigations,Stop and Frisk,,,,,,
2184,Curriculum,Age,Globalization,Sexuality,,,,,,,
2185,Civil Rights,Domestic Relations,Juveniles,Regulation,Sex,Sexuality,Adoption,,,,
2186,Law and Society,Infertility,Medical Jurisprudence,,,,,,,,
2187,Race,Discrimination,Health,Racial Discrimination,Health Care Providers,Health Law,Hospitals,Medicaid,Public Accommodations,,
2188,Domestic Relations,Genetics,Human Rights,International Law,Constitutional Law,,,,,,
2189,Politics,Race and Ethnicity,Courts,Criminal Law and Procedure,,,,,,,
2190,Commitment,Social Justice,Education,Interest,Biography,Education Law,Legal Education,,,,
2191,Women,Constitutional Law,Medical Jurisprudence,Domestic Relations,Police,Race and Ethnicity,Sex Crimes,Violence,,,
2192,Abortion,Judges,Constitutional Law,Medical Jurisprudence,Government,,,,,,
2193,Domestic Relations,Housing Law,Marriage,Race and Ethnicity,Segregation,Sexual Orientation,States,,,,
2194,Privacy,Punishment,Regulation,Children,Equity,,,,,,
2195,Civil Rights,Juveniles,Social Welfare Law,Adoption,Children,,,,,,
2196,Bioethics,Health,Ethics,,,,,,,,
2197,Women,Detention,Immigration Law,Terrorism,General,,,,,,
2198,Drugs,Food and Drug Law,Health,Law and Society,Medical Jurisprudence,Race,Commerce,,,,
2199,Inheritance,Race,History,Legal History,Age,Medicaid,,,,,
2200,Law and Society,Civil Rights,Criminal Law and Procedure,Domestic Relations,,,,,,,
2201,Women,Drugs,War,,,,,,,,
2202,Reproduction,States,Immigration Law,,,,,,,,
2203,States,Reproduction,Constitutional Law,Immigration Law,Race,,,,,,
2204,Women,Disability,Regulation,Reproduction,,,,,,,
2205,Law and Society,Domestic Relations,Reproduction,Economics,Regulation,Sexuality and the Law,,,,,
2206,Equity,Children,Violence,Women,,,,,,,
2207,,,,,,,,,,,
2208,Death,Law Enforcement and Corrections,National Security,Administrative Agencies,Judges,,,,,,
2209,Climate Change,Environment,Natural Resources Law,,,,,,,,
2210,Evidence,Jurisdiction,Constitutional Law,Courts,Supreme Court of the United States,Administrative Agencies,Common Law,Product Liability,Public Safety,,
2211,Rivers,Liability,Environmental Justice,,,,,,,,
2212,Water,Jurisdiction,Politics,,,,,,,,
2213,Congress,Environment,Water,Groundwater,Pollution,,,,,,
2214,Climate Change,Water,Environment,Livestock,,,,,,,
2215,Water,Land Use Planning,Risk Management,,,,,,,,
2216,Water,Jurisdiction,Industry,Regulation,,,,,,,
2217,Jurisdiction,Regulation,Water,Industry,Administrative Agencies,,,,,,
2218,Water,,,,,,,,,,
2219,Constitutional Law,Wildlife,Conservation,States,,,,,,,
2220,Oil and Gas,Congress,Legislation,Continental Shelf,,,,,,,
2221,Environment,Water,Administrative Agencies,,,,,,,,
2222,Water,,,,,,,,,,
2223,Constitutions,Takeovers,Constitutional Law,Judiciary,Legal History,,,,,,
2224,Endangered Species,Water,Discovery,Natural Resources Law,Regulation,,,,,,
2225,Biodiversity,Conservation,Administrative Agencies,Natural Resources Law,Wildlife,,,,,,
2226,Divorce,Domestic Relations,Law and Society,Marriage,Alimony,Economics,Feminism,Property,,,
2227,Alimony,Divorce,Interest,Marriage,Spousal Support,,,,,,
2228,Alimony,Domestic Relations,Economics,Feminism,Family Law,,,,,,
2229,Domestic Relations,Divorce,,,,,,,,,
2230,Domestic Relations,Juveniles,Parents,Reproduction,Marriage,,,,,,
2231,Age,Juveniles,Social Welfare Law,Domestic Relations,Paternity,,,,,,
2232,Child Support,Marriage,Reproduction,Paternity,,,,,,,
2233,Bail,Capital Punishment,Comparative Law,Constitutional Rights,Criminal Law and Procedure,Preventive Detention,Public Safety,Right to Bail,Constitutional Law,,
2234,Domestic Relations,Interest,Adoption,Children,Best Interests of the Child,Psychiatry and Psychology,,,,,
2235,Regulation,Subsidies,Sexuality and the Law,Paternity,,,,,,,
2236,Contracts,Family Law,Cohabitation,Judicial Discretion,Marriage,Children,Parents and Children,,,,
2237,Alimony,Spousal Support,,,,,,,,,
2238,Contracts,Domestic Relations,Surrogate Parenthood,Religion,Sexuality and the Law,,,,,,
2239,Domestic Relations,Family Law,Education,Sex,Sex Education,Sexuality and the Law,Public Schools,Religion,Schools,,
2240,Family Law,Child Support,Domestic Relations,Juveniles,Paternity,,,,,,
2241,Adoption,Partnerships,Reproduction,Race,,,,,,,
2242,Law and Society,Domestic Relations,Sexual Orientation,Civil Rights,Discrimination,Legal History,Marriage,,,,
2243,Medical Jurisprudence,Sexuality and the Law,Contracts,,,,,,,,
2244,Economics,Gender,Law and Society,Domestic Relations,Race,,,,,,
2245,Family Law,Federalism,Interest,Marriage,Sexuality and the Law,Domestic Relations,Gender,,,,
2246,Regulation,Reproduction,Gender,,,,,,,,
2247,Domestic Relations,Family Law,Law and Society,Marriage,,,,,,,
2248,Marriage,Public Policy,Regulation,Children,,,,,,,
2249,Judges,Politics,Race,Abortion,Jurisprudence,Law and Society,Torture,,,,
2250,Marriage,Reproduction,Paternity,Presumptions,Domestic Relations,Medical Jurisprudence,,,,,
2251,Medical Jurisprudence,Sexuality and the Law,Administrative Agencies,Reproduction,Contracts,Gender,Surrogate Parenthood,,,,
2252,Age,Education,Sex,Judges,Politics,,,,,,
2253,Parents,Family Law,Sex,Sexuality and the Law,Third Parties,,,,,,
2254,Gender,Reproduction,Marriage,Economics,,,,,,,
2255,Law and Society,Marriage,Same-Sex Marriage,Sex,Sexuality and the Law,Age,Domestic Relations,,,,
2256,Arts,Criminal Law and Procedure,Jurisprudence,Law and Society,,,,,,,
2257,Business Organizations,Death,Economics,Labor Law,Discrimination,Employment,Employment Discrimination,Gender,European Court of Human Rights,Human Rights,
2258,Commitment,Science and Technology,Sociology,Statistics,,,,,,,
2259,Education,Sex,Organizations,Domestic Relations,Feminism,Women,,,,,
2260,Domestic Relations,Family Law,Constitutions,,,,,,,,
2261,Economics,Law and Economics,Research,Separation,Antitrust,Financial Law,,,,,
2262,Parents,Domestic Relations,,,,,,,,,
2263,Gender,Feminism,Violence,Women,,,,,,,
2264,Domestic Relations,Family Law,Sex,,,,,,,,
2265,Intellectual Property,Intellectual Property Law,Property,American Indians,Testimony,,,,,,
2266,Banking,History,Securities,Economics,Investigations,Politics,,,,,
2267,Age,Gender,Discrimination,Employment,Employment Discrimination,Liability,,,,,
2268,Alimony,Legislation,,,,,,,,,
2269,Gender,Reproduction,Discrimination,Employment,,,,,,,
2270,Economics,Law and Society,Legal Education,Law Students,Strikes,Students,,,,,
2271,Science and Technology,Democracy,International Law,Politics,Self-Determination,History,Political Science,,,,
2272,Marriage,Economics,,,,,,,,,
2273,Domestic Relations,Education,Sex,Juveniles,Law and Society,Women,,,,,
2274,Equal Access to Justice,Fees,Attorneys,Attorneys' Fees,,,,,,,
2275,Health,Health Law,Fourteenth Amendment,Politics,Civil Procedure,Procedure,,,,,
2276,Religion,Animal Law,Environment,Science and Technology,,,,,,,
2277,Administrative Agencies,Reproduction,Comparative Law,Domestic Relations,States,Surrogate Parenthood,Jurisprudence,,,,
2278,Domestic Relations,Medical Jurisprudence,Regulation,Subsidies,Tourism,,,,,,
2279,Zoning,Domestic Relations,Law and Society,Children,Juveniles,,,,,,
2280,Domestic Relations,Family Law,Jurisprudence,Juveniles,Parents,Constitutional Rights,,,,,
2281,Marriage,Reproduction,Consent,Children,Sex,,,,,,
2282,Children,Domestic Relations,Juveniles,Gender,Reproduction,Family Law,,,,,
2283,Parents,,,,,,,,,,
2284,Domestic Relations,Marriage,Reproduction,Sexual Orientation,Law and Society,Family Law,,,,,
2285,Ethics,Biotechnology,Industry,Research,Licensing,,,,,,
2286,Reproduction,Women,Education,Sex,Abortion,Liability,,,,,
2287,Commitment,Politics,Rape,Sex Crimes,Law and Society,Sex,,,,,
2288,Women,Marriage,Violence,,,,,,,,
2289,Commitment,Domestic Relations,Family Law,Science and Technology,,,,,,,
2290,Environment,Human Rights Law,International Law,Jurisprudence,Domestic Relations,,,,,,
2291,Administration of Justice,Civil Rights,Legal Education,South Africa,Jurisprudence,Law and Ethics,Reciprocity,,,,
2292,,,,,,,,,,,
2293,Administrative Agencies,Liquidation,Titles,First Amendment,,,,,,,
2294,Domestic Relations,Health Law,Medical Jurisprudence,Reproduction,Gender,Marriage,,,,,
2295,Marriage,Reproduction,Child Support,Domestic Relations,Science and Technology,,,,,,
2296,Family Law,Regulation,Jurisprudence,Legislation,,,,,,,
2297,Courts,Dispute Resolution,Family Law,Legislation,States,,,,,,
2298,Contracts,Costs,Taxation-Federal Income,Water,Surrogate Parenthood,,,,,,
2299,Marriage,Polygamy,Same-Sex Marriage,Sex,States,Domestic Relations,Religion,,,,
2300,Women,Gender,,,,,,,,,
2301,Children,Medical Jurisprudence,Sexuality and the Law,Death,Ethics,,,,,,
2302,Civil Rights,Discovery,Practice and Procedure,,,,,,,,
2303,Civil Procedure,Civil Rights,Federal Rules of Civil Procedure,Practice and Procedure,Procedure,,,,,,
2304,Practice and Procedure,Remedies,Statutes,Law and Society,Legal History,Race,,,,,
2305,Economics,Interest,Legal Education,President/Executive Department,Race,Biography,Jurisprudence,Law and Society,Race and Ethnicity,,
2306,Practice and Procedure,Pleadings,Civil Rights,,,,,,,,
2307,Discrimination,Employment,Employment Discrimination,Class Actions,Damages,Due Process,Punitive Damages,Employment Practice,Petroleum,Practice and Procedure,
2308,Arbitration,Binding Arbitration,,,,,,,,,
2309,Procedure,Employment Practice,Discrimination,,,,,,,,
2310,Civil Rights,Employment,Jury,Summary Judgment,Criminal Procedure,General,Procedure,,,,
2311,Class Actions,Women,Discrimination,Employment,Employment Discrimination,,,,,,
2312,Civil Rights,Practice and Procedure,Race and Ethnicity,Women,,,,,,,
2313,Civil Rights,Class Actions,Equity,Remedies,,,,,,,
2314,States,Arbitration,,,,,,,,,
2315,Discrimination,Employment,Employment Discrimination,Plaintiffs,,,,,,,
2316,Procedure,Jurisprudence,Practice and Procedure,Civil Procedure,,,,,,,
2317,Practice and Procedure,Supreme Court of the United States,Civil Procedure,Federal Rules of Civil Procedure,Procedure,Jurisprudence,Separation,Separation of Powers,,,
2318,Interest,Law and Society,Class Actions,,,,,,,,
2319,Class Actions,Discrimination,Employment,Employment Discrimination,Employment Practice,Remedies,,,,,
2320,Gender,Prescription,Courts,,,,,,,,
2321,Injunctions,Civil Rights,Class Actions,,,,,,,,
2322,Procedure,Class Actions,,,,,,,,,
2323,Courts,Guardians,Judges,Judicial Process,Comparative Law,Economics,Judiciary,Law and Economics,Elections,Politics,
2324,Economics,Law and Economics,States,,,,,,,,
2325,Law Enforcement and Corrections,Politics,Age,Controlled Substances,Criminal Law and Procedure,Determinate Sentencing,Drugs,Firearms,Minors,,
2326,Civil Law,Common Law,Jurisprudence,Economics,Comparative Law,Legal Research,,,,,
2327,Consent,Property,Evidence,Comparative Law,Developing Countries,,,,,,
2328,Comparative Law,International Trade,International Law,Jurisdiction,,,,,,,
2329,Government,Law Enforcement,Rent,History,,,,,,,
2330,Comparative Law,Judges,Appeals,Courts,Judiciary,Legal Ethics,,,,,
2331,Constitutional Courts,Constitutional Law,Courts,Comparative Law,Politics,,,,,,
