,First Name,Last Name,School,Fuzz 1,Fuzz 2,Fuzz 3,Name 1,Name 2,Name 3,School 1,School 2,School 3
153,Lisa A.,Crooms-Robinson,Howard ,58,56,55,Thomas Robinson,Paul Robinson,Nicholas Robinson,University of Miami School of Law,University of Pennsylvania Law School,Pace University Elisabeth Haub School of Law
154,Patience A.,Crowder,Denver ,91,55,55,Patience Crowder,Martin Gardner,Lance Cole,University of Denver Sturm College of Law,University of Nebraska College of Law,The Pennsylvania State University – Dickinson Law
155,Loyola,Crusto. Mitchell F,New Orl. ,60,59,59,Thomas Mitchell,Dalia Tsuk Mitchell,Dalia Tsuk Mitchell,Texas A&M University School of Law,The George Washington University Law School,The George Washington University Law School
156,David B.,Cruz,Southern Cal. ,87,75,75,David Cruz,David Crump,David Bruck,University of Southern California Gould School of Law,University of Houston Law Center,Washington and Lee University School of Law
157,Gilda,Daniels,Baltimore ,65,64,59,E. Brigham Daniels,Gail Daly,Lincoln Davies,"Brigham Young University, J. Reuben Clark Law School","Southern Methodist University, Dedman School of Law","University of Utah, S. J. Quinney College of Law"
158,Okianer Christian,Dark,Howard ,69,65,59,Christian Day,Christine Davik,Christine Desan,Syracuse University College of Law,University of Maine School of Law,Harvard Law School
159,Adrienne D.,Davis,Wash. St. Louis,90,62,62,Adrienne Davis,Helane Davis,Angela Davis,Washington University in St. Louis School of Law,Albany Law School,"American University, Washington College of Law"
160,Angela J.,Davis,American ,89,71,67,Angela Davis,Angela Harris,Helane Davis,"American University, Washington College of Law","University of California, Davis, School of Law",Albany Law School
161,Kevin E.,Davis,New York Univ ,88,64,62,Kevin Davis,Kevin Walsh,Helane Davis,New York University School of Law,The University of Richmond School of Law,Albany Law School
162,Peggy Cooper,Davis,New York Univ ,76,55,53,Peggy Davis,Nestor Davidson,Angela Davis,New York University School of Law,Fordham University School of Law,"American University, Washington College of Law"
163,Timothy,Davis,Wake Forest ,100,74,74,Timothy Davis,Timothy Waters,Timothy Fisher,Wake Forest University School of Law,Indiana University Maurer School of Law,University of Connecticut School of Law
164,April Gordon,Dawson,North Car. Central ,58,56,55,Ariela Gross,Andrew Dawson,Carlton Larson,University of Southern California Gould School of Law,University of Miami School of Law,"University of California, Davis, School of Law"
165,Frank E.,Deale,CUNY ,64,59,58,Frank Pasquale,Frank Vandall,Sara Beale,University of Maryland Francis King Carey School of Law,Emory University School of Law,Duke University School of Law
166,Steven A.,Dean,Brooklyn ,88,74,72,Steven Dean,Steven Heyman,Steven Bank,Brooklyn Law School,"Chicago-Kent College of Law, Illinois Institute of Technology","University of California, Los Angeles School of Law"
167,Sarah,Deer,Kansas ,70,70,67,Sarah Cole,Sara Beale,Sarah Burns,"The Ohio State University, Michael E. Moritz College of Law",Duke University School of Law,New York University School of Law
168,James M.,Delaney,Wyoming ,74,72,64,James Duane,James May,James Kainen,Regent University School of Law,"American University, Washington College of Law",Fordham University School of Law
169,Phillip E.,DeLaTorre,Kansas ,61,61,56,Philip Harvey,Philip Harvey,Philip Hamburger,Rutgers Law School,Rutgers Law School,Columbia Law School
170,Connie M.V.,de la Vega,San Francisco ,87,59,47,Connie de la Vega,Connie Mayer,Daniel Mandelker,University of San Francisco School of Law,Albany Law School,Washington University in St. Louis School of Law
171,Richard,Delgado,Alabama ,77,76,76,Richard Leo,Richard Hyland,Richard Hyland,University of San Francisco School of Law,Rutgers Law School,Rutgers Law School
172,Andrea L.,Dennis,Georgia ,90,67,64,Andrea Dennis,Andrea Lyon,Donna Dennis,University of Georgia School of Law,Valparaiso University Law School,Rutgers Law School
173,Diane,Desierto,Hawaii ,100,69,67,Diane Desierto,Dianne Oster,Diane Dick,"University of Hawaii, William S. Richardson School of Law",Seton Hall University School of Law,Seattle University School of Law
174,Dhammika,Dharmapala,Univ. of Chicago ,100,61,52,Dhammika Dharmapala,Shamika Dalton,David Yamada,"The University of Chicago, The Law School",University of Tennessee College of Law,Suffolk University Law School
175,Raymond T.,Diamond,LSU ,91,67,65,Raymond Diamond,John Diamond,P. Raymond Lamonica,"Louisiana State University, Paul M. Hebert Law Center","University of California, Hastings College of the Law","Louisiana State University, Paul M. Hebert Law Center"
176,J. Herbie,DiFonzo,Hofstra ,100,52,52,J. Herbie DiFonzo,Jerome Borison,Jeffrey Dunoff,Maurice A. Deane School of Law at Hofstra University,University of Denver Sturm College of Law,"Temple University, James E. Beasley School of Law"
177,Ryan D,Doerfler,Pennsylvania ,93,57,54,Ryan Doerfler,Ryan Scoville,Joan Wexler,University of Pennsylvania Law School,Marquette University Law School,Brooklyn Law School
178,Raff,Donelson,LSU ,62,59,57,Aaron Nielson,Nina Mendelson,Rachel Anderson,"Brigham Young University, J. Reuben Clark Law School",The University of Michigan Law School,"University of Nevada, Las Vegas, William S. Boyd School of Law"
179,Justin A.,Driver,Univ. of Chicago ,60,60,57,Justin McCrary,Justin Marceau,Justin Pidot,Columbia Law School,University of Denver Sturm College of Law,University of Denver Sturm College of Law
180,Veena,Dubal,UC Hastings ,55,55,55,Steven Walt,Steven Dean,Mark Drumbl,University of Virginia School of Law,Brooklyn Law School,Washington and Lee University School of Law
181,Jon C.,Dubin,Rutgers ,86,86,61,Jon Dubin,Jon Dubin,John Devlin,Rutgers Law School,Rutgers Law School,"Louisiana State University, Paul M. Hebert Law Center"
182,Adriana,Duffy-Horling,Santa Clara ,51,51,51,Seana Shiffrin,Sabrina Safrin,Sabrina Safrin,"University of California, Los Angeles School of Law",Rutgers Law School,Rutgers Law School
183,Olympia R.,Duhart,Nova Southeastern ,56,48,48,Amelia Rinehart,Melissa Hart,Lilian Faulhaber,"University of Utah, S. J. Quinney College of Law",University of Colorado Law School,Georgetown University Law Center
184,Ariel E.,Dulitzky,Univ of Texas,47,47,46,Irwin Stotzky,Daniel Blinka,Gail Daly,University of Miami School of Law,Marquette University Law School,"Southern Methodist University, Dedman School of Law"
185,Meredith J.,Duncan,Houston Law Cntr. ,91,67,59,Meredith Duncan,Meredith Conway,Martha-Grace Duncan,University of Houston Law Center,Suffolk University Law School,Emory University School of Law
186,Emeka A.,Duruigbo,Texas Southern ,45,43,43,Samuel Murumba,Reza Dibadj,Mark Drumbl,Brooklyn Law School,University of San Francisco School of Law,Washington and Lee University School of Law
187,Rashmi,Dyal-Chand,Northeastern ,57,55,53,Rashmi Goel,Rakesh Anand,David Garland,University of Denver Sturm College of Law,Syracuse University College of Law,New York University School of Law
188,Maurice R.,Dyson,Thomas Jefferson ,59,59,58,Marc Rodwin,Laurie Dore,Laurie Levenson,Suffolk University Law School,Drake University Law School,"Loyola Law School, Los Angeles"
189,Angelique W,EagleWoman,Mitchell Hamline ,56,56,51,Alec Walen,Alec Walen,Melissa Wasserman,Rutgers Law School,Rutgers Law School,University of Illinois College of Law
190,Allen K.,Easley,Western state ,62,59,59,Kellen Zale,Allan Erbsen,Allan Erbsen,University of Houston Law Center,University of Minnesota Law School,University of Minnesota Law School
191,Tabrez,Ebrahim,Cal. Western ,64,64,54,Darian Ibrahim,Darian Ibrahim,Lorie Graham,William & Mary Law School,William & Mary Law School,Suffolk University Law School
192,George E.,Edwards,Ind. McKinney,62,62,60,John Edwards,George Annas,George Thomas,Drake University Law School,Boston University School of Law,Rutgers Law School
193,Malik,Edwards,North Car. Central ,69,64,61,Linda Edwards,John Edwards,Mark Adams,"University of Nevada, Las Vegas, William S. Boyd School of Law",Drake University Law School,University of Idaho College of Law
194,Pamela,Edwards,CUNY ,67,62,60,Linda Edwards,John Edwards,Pamela Samuelson,"University of Nevada, Las Vegas, William S. Boyd School of Law",Drake University Law School,"University of California, Berkeley School of Law"
195,Monika U.,Ehrman,Univ. of Oklahoma ,56,55,55,Sam Erman,Micah Schwartzman,Donald Braman,University of Southern California Gould School of Law,University of Virginia School of Law,The George Washington University Law School
196,Einer R.,Elhauge,Harvard ,90,90,52,Einer Elhauge,Einer Elhauge,Vincent Rougeau,Harvard Law School,Harvard Law School,Boston College Law School
197,Atiba R.,Ellis,Marquette ,88,55,54,Atiba Ellis,Arti Rai,Stella Elias,Marquette University Law School,Duke University School of Law,University of Iowa College of Law
198,Lia,Epperson,American ,100,62,62,Lia Epperson,Lisa Bernstein,Lindsay Robertson,"American University, Washington College of Law","The University of Chicago, The Law School",University of Oklahoma College of Law
199,JoAnne A.,Epps,Temple ,88,59,59,JoAnne Epps,Yvonne Cripps,Yvonne Cripps,"Temple University, James E. Beasley School of Law",Indiana University Maurer School of Law,Indiana University Maurer School of Law
200,Sheldon A.,Evans,St John’s ,55,54,50,Sheldon Kurtz,Jill Evans,Stella Elias,University of Iowa College of Law,"Samford University, Cumberland School of Law",University of Iowa College of Law
201,Tonya M.,Evans,New Hampshire ,64,56,56,Tanya Marsh,Thomas Main,Ronald Mann,Wake Forest University School of Law,"University of Nevada, Las Vegas, William S. Boyd School of Law",Columbia Law School
202,Uche,Ewelukwa,Ark. Fayetteville,48,46,46,Michael Moreland,Rachel Barkow,Michael Selmi,Villanova University Charles Widger School of Law,New York University School of Law,The George Washington University Law School
203,Bryan Keith,Fair,Alabama ,64,57,57,Brian Leiter,Keith Miller,Brian Lepard,"The University of Chicago, The Law School",Drake University Law School,University of Nebraska College of Law
204,Edward A.,Fallone,Marquette ,90,69,67,Edward Fallone,Edward Foley,Edward Swaine,Marquette University Law School,"The Ohio State University, Michael E. Moritz College of Law",The George Washington University Law School
205,Jennifer,Fan,Wash. Seattle,81,81,81,Jennifer Martin,Jennifer Laurin,Jennifer Chacon,St. Thomas University School of Law,The University of Texas School of Law,"University of California, Los Angeles School of Law"
206,Mary D.,Fan,Wash.. Seattle ,84,84,70,Mary Fan,Mary Fan,Mary Falk,University of Washington School of Law,University of Washington School of Law,Brooklyn Law School
207,Anthony Paul,Farley,Albany ,85,69,65,Anthony Farley,Anthony Casey,Anthony Gaughan,Albany Law School,"The University of Chicago, The Law School",Drake University Law School
208,Vicenc,Feliu,Nova Southeastern ,64,59,56,Vincent Blasi,Vincent Rougeau,Michael Selmi,Columbia Law School,Boston College Law School,The George Washington University Law School
209,Patty,Ferguson-Bohnee,Ariz. state ,56,54,54,Patty Gerstenblith,Kenneth Ferguson,Kenneth Ferguson,DePaul University College of Law,University of Missouri-Kansas City School of Law,University of Missouri-Kansas City School of Law
210,Laura,Fernandez,Ohio state ,93,76,73,Laura Hernandez,Carl Hernandez,Tanya Hernandez,Baylor University School of Law,"Brigham Young University, J. Reuben Clark Law School",Fordham University School of Law
211,Ramona G,Fernandez,Loyola. New Orl. ,73,67,62,Tanya Hernandez,Laura Hernandez,Carl Hernandez,Fordham University School of Law,Baylor University School of Law,"Brigham Young University, J. Reuben Clark Law School"
212,Matthew L.M.,Fletcher,Mich. state ,86,65,65,Matthew Fletcher,Matthew Schaefer,Matthew Adler,Michigan State University College of Law,University of Nebraska College of Law,Duke University School of Law
213,M. Anthony,Flores,WMU-Cooley ,71,65,62,Anthony Farley,Anthony Polito,Anthony Cook,Albany Law School,Suffolk University Law School,Georgetown University Law Center
214,Robert L.,Flores,Utah ,90,79,73,Robert Flores,Robert Force,Robert Lawless,"University of Utah, S. J. Quinney College of Law",Tulane University Law School,University of Illinois College of Law
215,Rodney O.,Fong,John Marshall ,59,52,52,Sidney DeLong,RonNell Jones,Bradley Fogel,Seattle University School of Law,"University of Utah, S. J. Quinney College of Law",Saint Louis University School of Law
216,Jessica,Fonseca-Nader,St. Thomas ,61,61,59,Jessica Roberts,Jessica Berg,Jessica Wimer,University of Houston Law Center,Case Western Reserve University School of Law,"University of California, Irvine School of Law"
217,Richard T.,Ford,Stanford ,76,71,71,Richard Gordon,Richard Freer,Richard Frase,Case Western Reserve University School of Law,Emory University School of Law,University of Minnesota Law School
218,Kim,Forde-Mazrui,Univ. of Va. ,100,48,47,Kim Forde-Mazrui,Kevin Kordana,Richard Marcus,University of Virginia School of Law,University of Virginia School of Law,"University of California, Hastings College of the Law"
219,James Jr.,Forman,Yale ,71,67,65,James Feinerman,James Fanto,James Van Nostrand,Georgetown University Law Center,Brooklyn Law School,West Virginia University College of Law
220,Susan S.,Fortney,Texas A&M ,90,67,67,Susan Fortney,Susan Morse,Susan Jones,Texas A&M University School of Law,The University of Texas School of Law,The George Washington University Law School
221,Demetria D.,Frank,Memphis ,58,55,53,Deborah Forman,Katherine Franke,Tamar Frankel,Whittier Law School,Columbia Law School,Boston University School of Law
222,Bernard K.,Freamon,Seton Hall ,75,67,65,Bernard Keenan,Bernard Chao,Bernard Oxman,Suffolk University Law School,University of Denver Sturm College of Law,University of Miami School of Law
223,Angelique,Fridman,Florida Int'l ,67,62,62,Joel Friedman,Ann Freedman,Ann Freedman,Tulane University Law School,Rutgers Law School,Rutgers Law School
224,Erin C.,Fuse Brown,Georgia State ,55,55,55,Kristine Bowman,Karen Brown,Eric Chason,Michigan State University College of Law,The George Washington University Law School,William & Mary Law School
225,Theresa A.,Gabaldon,George Washington ,91,71,61,Theresa Gabaldon,Theresa Glennon,Charles Yablon,The George Washington University Law School,"Temple University, James E. Beasley School of Law",Benjamin N. Cardozo School of Law
226,Jose M.,Gabilondo,Florida Int'l ,58,57,53,Joseph Glannon,Solangel Maldonado,Joseph Franco,Suffolk University Law School,Seton Hall University School of Law,Suffolk University Law School
227,Raquel,Gabriel,CUNY ,83,62,62,Russell Gabriel,Ruben Garcia,Paul McGreal,University of Georgia School of Law,"University of Nevada, Las Vegas, William S. Boyd School of Law",Creighton University School of Law
228,K. W.,Gaines,South Carolina ,52,52,52,D. Marvin Jones,A. James Barnes,A. James Barnes,University of Miami School of Law,Indiana University Maurer School of Law,Indiana University Maurer School of Law
229,Alfredo,Garcia,St. Thomas ,100,64,64,Alfredo Garcia,Alfred Aman,Alfred Aman,St. Thomas University School of Law,Indiana University Maurer School of Law,Indiana University Maurer School of Law
230,Kristelia,Garcia,Colorado ,65,64,60,Kristina Daugirdas,Frank Garcia,Alfredo Garcia,The University of Michigan Law School,Boston College Law School,St. Thomas University School of Law
231,Ruben J.,Garcia,Nevada Las Vegas,89,59,55,Ruben Garcia,Frank Garcia,Alfredo Garcia,"University of Nevada, Las Vegas, William S. Boyd School of Law",Boston College Law School,St. Thomas University School of Law
232,Antonio R.,Garcia-Padilla,Puerto Rico ,57,57,47,Ann Marie Marciarille,Ann Marie Marciarille,Antonio Perez,University of Missouri-Kansas City School of Law,University of Missouri-Kansas City School of Law,"The Catholic University of America, Columbus School of Law"
233,Emily S.,Garcia Uhrig,McGeorge ,92,92,59,Emily Garcia Uhrig,Emily Garcia Uhrig,Emily Sherwin,"University of the Pacific, McGeorge School of Law","University of the Pacific, McGeorge School of Law",Cornell Law School
234,Trevor,Gardner,Wash. Seattle,64,62,60,Martin Gardner,Trevor Morrison,Gregory Caldeira,University of Nebraska College of Law,New York University School of Law,"The Ohio State University, Michael E. Moritz College of Law"
235,Nira,Geevargis,San Francisco ,58,57,56,Mira Ganor,Daniel Gervais,Neal Devins,The University of Texas School of Law,Vanderbilt University Law School,William & Mary Law School
236,Rafael,Gely,Missouri ,61,61,58,Rafael Pardo,Daniel Kelly,Rachel Godsil,Emory University School of Law,Notre Dame Law School,Rutgers Law School
237,Erika,George,Utah ,100,75,72,Erika George,Erik Gerding,Tracey George,"University of Utah, S. J. Quinney College of Law",University of Colorado Law School,Vanderbilt University Law School
238,Jeannie Suk,Gersen,Harvard ,88,88,67,Jeannie Gersen,Jeannie Gersen,Janine Geske,Harvard Law School,Harvard Law School,Marquette University Law School
239,Ahmed,Ghappour,Boston Univ. ,56,53,52,Ahmed White,Afra Afsharipour,Michael Rappaport,University of Colorado Law School,"University of California, Davis, School of Law",University of San Diego School of Law
240,Llewellyn J.,Gibbons,Toledo ,53,50,50,Owen Jones,Willa Gibson,Larry Gibson,Vanderbilt University Law School,University of Akron School of Law,University of Maryland Francis King Carey School of Law
241,Brenda D.,Gibson,North Car. Central ,57,57,57,Willa Gibson,Larry Gibson,Brenda Smith,University of Akron School of Law,University of Maryland Francis King Carey School of Law,"American University, Washington College of Law"
242,Angela,Gilmore,North Car. Central ,77,62,62,Angela Riley,Angela Davis,Angela Carmella,"University of California, Los Angeles School of Law","American University, Washington College of Law",Seton Hall University School of Law
243,Ronnie R. Jr.,Gipson,LaVerne ,56,55,55,Lonnie Brown,Yvonne Cripps,Yvonne Cripps,University of Georgia School of Law,Indiana University Maurer School of Law,Indiana University Maurer School of Law
244,Jonathan D.,Glater,Cal. Irvine,91,75,73,Jonathan Glater,Jonathan Adler,Jonathan Miller,"University of California, Irvine School of Law",Case Western Reserve University School of Law,Southwestern Law School
245,Pamela S.,Glean,North Car. Central ,65,62,59,Pamela Samuelson,Pamela Wilkins,Paul Stephan,"University of California, Berkeley School of Law",University of Detroit Mercy School of Law,University of Virginia School of Law
246,Miriam,Gohara,Yale ,75,70,69,Miriam Baer,Mira Ganor,Mitra Sharafi,Brooklyn Law School,The University of Texas School of Law,University of Wisconsin Law School
247,Laura E.,Gomez,U.C.L.A. ,88,62,62,Laura Gomez,Laura Rovner,Laura Graham,"University of California, Los Angeles School of Law",University of Denver Sturm College of Law,Wake Forest University School of Law
248,Manuel A,Gomez,Florida Int'l ,64,62,57,Laura Gomez,Manuel Utset,Michael Graetz,"University of California, Los Angeles School of Law",Florida State University College of Law,Columbia Law School
249,Tomas,Gomez-Arostegui,Lewis & Clark ,100,59,58,Tomas Gomez-Arostegui,Thomas Arthur,Tom Romero,Lewis and Clark Law School,Emory University School of Law,University of Denver Sturm College of Law
250,Natalie M.,Gomez-Velez,CUNY ,49,49,49,Carmen Gonzalez,Carmen Gonzalez,Carlos Gonzalez,University of Houston Law Center,Seattle University School of Law,Rutgers Law School
251,Mariana H.C.,Gonstead,St. Thomas-Mpls. ,55,55,55,Martin Stone,Maria Hylton,Maria Glover,Benjamin N. Cardozo School of Law,Boston University School of Law,Georgetown University Law Center
252,Jasmine B.,Gonzales Rose,Pittsburgh ,93,56,56,Jasmine Gonzales Rose,Janine Geske,Carmen Gonzalez,University of Pittsburgh School of Law,Marquette University Law School,University of Houston Law Center
253,Carmen G,Gonzalez,Seattle ,94,94,75,Carmen Gonzalez,Carmen Gonzalez,Carlos Gonzalez,University of Houston Law Center,Seattle University School of Law,Rutgers Law School
254,Carmen G.,Gonzalez,Houston Law Cntr. ,91,91,73,Carmen Gonzalez,Carmen Gonzalez,Carlos Gonzalez,University of Houston Law Center,Seattle University School of Law,Rutgers Law School
255,Marc-Tizoc,Gonzalez,St. Thomas ,73,71,71,Jarod Gonzalez,Carlos Gonzalez,Carlos Gonzalez,Texas Tech University School of Law,Rutgers Law School,Rutgers Law School
256,Victor M.,Goode,CUNY ,77,60,53,Victor Gold,Victoria Nourse,Victoria Sutton,"Loyola Law School, Los Angeles",Georgetown University Law Center,Texas Tech University School of Law
257,Christine Chambers,Goodman,Pepperdine ,68,68,67,Christine Desan,Christine Desan,Christopher Cameron,Harvard Law School,Harvard Law School,Southwestern Law School
258,Michele,Goodwin,Cal. Irvine,100,71,69,Michele Goodwin,Michelle Kwon,Michelle Simon,"University of California, Irvine School of Law",University of Tennessee College of Law,Pace University Elisabeth Haub School of Law
259,Richard K.,Gordon,Case Western Res. ,90,69,69,Richard Gordon,Richard Garnett,I. Richard Gershon,Case Western Reserve University School of Law,Notre Dame Law School,University of Mississippi School of Law
260,Ruth E.,Gordon,Villanova ,88,64,62,Ruth Gordon,Richard Gordon,Sarah Gordon,Villanova University Charles Widger School of Law,Case Western Reserve University School of Law,University of Pennsylvania Law School
261,Darlene C.,Goring,LSU ,90,69,62,Darlene Goring,Caroline Corbin,Lawrence Gostin,"Louisiana State University, Paul M. Hebert Law Center",University of Miami School of Law,Georgetown University Law Center
262,Neil T,Gotanda,Western state ,67,62,59,Neil Cogan,Neil Netanel,Neil Buchanan,Whittier Law School,"University of California, Los Angeles School of Law",University of Florida Fredric G. Levin College of Law
263,Michael Z.,Green,Texas A&M ,90,90,90,Michael Green,Michael Green,Michael Green,William & Mary Law School,William & Mary Law School,Texas A&M University School of Law
264,Sally Terry,Green,Texas Southern ,65,62,62,Hillary Greene,Stuart Green,Shelby Green,University of Connecticut School of Law,Rutgers Law School,Pace University Elisabeth Haub School of Law
265,Shelby D.,Green,Pace ,89,64,64,Shelby Green,Michael Green,Michael Green,Pace University Elisabeth Haub School of Law,William & Mary Law School,Texas A&M University School of Law
266,Jamal,Greene,Columbia ,100,67,64,Jamal Greene,Linda Greene,Michael Green,Columbia Law School,University of Wisconsin Law School,Texas A&M University School of Law
267,Kevin J.,Greene,Thomas Jefferson ,69,67,64,Karen Green,Linda Greene,Kevin Worthen,University of Mississippi School of Law,University of Wisconsin Law School,"Brigham Young University, J. Reuben Clark Law School"
268,Wendy,Greene,Samford ,75,75,72,Wendy Gordon,Linda Greene,Wendy Mariner,Boston University School of Law,University of Wisconsin Law School,Boston University School of Law
269,Michael J,Greenlee,Concordia ,84,84,84,Michael Green,Michael Green,Michael Green,William & Mary Law School,William & Mary Law School,Texas A&M University School of Law
270,David,Grenardo,St. Mary's ,77,75,74,David Gerber,David Gray,David Garland,"Chicago-Kent College of Law, Illinois Institute of Technology",University of Maryland Francis King Carey School of Law,New York University School of Law
271,David,Grewal,Yale ,82,75,72,David Gray,David Gerber,David McGowan,University of Maryland Francis King Carey School of Law,"Chicago-Kent College of Law, Illinois Institute of Technology",University of San Diego School of Law
272,Marsha,Griggs,Washburn ,79,64,59,Marsha Garrison,Marshall Breger,Khiara Bridges,Brooklyn Law School,"The Catholic University of America, Columbus School of Law",Boston University School of Law
273,Pratheepan,Gulasekaram,Santa Clara ,59,56,53,Jonathan Glater,Kathleen Clark,Stephen Gardbaum,"University of California, Irvine School of Law",Washington University in St. Louis School of Law,"University of California, Los Angeles School of Law"
274,Anjum,Gupta,Rutgers ,55,50,50,Priya Gupta,Andrew Guzman,Amy Gajda,Southwestern Law School,University of Southern California Gould School of Law,Tulane University Law School
275,Jimmy,Gurule,Notre Dame ,100,60,56,Jimmy Gurule,Jim Wren,James Gordley,Notre Dame Law School,Baylor University School of Law,Tulane University Law School
276,Lakshman D.,Guruswamy,Colorado ,92,48,46,Lakshman Guruswamy,Laura Graham,Mark Grunewald,University of Colorado Law School,Wake Forest University School of Law,Washington and Lee University School of Law
277,Kaaryn S,Gustafson,Cal. Irvine ,94,69,61,Kaaryn Gustafson,Charles Gustafson,Kathryn Stanchi,"University of California, Irvine School of Law",Georgetown University Law Center,"Temple University, James E. Beasley School of Law"
278,Katheleen R.,Guzman,Univ. of Oklahoma ,91,69,67,Katheleen Guzman,Kathleen Boozang,Kathleen Payne,University of Oklahoma College of Law,Seton Hall University School of Law,Michigan State University College of Law
279,Phoebe A.,Haddon,Rutgers ,90,90,52,Phoebe Haddon,Phoebe Haddon,Phoebe Williams,Rutgers Law School,Rutgers Law School,Marquette University Law School
280,Sam,HaJabi,Missouri ,63,57,57,Sam Kamin,Susan Haack,Adam Babich,University of Denver Sturm College of Law,University of Miami School of Law,Tulane University Law School
281,Vivian E.,Hamilton,William & Mary ,91,91,67,Vivian Hamilton,Vivian Hamilton,Daniel Hamilton,William & Mary Law School,William & Mary Law School,"University of Nevada, Las Vegas, William S. Boyd School of Law"
282,Gautam,Hans,Vanderbilt ,62,61,58,Patricia Hansen,Grant Hayden,James Hawkins,The University of Texas School of Law,Maurice A. Deane School of Law at Hofstra University,University of Houston Law Center
283,Roberta M.,Harding,Kentucky ,91,67,67,Roberta Harding,Robert Hardaway,Robert Chang,University of Kentucky College of Law,University of Denver Sturm College of Law,Seattle University School of Law
284,Vinay,Harpalani,John Marshall Atlanta,58,57,56,Sanjay Chhablani,Nita Farahany,Cinnamon Carlarne,Syracuse University College of Law,Duke University School of Law,"The Ohio State University, Michael E. Moritz College of Law"
285,Angela P.,Harris,UC Davis,90,71,62,Angela Harris,Angela Davis,Cheryl Harris,"University of California, Davis, School of Law","American University, Washington College of Law","University of California, Los Angeles School of Law"
286,Jasmine Elwick,Harris,UC Davis,61,59,55,James Elkins,Angela Harris,Robin Harris,West Virginia University College of Law,"University of California, Davis, School of Law","University of Louisville, Louis D. Brandeis School of Law"
287,Zelda B.,Harris,Loyola Chicago,71,64,64,Angela Harris,Donald Harris,Cheryl Harris,"University of California, Davis, School of Law","Temple University, James E. Beasley School of Law","University of California, Los Angeles School of Law"
288,Keith M.,Harrison,John Marshall Atlanta,90,67,67,Keith Harrison,Keith Hand,John Harrison,Atlanta's John Marshall Law School,"University of California, Hastings College of the Law",University of Virginia School of Law
289,Danielle K.,Hart,Southwestern ,90,69,69,Danielle Hart,Daniel Martin,Daniel Bogart,Southwestern Law School,"Loyola Law School, Los Angeles",Chapman University Dale E. Fowler School of Law
290,Hosea H.,Harvey,Temple ,89,57,55,Hosea Harvey,Roger Hartley,Joseph Kearney,"Temple University, James E. Beasley School of Law","The Catholic University of America, Columbus School of Law",Marquette University Law School
291,Dean M.,Hashimoto,Boston Coll. ,90,69,60,Dean Hashimoto,Erica Hashimoto,Jean Mattimoe,Boston College Law School,Georgetown University Law Center,University of Idaho College of Law
292,Renee,Hatcher,John Marshall ,69,67,62,Renee Landers,Renee Knake,Arlene Kanter,Suffolk University Law School,University of Houston Law Center,Syracuse University College of Law
293,Cynthia G.,Hawkins,Stetson ,69,67,65,Cynthia Farina,Cynthia Starnes,Cynthia Jones,Cornell Law School,Michigan State University College of Law,"American University, Washington College of Law"
294,Andrew,Hayashi,Univ. of Va. ,100,72,72,Andrew Hayashi,Andrew Chin,Andrew Chin,University of Virginia School of Law,University of North Carolina School of Law,University of North Carolina School of Law
295,Taja-Nia Y.,Henderson,Rutgers ,63,63,63,William Henderson,William Henderson,Nina Mendelson,Indiana University Maurer School of Law,Indiana University Maurer School of Law,The University of Michigan Law School
296,Carl,Hernandez,III. Brigham Young ,100,83,77,Carl Hernandez,Laura Hernandez,Michael Hernandez,"Brigham Young University, J. Reuben Clark Law School",Baylor University School of Law,Regent University School of Law
297,John F.,Hernandez,St. Thomas ,69,65,65,Tanya Hernandez,John Tehranian,Carl Hernandez,Fordham University School of Law,Southwestern Law School,"Brigham Young University, J. Reuben Clark Law School"
298,Tanya Kateri,Hernandez,Fordham ,81,67,65,Tanya Hernandez,Carl Hernandez,Laura Hernandez,Fordham University School of Law,"Brigham Young University, J. Reuben Clark Law School",Baylor University School of Law
299,Berta E.,Hcmandez-Truyol,Univ. of Florida ,83,50,47,Berta Hernandez-Truyol,Bert Lazerow,Bert Huang,University of Florida Fredric G. Levin College of Law,University of San Diego School of Law,Columbia Law School
300,Luz E.,Herrera,Texas A&M ,88,52,50,Luz Herrera,Louis Hensler,Luke Meier,Texas A&M University School of Law,Regent University School of Law,Baylor University School of Law
301,Maurice Y. Jr.,Hew,Texas Southern ,56,55,53,Maurice Stucke,Laurie Dore,Marie Newman,University of Tennessee College of Law,Drake University Law School,Pace University Elisabeth Haub School of Law
302,F. Michael,Higginbotham,Baltimore ,65,65,62,Michael Higdon,Michael Dimino,D. Michael Risinger,University of Tennessee College of Law,Widener University Commonwealth Law School,Seton Hall University School of Law
303,David S.,Hill,Colorado ,72,69,69,David Millon,David Shipley,David Caudill,Washington and Lee University School of Law,University of Georgia School of Law,Villanova University Charles Widger School of Law
304,Laila L.,Hlass,Tulane ,52,50,50,Daniel Hulsebosch,Marina Lao,Daniela Caruso,New York University School of Law,Seton Hall University School of Law,Boston University School of Law
305,Cynthia M.,Ho,Loyola Chicago,69,69,67,Cynthia Jones,Cynthia Alkon,Cynthia Lee,"American University, Washington College of Law",Texas A&M University School of Law,The George Washington University Law School
306,Daniel E.,Ho,Stanford ,70,70,70,Daniel Cole,Daniel Cole,Daniel Chow,Indiana University Maurer School of Law,Indiana University Maurer School of Law,"The Ohio State University, Michael E. Moritz College of Law"
