Title,List Author,Author(s),Journal,Journal,Vol,Issue,Pages,BBCite,Cited (articles),Cited (cases),Accessed,Topics,ID
Housing: A Case for the Medicalization of Poverty [article],Dayna Bowen Matthew,"Webb, B. Cameron; Matthew, Dayna Bowen (Cited 217 times)","Journal of Law, Medicine and Ethics, Vol. 46, Issue 3 (Fall 2018), pp. 588-594","Journal of Law, Medicine and Ethics, ",Vol.  46,3 (Fall 2018),588-594,Full Text Not Currently Available in HeinOnline,na,na,2,"Housing, Children, Health, Health Law and Policy, Housing Law",5016
"Next Steps in Health Reform: Hospitals, Medicaid Expansion, and Racial Equity [article]",Dayna Bowen Matthew,"Matthew, Dayna Bowen (Cited 217 times)","Journal of Law, Medicine and Ethics, Vol. 46, Issue 4 (Winter 2018), pp. 906-912","Journal of Law, Medicine and Ethics, ",Vol.  46,4 (Winter 2018),906-912,Full Text Not Currently Available in HeinOnline,na,na,na,"Equity, Health, Hospitals, Medicaid, States",5016
Reining in the Rogue Squadron: Making Sense of the Original Source Exception for Qui Tam Relators [notes],Dayna Bowen Matthew,"Matthew, Dayna Bowen (Cited 217 times)","Washington and Lee Law Review, Vol. 69, Issue 1 (Winter 2012), pp. 409-418","Washington and Lee Law Review, ",Vol.  69,1 (Winter 2012),409-418,69 Wash. & Lee L. Rev. 409 (2012),na,na,1,"Criminal Law and Procedure, Government Contracts, Legislation, Jurisdiction, Legal History",5016
Lessons from the Other America: Turning a Public Health Lens on Fighting Racism and Poverty [notes],Dayna Bowen Matthew,"Matthew, Dayna Bowen (Cited 217 times)","University of Memphis Law Review, Vol. 49, Issue 1 (Fall 2018), pp. 229-262","University of Memphis Law Review, ",Vol.  49,1 (Fall 2018),229-262,49 U. Mem. L. Rev. 229 (2018-2019),na,na,na,na,5016
Health and Housing: Altruistic Medicalization of America's Affordability Crisis [article],Dayna Bowen Matthew,"Matthew, Dayna Bowen (Cited 217 times)","Law and Contemporary Problems, Vol. 81, Issue 3 (2018), pp. 161-194","Law and Contemporary Problems, ",Vol.  81,3 (2018),161-194,81 Law & Contemp. Probs. 161 (2018),na,na,40,"Health, Health Law and Policy, Housing, Housing Law, Law Reform",5016
The Expressive Dimension of Equal Protection [article],Deborah Hellman,"Hellman, Deborah (Cited 386 times)","Minnesota Law Review, Vol. 85, Issue 1 (November 2000), pp. 1-70","Minnesota Law Review, ",Vol.  85,1 (November 2000),Jan-70,85 Minn. L. Rev. 1 (2000-2001),110,na,26,"Constitutional Law, Equal Protection, Jurisprudence",4257
The Importance of Appearing Principled [article],Deborah Hellman,"Hellman, Deborah (Cited 386 times)","Arizona Law Review, Vol. 37, Issue 4 (Winter 1995), pp. 1107-1152","Arizona Law Review, ",Vol.  37,4 (Winter 1995),1107-1152,37 Ariz. L. Rev. 1107 (1995),54,1,20,"Judges, Jurisprudence, Constitutional Law, Practice and Procedure, Criminal Law and Procedure",4257
Money Talks but It Isn't Speech [article],Deborah Hellman,"Hellman, Deborah (Cited 386 times)","Minnesota Law Review, Vol. 95, Issue 3 (2011), pp. 953-1002","Minnesota Law Review, ",Vol.  95,3 (2011),953-1002,95 Minn. L. Rev. 953 (2010-2011),42,1,28,"First Amendment, Money, Politics, Terrorism",4257
Defining Corruption and Constitutionalizing Democracy [article],Deborah Hellman,"Hellman, Deborah (Cited 386 times)","Michigan Law Review, Vol. 111, Issue 8 (June 2013), pp. 1385-1422","Michigan Law Review, ",Vol.  111,8 (June 2013),1385-1422,111 Mich. L. Rev. 1385 (2012-2013),31,na,82,"Criminal Law and Procedure, Politics",4257
Is Actuarially Fair Insurance Pricing Actually Fair - A Case Study in Insuring Battered Women [article],Deborah Hellman,"Hellman, Deborah S. (Cited 386 times)","Harvard Civil Rights-Civil Liberties Law Review, Vol. 32, Issue 2 (Summer 1997), pp. 355-412","Harvard Civil Rights-Civil Liberties Law Review, ",Vol.  32,2 (Summer 1997),355-412,32 Harv. C.R.-C.L. L. Rev. 355 (1997),29,na,11,"Battered Women, Gender, Genetic Information, Insurance, Insurance Law, Women, Constitutional Law, English Language, Discrimination, Health Insurance",4257
What Makes Genetic Discrimination Exceptional [article],Deborah Hellman,"Hellman, Deborah (Cited 386 times)","American Journal of Law & Medicine, Vol. 29, Issue 1 (2003), pp. 77-116","American Journal of Law & Medicine, ",Vol.  29,1 (2003),77-116,29 Am. J.L. & Med. 77 (2003),26,na,21,"Civil Rights, Discrimination, Insurance Law, Insurance",4257
"Judging by Appearances: Professional Ethics, Expressive Government, and the Moral Significance of How Things Seem [article]",Deborah Hellman,"Hellman, Deborah (Cited 386 times)","Maryland Law Review, Vol. 60, Issue 3 (2001), pp. 653-687","Maryland Law Review, ",Vol.  60,3 (2001),653-687,60 Md. L. Rev. 653 (2001),23,na,10,"Ethics, Government, Professional Ethics, Constitutional Law",4257
Two Types of Discrimination: The Familiar and the Forgotten [article],Deborah Hellman,"Hellman, Deborah (Cited 386 times)","California Law Review, Vol. 86, Issue 2 (March 1998), pp. 315-362","California Law Review, ",Vol.  86,2 (March 1998),315-362,86 Calif. L. Rev. 315 (March 1998),21,na,18,"Discrimination, Legislation, State and Local Government Law, Proxies",4257
Two Concepts of Discrimination [article],Deborah Hellman,"Hellman, Deborah (Cited 386 times)","Virginia Law Review, Vol. 102, Issue 4 (June 2016), pp. 895-952","Virginia Law Review, ",Vol.  102,4 (June 2016),895-952,102 Va. L. Rev. 895 (June 2016),13,na,66,"Discrimination, Fourteenth Amendment, Jurisprudence, Capital Punishment, Punishment, Race",4257
Introduction [comments],Deborah Hellman,"Hellman, Deborah (Cited 386 times)","Maryland Law Review, Vol. 60, Issue 3 (2001), pp. 465-466","Maryland Law Review, ",Vol.  60,3 (2001),465-466,60 Md. L. Rev. 465 (2001),8,na,2,"Constitutional Law, Equal Protection, Ethics, Government, Professional Ethics",4257
Equal Protection in the Key of Respect [article],Deborah Hellman,"Hellman, Deborah (Cited 386 times)","Yale Law Journal, Vol. 123, Issue 8 (June 2014), pp. 3036-3063","Yale Law Journal, ",Vol.  123,8 (June 2014),3036-3063,123 Yale L. J. 3036 (2013-2014),7,na,10,"Education, Equal Protection, Law and Society, Domestic Relations, Marriage, Same-Sex Marriage, Sex, Sexuality and the Law, Civil Rights, Employment Practice",4257
Prosecuting Doctors for Trusting Patients [article],Deborah Hellman,"Hellman, Deborah (Cited 386 times)","George Mason Law Review, Vol. 16, Issue 3 (Spring 2009), pp. 701-746","George Mason Law Review, ",Vol.  16,3 (Spring 2009),701-746,16 Geo. Mason L. Rev. 701 (2008-2009),5,na,11,"Medical Jurisprudence, Patients, Drugs, Food and Drug Law, Legislation, Prescription, Prescription Drugs",4257
Resurrecting the Neglected Liberty of Self-Government [article],Deborah Hellman,"Hellman, Deborah (Cited 386 times)","University of Pennsylvania Law Review Online, Vol. 164, pp. 233-240","University of Pennsylvania Law Review Online, ",Vol.  164,na,233-240,164 U. Pa. L. Rev. Online 233 (2015-2016),4,na,1,"Government, Liberty, Administration Law, Regulation, First Amendment",4257
Unintended Implications [article],Deborah Hellman,"Hellman, Deborah (Cited 386 times)","Virginia Law Review, Vol. 101, Issue 4 (June 2015), pp. 1105-1110","Virginia Law Review, ",Vol.  101,4 (June 2015),1105-1110,101 Va. L. Rev. 1105 (2015),3,na,9,"International Law, Criminal Law and Procedure, Law Enforcement",4257
A Theory of Bribery [article],Deborah Hellman,"Hellman, Deborah (Cited 386 times)","Cardozo Law Review, Vol. 38, Issue 6 (August 2017), pp. 1947-1992","Cardozo Law Review, ",Vol.  38,6 (August 2017),1947-1992,38 Cardozo L. Rev. 1947 (2016-2017),2,na,61,"Criminal Law and Procedure, Politics, Legislation",4257
Defending Two Concepts of Discrimination: A Reply to Simons [article],Deborah Hellman,"Hellman, Deborah (Cited 386 times)","Virginia Law Review Online, Vol. 102, pp. 113-119","Virginia Law Review Online, ",Vol.  102,na,113-119,102 Va. L. Rev. Online 113 (2016),2,na,13,Discrimination,4257
"Comments on Michel Rosenfeld's the Identity of the Constitutional Subject: Selfhood, Citizenship, Culture, and Community [comments]",Deborah Hellman,"Hellman, Deborah (Cited 386 times)","Cardozo Law Review, Vol. 33, Issue 5 (June 2012), pp. 1839-1846","Cardozo Law Review, ",Vol.  33,5 (June 2012),1839-1846,33 Cardozo L. Rev. 1839 (June 2012),1,na,13,"Citizenship, Constitutional Law, Jurisprudence, Gender, Race",4257
Foreword: Special Issue on Campaign Finance [comments],Deborah Hellman,"Hellman, Deborah (Cited 386 times); Schultz, David (Cited 342 times)","University of Pennsylvania Law Review Online, Vol. 164, pp. 207-214","University of Pennsylvania Law Review Online, ",Vol.  164,na,207-214,164 U. Pa. L. Rev. Online 207 (2015-2016),1,na,1,"Campaign Finance, Money, Government, Politics, Constitutional Law",4257
"Evidence, Belief, and Action: The Failure of Equipoise to Resolve the Ethical Tension in the Randomized Clinical Trial [article]",Deborah Hellman,"Hellman, Deborah (Cited 386 times)","Journal of Law, Medicine and Ethics, Vol. 30, Issue 3 (Fall 2002), pp. 375-380","Journal of Law, Medicine and Ethics, ",Vol.  30,3 (Fall 2002),375-380,30 J.L. Med. & Ethics 375 (2002),1,na,1,"Evidence, Research",4257
Money and Rights [article],Deborah Hellman,"Hellman, Deborah (Cited 386 times)","New York University Review of Law & Social Change, Vol. 35, Issue 3 (2011), pp. 527-549","New York University Review of Law & Social Change, ",Vol.  35,3 (2011),527-549,35 N.Y.U. Rev. L. & Soc. Change 527 (2011),1,na,3,"Money, First Amendment, Campaign Finance, Economics, Politics",4257
Discrimination: When Is It Morally Wrong and Why [article],Deborah Hellman,"Hellman, Deborah (Cited 386 times)","Dartmouth Law Journal, Vol. 4, Issue 3 (Fall 2006), pp. 3-6","Dartmouth Law Journal, ",Vol.  4,3 (Fall 2006),6-Mar,4 Dartmouth L.J. 3 (2006),na,na,25,"Discrimination, Insurance, Insurance Law, Law and Society, Sentencing",4257
Letter to the Editor [comments],Deborah Hellman,"Hellman, Deborah (Cited 386 times)","Journal of Law, Medicine and Ethics, Vol. 31, Issue 2 (Summer 2003), pp. 182-182","Journal of Law, Medicine and Ethics, ",Vol.  31,2 (Summer 2003),182-182,31 J.L. Med. & Ethics 182 (2003),na,na,2,"Evidence, Research, Ethics, Public Policy",4257
Politics and Terrorism: What Happens When Money is Speech? [comments],Deborah Hellman,"Hellman, Deborah (Cited 386 times)","Virginia Law Review in Brief, Vol. 98, pp. 71-75","Virginia Law Review in Brief, ",Vol.  98,na,71-75,98 Va. L. Rev. Brief 71 (2012),na,na,4,"Money, Politics, Terrorism, First Amendment, Humanitarian Law",4257
Recognizing and Remedying the Harm to Battering: A Call to Criminalize Domestic Violence [article],Deborah Tuerkheimer,"Tuerkheimer, Deborah (Cited 393 times)","Journal of Criminal Law & Criminology, Vol. 94, Issue 4 (Summer 2004), pp. 959-1032","Journal of Criminal Law & Criminology, ",Vol.  94,4 (Summer 2004),959-1032,94 J. Crim. L. & Criminology 959 (Summer 2004),79,na,29,"Domestic Relations, Medical Jurisprudence, Criminal Law and Procedure",6165
Crawford's Triangle: Domestic Violence and the Right of Confrontation [article],Deborah Tuerkheimer,"Tuerkheimer, Deborah (Cited 393 times)","North Carolina Law Review, Vol. 85, Issue 1 (December 2006), pp. 1-62","North Carolina Law Review, ",Vol.  85,1 (December 2006),Jan-62,85 N.C. L. Rev. 1 (2006-2007),42,4,13,"Evidence, Criminal Law and Procedure, Domestic Relations",6165
The Next Innocence Project: Shaken Baby Syndrome and the Criminal Courts [article],Deborah Tuerkheimer,"Tuerkheimer, Deborah (Cited 393 times)","Washington University Law Review, Vol. 87, Issue 1 (2009), pp. 1-58","Washington University Law Review, ",Vol.  87,1 (2009),Jan-58,87 Wash. U. L. Rev. 1 (2009-2010),39,25,85,"Courts, Medical Jurisprudence, Evidence, Scientific Evidence, Research, Scientific Research",6165
Rape on and off Campus [article],Deborah Tuerkheimer,"Tuerkheimer, Deborah (Cited 393 times)","Emory Law Journal, Vol. 65, Issue 1 (2015), pp. 1-46","Emory Law Journal, ",Vol.  65,1 (2015),Jan-46,65 Emory L.J. 1 (2015-2016),31,na,37,"Education, Rape, Rape and Sexual Assault, Sex Crimes",6165
Conceptualizing Violence against Pregnant Women [article],Deborah Tuerkheimer,"Tuerkheimer, Deborah (Cited 393 times)","Indiana Law Journal, Vol. 81, Issue 2 (Spring 2006), pp. 667-712","Indiana Law Journal, ",Vol.  81,2 (Spring 2006),667-712,81 Ind. L.J. 667 (2006),26,na,28,"Violence, Women, Domestic Violence, Shelters",6165
Judging Sex [article],Deborah Tuerkheimer,"Tuerkheimer, Deborah (Cited 393 times)","Cornell Law Review, Vol. 97, Issue 6 (September 2012), pp. 1461-1504","Cornell Law Review, ",Vol.  97,6 (September 2012),1461-1504,97 Cornell L. Rev. 1461 (2011-2012),19,na,23,"Evidence, Sentencing, Sex Crimes, Women, Criminal Law and Procedure, Rape and Sexual Assault, Shield Laws",6165
Slutwalking in the Shadow of the Law [article],Deborah Tuerkheimer,"Tuerkheimer, Deborah (Cited 393 times)","Minnesota Law Review, Vol. 98, Issue 4 (April 2014), pp. 1453-1511","Minnesota Law Review, ",Vol.  98,4 (April 2014),1453-1511,98 Minn. L. Rev. 1453 (2013-2014),19,na,25,"Incompetents, Mentally Disabled, Rape and Sexual Assault, Sexuality and the Law, Women, Sex Crimes, Criminal Law and Procedure",6165
Science-Dependent Prosecution and the Problem of Epistemic Contingency: A Study of Shaken Baby Syndrome [article],Deborah Tuerkheimer,"Tuerkheimer, Deborah (Cited 393 times)","Alabama Law Review, Vol. 62, Issue 3 (2011), pp. 513-570","Alabama Law Review, ",Vol.  62,3 (2011),513-570,62 Ala. L. Rev. 513 (2010-2011),16,5,13,"Law and Society, Medical Jurisprudence, Research, Scientific Research, Juveniles, Psychiatry and Psychology",6165
Exigency [article],Deborah Tuerkheimer,"Tuerkheimer, Deborah (Cited 393 times)","Arizona Law Review, Vol. 49, Issue 4 (2007), pp. 801-836","Arizona Law Review, ",Vol.  49,4 (2007),801-836,49 Ariz. L. Rev. 801 (2007),16,6,4,"Criminal Law and Procedure, Evidence, Law Enforcement and Corrections, Domestic Relations",6165
Underenforcement as Unequal Protection [article],Deborah Tuerkheimer,"Tuerkheimer, Deborah (Cited 393 times)","Boston College Law Review, Vol. 57, Issue 4 (2016), pp. 1287-1336","Boston College Law Review, ",Vol.  57,4 (2016),1287-1336,57 B.C. L. Rev. 1287 (2016),14,na,43,"Fourteenth Amendment, Criminal Law and Procedure, Immigration Law, Legal History",6165
A Relational Approach to the Right of Confrontation and Its Loss [article],Deborah Tuerkheimer,"Tuerkheimer, Deborah (Cited 393 times)","Journal of Law and Policy, Vol. 15, Issue 2 (2007), pp. 725-758","Journal of Law and Policy, ",Vol.  15,2 (2007),725-758,15 J.L. & Pol'y 725 (2007),13,na,1,"Criminal Law and Procedure, Evidence",6165
Forfeiture after Giles: The Relevance of Domestic Violence Context [article],Deborah Tuerkheimer,"Tuerkheimer, Deborah (Cited 393 times)","Lewis & Clark Law Review, Vol. 13, Issue 3 (Fall 2009), pp. 711-732","Lewis & Clark Law Review, ",Vol.  13,3 (Fall 2009),711-732,13 Lewis & Clark L. Rev. 711 (2009),13,na,5,"Evidence, Criminal Law and Procedure, Domestic Relations",6165
Renewing the Call to Criminalize Domestic Violence: An Assessment Three Years Later [comments],Deborah Tuerkheimer,"Tuerkheimer, Deborah (Cited 393 times)","George Washington Law Review, Vol. 75, Issue 3 (April 2007), pp. 613-626","George Washington Law Review, ",Vol.  75,3 (April 2007),613-626,75 Geo. Wash. L. Rev. 613 (2006-2007),12,na,5,"Domestic Violence, Violence, Women, Domestic Relations",6165
Incredible Women: Sexual Violence and the Credibility Discount [article],Deborah Tuerkheimer,"Tuerkheimer, Deborah (Cited 393 times)","University of Pennsylvania Law Review, Vol. 166, Issue 1 (December 2017), pp. 1-58","University of Pennsylvania Law Review, ",Vol.  166,1 (December 2017),Jan-58,166 U. Pa. L. Rev. 1 (2017-2018),10,1,178,"Criminal Law and Procedure, Education, Rape and Sexual Assault, Sex Crimes, Sexuality and the Law",6165
Affirmative Consent [article],Deborah Tuerkheimer,"Tuerkheimer, Deborah (Cited 393 times)","Ohio State Journal of Criminal Law, Vol. 13, Issue 2 (Spring 2016), pp. 441-468","Ohio State Journal of Criminal Law, ",Vol.  13,2 (Spring 2016),441-468,13 Ohio St. J. Crim. L. 441 (2015-2016),8,na,128,"Consent, Psychiatry and Psychology, Sex Crimes",6165
Street Harassment as Sexual Subordination: The Phenomenology of Gender-Specific Harm [article],Deborah Tuerkheimer,"Tuerkheimer, Deborah (Cited 393 times)","Wisconsin Women's Law Journal, Vol. 12, Issue 2 (Fall 1997), pp. 167-206","Wisconsin Women's Law Journal, ",Vol.  12,2 (Fall 1997),167-206,12 Wis. Women's L.J. 167 (1997),8,na,165,"Gender, Harassment, Privacy, Right to Privacy, Sexual Harassment",6165
After Flint: Environmental Justice as Equal Protection [article],Deborah Tuerkheimer,"Dana, David A. (Cited 828 times); Tuerkheimer, Deborah (Cited 393 times)","Northwestern University Law Review Online, Vol. 111, pp. 93-102","Northwestern University Law Review Online, ",Vol.  111,na,93-102,111 Nw. U. L. Rev. Online 93 (2016-2017),7,na,47,"Environmental Justice, Equal Protection, Civil Rights, Environment, Water, Federalism",6165
After Flint: Environmental Justice as Equal Protection [article],Deborah Tuerkheimer,"Dana, David A. (Cited 828 times); Tuerkheimer, Deborah (Cited 393 times)","Northwestern University Law Review, Vol. 111, Issue 3 (2017), pp. 879-890","Northwestern University Law Review, ",Vol.  111,3 (2017),879-890,111 Nw. U. L. Rev. 879 (2016-2017),3,na,37,"Civil Rights, Environment, Environmental Justice, Equal Protection, Water",6165
Breakups [article],Deborah Tuerkheimer,"Tuerkheimer, Deborah (Cited 393 times)","Yale Journal of Law and Feminism, Vol. 25, Issue 1 (2013), pp. 51-98","Yale Journal of Law and Feminism, ",Vol.  25,1 (2013),51-98,25 Yale J.L. & Feminism 51 (2013-2014),3,na,29,"Violence, Literature, Stalking, Research, Women",6165
Sex without Consent [article],Deborah Tuerkheimer,"Tuerkheimer, Deborah (Cited 393 times)","Yale Law Journal Forum, Vol. 123, pp. 335-352","Yale Law Journal Forum, ",Vol.  123,na,335-352,123 Yale L.J. F. 335 (2013-2014),3,na,27,"Consent, Sex, Rape, Fraud",6165
Control Killings [comments],Deborah Tuerkheimer,"Tuerkheimer, Deborah (Cited 393 times)","Texas Law Review See Also, Vol. 87, pp. 117-124","Texas Law Review See Also, ",Vol.  87,na,117-124,87 Tex. L. Rev. See Also 117 (2009),3,na,na,"Evidence, Criminal Law and Procedure",6165
Criminal Justice and the Mattering of Lives [reviews],Deborah Tuerkheimer,"Tuerkheimer, Deborah (Cited 393 times)","Michigan Law Review, Vol. 116, Issue 6 (April 2018), pp. 1145-1166","Michigan Law Review, ",Vol.  116,6 (April 2018),1145-1166,116 Mich. L. Rev. 1145 (2017-2018),2,na,48,"Fourteenth Amendment, Criminal Law and Procedure",6165
Forfeiture in the Domestic Violence Realm [article],Deborah Tuerkheimer,"Tuerkheimer, Deborah (Cited 393 times)","Texas Law Review See Also, Vol. 85, pp. 49-55","Texas Law Review See Also, ",Vol.  85,na,49-55,85 Tex. L. Rev. See Also 49 (2006-2007),2,na,1,"Criminal Law and Procedure, Domestic Relations",6165
Criminal Justice for All [article],Deborah Tuerkheimer,"Tuerkheimer, Deborah (Cited 393 times)","Journal of Legal Education, Vol. 66, Issue 1 (Autumn 2016), pp. 24-28","Journal of Legal Education, ",Vol.  66,1 (Autumn 2016),24-28,66 J. Legal Educ. 24 (2016-2017),1,na,40,"Criminal Law, Law Enforcement, Fourteenth Amendment, Domestic Violence, Law and Society, Violence, Women",6165
Introductory Letter [comments],Deborah Tuerkheimer,"Tuerkheimer, Deborah (Cited 393 times)","DePaul Journal of Women, Gender and the Law, Vol. 1, Issue 1 (Spring 2011), pp. 1-2","DePaul Journal of Women, Gender and the Law, ",Vol.  1,1 (Spring 2011),2-Jan,1 DePaul J. Women Gender & L. 1 (2011),na,na,5,"Gender, Criminal Law and Procedure, Jurisprudence, Human Rights Law, International Law",6165
Confrontation and the Re-Privatization of Domestic Violence [article],Deborah Tuerkheimer,"Tuerkheimer, Deborah (Cited 393 times)","Michigan Law Review First Impressions, Vol. 113, pp. 32-42","Michigan Law Review First Impressions, ",Vol.  113,na,32-42,113 Mich. L. Rev. First Impressions 32 (2014),na,na,6,"Evidence, Criminal Law and Procedure",6165
Ethnographic Evidence [comments],Deborah Tuerkheimer,"Tuerkheimer, Deborah (Cited 393 times); Benzecry, Claudio; Cohen, Philip; Mills, Steven; Nippert-Eng, Christena; Patiillo, Mary","Northwestern Journal of Law and Social Policy, Vol. 13, Issue 1 (2017), pp. 138-164","Northwestern Journal of Law and Social Policy, ",Vol.  13,1 (2017),138-164,13 Nw. J. L. & Soc. Pol'y 138 (2017-2018),na,na,19,"Evidence, Ethics, Research",6165
Financial Alchemy: How Tax Shelter Promoters Use Financial Products to Bedevil the IRS (And How the IRS Helps Them) [article],Del Jr. Wright,"Wright, Del Jr. (Cited 8 times)","Arizona State Law Journal, Vol. 45, Issue 2 (Summer 2013), pp. 611-674","Arizona State Law Journal, ",Vol.  45,2 (Summer 2013),611-674,45 Ariz. St. L.J. 611 (2013),6,na,6,"Taxation-Federal Income, Regulation, States, Shelters",562
Bogus Refunds & Bad Penalties: The Feckless and Fixable Refund Penalty System [article],Del Jr. Wright,"Wright, Del Jr. (Cited 8 times)","Akron Law Review, Vol. 48, Issue 3 (2015), pp. 547-604","Akron Law Review, ",Vol.  48,3 (2015),547-604,48 Akron L. Rev. 547 (2015),2,na,2,"Refunds, First Amendment, Money",562
Improperly Burdened: The Uncertain and Sometimes Unfair Application of Tax Penalties [article],Del Jr. Wright,"Wright, Del Jr. (Cited 8 times)","Virginia Tax Review, Vol. 35, Issue 1 (Summer 2015), pp. 1-59","Virginia Tax Review, ",Vol.  35,1 (Summer 2015),Jan-59,35 Va. Tax Rev. 1 (2015-2016),na,na,12,"Attorneys, Notice, Burden of Proof, Proof, Due Process",562
The Condorcet Jury Thereon and the Expressive Function of Law: A Theory of Informative Law [article],Dhammika Dharmapala,"Dharmapala, Dhammika (Cited 89 times); McAdams, Richard H. (Cited 2120 times)","American Law and Economics Review , Vol. 5, Issue 1 (Spring 2003), pp. 1-31","American Law and Economics Review , ",Vol.  5,1 (Spring 2003),31-Jan,Full Text Not Currently Available in HeinOnline,27,na,na,"Jury, Practice and Procedure, Tobacco",9081
"Legislatures, Judges, and Parole Boards: The Allocations of Discretion under Determinate Sentencing [article]",Dhammika Dharmapala,"Dharmapala, Dhammika (Cited 89 times); Garoupa, Nuno (Cited 257 times); Shepherd, Joanna M. (Cited 648 times)","Florida Law Review , Vol. 62, Issue 4 (September 2010), pp. 1037-1090","Florida Law Review , ",Vol.  62,4 (September 2010),1037-1090,62 Fla. L. Rev. 1037 (2010),17,na,16,"Law Enforcement and Corrections, Politics, Aged, Controlled Substances, Criminal Law and Procedure, Determinate Sentencing, Drugs, Firearms, Minors",9081
An Economic Analysis of Riding to Hounds: Pierson v. Post Revisited [article],Dhammika Dharmapala,"Dharmapala, Dhammika (Cited 89 times); Pitchford, Rohan (Cited 20 times)","Journal of Law, Economics, and Organization , Vol. 18, Issue 1 (April 2002), pp. 39-66","Journal of Law, Economics, and Organization , ",Vol.  18,1 (April 2002),39-66,Full Text Not Currently Available in HeinOnline,15,na,na,"Computer Law, Legal Analysis and Writing, Jurisprudence, Natural Law",9081
Words That Kill - An Economic Model of the Influence of Speech on Behavior (with Particular Reference to Hate Speech) [article],Dhammika Dharmapala,"Dharmapala, Dhammika (Cited 89 times); McAdams, Richard H. (Cited 2120 times)","Journal of Legal Studies, Vol. 34, Issue 1 (January 2005), pp. 93-136","Journal of Legal Studies, ",Vol.  34,1 (January 2005),93-136,34 J. Legal Stud. 93 (2005),6,na,24,"Psychiatry and Psychology, Hate Crimes, Criminal Law and Procedure",9081
The Law of Police [article],Dhammika Dharmapala,"McAdams, Richard H. (Cited 2120 times); Dharmapala, Dhammika (Cited 89 times); Garoupa, Nuno (Cited 257 times)","University of Chicago Law Review, Vol. 82, Issue 1 (Winter 2015), pp. 135-158","University of Chicago Law Review, ",Vol.  82,1 (Winter 2015),135-158,82 U. Chi. L. Rev. 135 (2015),5,na,20,"Courts, Information Privacy, Criminal Law and Procedure, Education",9081
Penalty Enhancement for Hate Crimes: An Economic Analysis [article],Dhammika Dharmapala,"Dharmapala, Dhammika (Cited 89 times); Garoupa, Nuno (Cited 257 times)","American Law and Economics Review , Vol. 6, Issue 1 (Spring 2004), pp. 185-207","American Law and Economics Review , ",Vol.  6,1 (Spring 2004),185-207,Full Text Not Currently Available in HeinOnline,5,na,na,"Criminal Law and Procedure, Law and Society",9081
Bilateral Accidents with Intrinsically Interdependent Costs of Precaution [article],Dhammika Dharmapala,"Dharmapala, Dhammika (Cited 89 times); Hoffmann, Sandra A. (Cited 17 times)","Journal of Legal Studies, Vol. 34, Issue 1 (January 2005), pp. 239-272","Journal of Legal Studies, ",Vol.  34,1 (January 2005),239-272,34 J. Legal Stud. 239 (2005),5,na,5,"Accidents, Costs, Torts, Negligence, Liability",9081
"Punitive Police: Agency Costs, Law Enforcement, and Criminal Procedure [article]",Dhammika Dharmapala,"Dharmapala, Dhammika (Cited 89 times); Garoupa, Nuno (Cited 257 times); McAdams, Richard H. (Cited 2120 times)","Journal of Legal Studies, Vol. 45, Issue 1 (January 2016), pp. 105-142","Journal of Legal Studies, ",Vol.  45,1 (January 2016),105-142,Full Text Not Currently Available in HeinOnline,5,na,na,"Criminal Law and Procedure, Law Enforcement, Agency, Organizations, Banking, Wages",9081
"Belief in a Just World, Blaming the Victim, and Hate Crime Statutes [article]",Dhammika Dharmapala,"Dharmapala, Dhammika (Cited 89 times); Garoupa, Nuno (Cited 257 times); McAdams, Richard (Cited 2 times)","Review of Law and Economics, Vol. 5, Issue 1 (2009), pp. 311-346","Review of Law and Economics, ",Vol.  5,1 (2009),311-346,5 Rev. L & Econ. 311 (2009),2,na,18,"Criminal Law and Procedure, Hate Crimes, Juveniles, Minors, Parents, Law Enforcement and Corrections",9081
"Corporate Governance, Enforcement, and Firm Value: Evidence from India [article]",Dhammika Dharmapala,"Dharmapala, Dhammika (Cited 89 times); Khanna, Vikramaditya (Cited 506 times)","Journal of Law, Economics, and Organization, Vol. 29, Issue 5 (October 2013), pp. 1056-1084","Journal of Law, Economics, and Organization, ",Vol.  29,5 (October 2013),1056-1084,Full Text Not Currently Available in HeinOnline,1,na,na,"Evidence, Comparative Law, Corporations, Minority Shareholders",9081
Taxing the Bandit Kings,Dhammika Dharmapala,"Desai, Mihir A. (Cited 12 times); Dharmapala, Dhammika (Cited 89 times)",na,na,na,na,na,118 Yale L.J. F. 18,na,na,na,na,9081
International Spillovers from Proposed US Tax Reforms [article],Dhammika Dharmapala,"Dharmapala, Dhammika (Cited 89 times)","Australian Tax Forum, Vol. 33, Issue 1 (2018), pp. 79-100","Australian Tax Forum, ",Vol.  33,1 (2018),79-100,Full Text Not Currently Available in HeinOnline,na,na,na,"Economics, International Law, International Trade, Tax Policy, Corporations",9081
Tax Incentives for Affordable Housing: The Low Income Housing Tax Credit [article],Dhammika Dharmapala,"Desai, Mihir; Dharmapala, Dhammika (Cited 89 times); Singhal, Monica","Tax Policy and the Economy, Vol. 24, pp. 181-205","Tax Policy and the Economy, ",Vol.  24,na,181-205,24 Tax Pol'y & Econ. 181 (2010),na,na,16,"Affordable Housing, Credit, Housing, Tax Incentives, Property, Child Care",9081
