,Title,Paper Type,List Author,Author(s),Number of Authors,Journal,Journal,Vol,Issue,Issue Year,First Page,Last Page,BBCite,BBCite Year,Cited (articles),Cited (cases),Accessed,Topics,ID
18,McDougal-Lasswell Policy Science: Death and Transfiguration,article,Christopher J. Roederer,"Van Doren, Jack (Cited 15 times); Roederer, Christopher J. (Cited 90 times)",2,"Richmond Journal of Global Law and Business, Vol. 11, Issue 2 (Spring 2012), pp. 125-158",Richmond Journal of Global Law and Business,Vol.  11,2 (Spring 2012),2012,125,158,11 Rich. J. Global L. & Bus. 125 (2011-2012),2011,0,0,6,"Law and Society, Legal Education, International Law",7757
19,Free Speech on the Law School Campus: Is It the Hammer Or the Wrecking Ball That Speaks,article,Christopher J. Roederer,"Roederer, Christopher J. (Cited 90 times)",1,"University of St. Thomas Law Journal, Vol. 15, Issue 1 (2018), pp. 26-94",University of St. Thomas Law Journal,Vol.  15,1 (2018),2018,26,94,15 U. St. Thomas L.J. 26 (2018-2019),2018,0,0,0,,7757
0,Framing the Field of Law's Disciplinary Encounters: A Historical Narrative,article,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law & Society Review, Vol. 34, Issue 4 (2000), pp. 911-972",Law & Society Review,Vol.  34,4 (2000),2000,911,972,34 Law & Soc'y Rev. 911 (2000),2000,24,0,16,"Legal History, Research, Taxation-Federal Income, Law and Society",2329
1,"The New Deal, Collective Bargaining, and the Triumph of Indistrial Pluralism",article,Christopher L. Tomlins,"Tomlins, Christopher L. (Cited 137 times)",1,"Industrial and Labor Relations Review, Vol. 39, Issue 1 (October 1985), pp. 19-34",Industrial and Labor Relations Review,Vol.  39,1 (October 1985),1985,19,34,39 Indus. & Lab. Rel. Rev. 19 (1985-1986),1985,15,0,2,"Collective Bargaining, New Deal, Labor, Labor Law, Strikes",2329
2,The Presence and Absence of Legal Mind: A Comment on Duncan Kennedy's Three Globalizations,comments,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law and Contemporary Problems, Vol. 78, Issue 1 & 2 (2015), pp. 1-18",Law and Contemporary Problems,Vol.  78,1 & 2 (2015),2015,1,18,78 Law & Contemp. Probs. 1 (2015),2015,13,0,22,"Rule of Law, Economic Development, Agriculture Law",2329
3,"The Legal Cartography of Colonization, the Legal Polyphony of Settlement: English Intrusions on the American Mainland in the Seventeenth Century",article,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law & Social Inquiry , Vol. 26, Issue 2 (Spring 2001), pp. 315-372",Law & Social Inquiry ,Vol.  26,2 (Spring 2001),2001,315,372,26 Law & Soc. Inquiry 315 (2001),2001,10,0,6,"History, Legal History, Violence, Slavery, Futures",2329
4,"A Mysterious Power: Industrial Accidents and the Legal Construction of Employment Relations in Massachusetts, 1800-1850",article,Christopher L. Tomlins,"Tomlins, Christopher L. (Cited 137 times)",1,"Law and History Review, Vol. 6, Issue 2 (1988), pp. 375-438",Law and History Review,Vol.  6,2 (1988),1988,375,438,6 Law & Hist. Rev. 375 (1988),1988,10,0,5,"Accidents, Employment, Industrial Accidents, States, Supreme Court of the United States, Common Law",2329
5,What Is Left of the Law and Society Paradigm after Critique: Revisiting Gordon's Critical Legal Histories,comments,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law & Social Inquiry, Vol. 37, Issue 1 (Winter 2012), pp. 155-166",Law & Social Inquiry,Vol.  37,1 (Winter 2012),2012,155,166,37 Law & Soc. Inquiry 155 (2012),2012,9,0,16,"Law and Society, History, Legal History",2329
6,"History in the American Juridical Field: Narrative, Justification, and Explanation",article,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Yale Journal of Law & the Humanities, Vol. 16, Issue 2 (Summer 2004), pp. 323-398",Yale Journal of Law & the Humanities,Vol.  16,2 (Summer 2004),2004,323,398,16 Yale J.L. & Human. 323 (2004),2004,9,0,9,"History, Legal Profession, Sociology",2329
7,"In a Wilderness of Tigers: Violence, the Discourse of English Colonizing, and the Refusals of American History",article,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Theoretical Inquiries in Law, Vol. 4, Issue 2 (July 2003), pp. 451-490",Theoretical Inquiries in Law,Vol.  4,2 (July 2003),2003,451,490,4 Theoretical Inq. L. 451 (2003),2003,6,0,10,"Legal History, Slavery, Comparative Law, International Law",2329
8,In This Issue,notes,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law and Social Inquiry , Vol. 31, Issue 4 (Fall 2006), pp. 795-796",Law and Social Inquiry ,Vol.  31,4 (Fall 2006),2006,795,796,31 Law & Soc. Inquiry 795 (2006),2006,5,0,3,"Employment Practice, Jurisprudence, Law and Society, Criminal Law and Procedure, Evidence",2329
9,The Threepenny Constitution (and the Question of Justice),article,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Alabama Law Review, Vol. 58, Issue 5 (2007), pp. 979-1008",Alabama Law Review,Vol.  58,5 (2007),2007,979,1008,58 Ala. L. Rev. 979 (2007),2007,5,0,7,"Violence, Copyright, Libel, Remedies, Intellectual Property Law",2329
10,"Politics, Police, Past and Present: Larry Kramer's The People Themselves",article,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Chicago-Kent Law Review, Vol. 81, Issue 3 (2006), pp. 1007-1028",Chicago-Kent Law Review,Vol.  81,3 (2006),2006,1007,1028,81 Chi.-Kent L. Rev. 1007 (2006),2006,5,0,13,"Police, Politics, Constitutional Law, Judges, President/Executive Department",2329
11,American Legal History in Retrospect and Prospect: Reflections on the Twenty-fifth Anniversary of Morton Horwitz's Transformation of American Law,article,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law & Social Inquiry, Vol. 28, Issue 4 (Fall 2003), pp. 1135-1148",Law & Social Inquiry,Vol.  28,4 (Fall 2003),2003,1135,1148,28 Law & Soc. Inquiry 1135 (2003),2003,4,0,4,"History, Legal History, Common Law",2329
12,Whose Law: What Order: Historicist Interventions in the War against Crime,article,Christopher L. Tomlins,"Tomlins, Christopher L. (Cited 137 times)",1,"Law in Context: A Socio-Legal Journal, Vol. 3, pp. 130-147",Law in Context: A Socio-Legal Journal,Vol.  3,,,130,147,3 Law Context: A Socio-Legal J. 130 (1985),1985,4,0,3,"War, Criminology",2329
13,Transplants and Timing: Passages in the Creation of an Anglo-American Law of Slavery,article,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Theoretical Inquiries in Law, Vol. 10, Issue 2 (July 2009), pp. 389-422",Theoretical Inquiries in Law,Vol.  10,2 (July 2009),2009,389,422,10 Theoretical Inq. L. 389 (2009),2009,4,0,11,"Legal History, Slavery, Cuba, Race",2329
14,"The Consumption of History in the Legal Academy: Science and Synthesis, Perils and Prospects",comments,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Journal of Legal Education, Vol. 61, Issue 1 (August 2011), pp. 139-165",Journal of Legal Education,Vol.  61,1 (August 2011),2011,139,165,61 J. Legal Educ. 139 (2011-2012),2011,3,0,9,"History, Legal History, Biography",2329
15,Organic Poise: Capitalism as Law,article,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Buffalo Law Review, Vol. 64, Issue 1 (January 2016), pp. 61-80",Buffalo Law Review,Vol.  64,1 (January 2016),2016,61,80,64 Buff. L. Rev. 61 (2016),2016,2,0,18,"Democracy, Government, Socialism, States",2329
16,Animals Accurs'd: Ferae Naturae and the Law of Property in Nineteenth-Century North America,article,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"University of Toronto Law Journal, Vol. 63, Issue 1 (Winter 2013), pp. 35-52",University of Toronto Law Journal,Vol.  63,1 (Winter 2013),2013,35,52,63 U. Toronto L.J. 35 (2013),2013,2,0,5,"Animals, Property, Comparative Law, Judges, Legal History, Property Law",2329
17,The Heavy Burden of the State: Revisiting the History of Labor Law in the Interwar Period,article,Christopher L. Tomlins,"Tomlins, Christopher L. (Cited 137 times)",1,"Seattle University Law Review, Vol. 23, Issue 3 (Winter 2000), pp. 605-630",Seattle University Law Review,Vol.  23,3 (Winter 2000),2000,605,630,23 Seattle U. L. Rev. 605 (1999-2000),1999,2,0,6,"History, Labor, Labor Law, Education, High School, Teachers, Employees, Public Employees, Unions",2329
18,"Revolutionary Justice in Brecht, Conrad, and Blake",article,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law & Literature , Vol. 21, Issue 2 (Summer 2009), pp. 185-213",Law & Literature ,Vol.  21,2 (Summer 2009),2009,185,213,21 Law & Literature 185 (Summer 2009),2009,1,0,3,"History, Legal History, Literature, Trials",2329
19,Demonic Ambiguities: Enchantment and Disenchantment in Nat Turner's Virginia,article,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"UC Irvine Law Review, Vol. 4, Issue 1 (March 2014), pp. 175-202",UC Irvine Law Review,Vol.  4,1 (March 2014),2014,175,202,4 UC Irvine L. Rev. 175 (2014),2014,1,0,2,"Religion, Arts, Confessions, Violence",2329
20,"Bucking the Party Line: Calavita's Invitation to Law and Society (In Which the Author Is Invited to a Party Where He Encounters Many Old and Familiar Faces, Becomes Argumentative, Stays up too Late, and Finally Departs in Search of New Adventures)",comments,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law & Social Inquiry, Vol. 39, Issue 1 (Winter 2014), pp. 226-233",Law & Social Inquiry,Vol.  39,1 (Winter 2014),2014,226,233,39 Law & Soc. Inquiry 226 (2014),2014,1,0,0,"President/Executive Department, Criminal Law and Procedure, Evidence, Practice and Procedure",2329
21,"Law and, Law in, Law as: The Definition, Rejection and Recuperation of the Socio-Legal Enterprise",article,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law in Context: A Socio-Legal Journal, Vol. 29, Issue 2 (2013), pp. 137-164",Law in Context: A Socio-Legal Journal,Vol.  29,2 (2013),2013,137,164,29 Law Context: A Socio-Legal J. 137 (2013),2013,1,0,12,"Education, Legal Education, Sex, Violence, Schools, Sociological Jurisprudence",2329
22,What Would Langdell Have Thought - UC Irvine's New Law School and the Question of History,article,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"UC Irvine Law Review, Vol. 1, Issue 1 (2011), pp. 185-245",UC Irvine Law Review,Vol.  1,1 (2011),2011,185,245,1 UC Irvine L. Rev. 185 (2011),2011,0,0,16,"History, Jurisprudence, Public Policy, Securities, Contracts",2329
23,Law As... Theory and Practice in Legal History,article,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times); Comaroff, John (Cited 10 times)",2,"UC Irvine Law Review, Vol. 1, Issue 3 (2011), pp. 1039-1080",UC Irvine Law Review,Vol.  1,3 (2011),2011,1039,1080,1 UC Irvine L. Rev. 1039 (2011),2011,0,0,40,"Jurisprudence, Law and Society, Legal History, Comparative Law, International Law",2329
24,"Symposium Issue: Law As II, History as Interface for the Interdisciplinary Study of Law: Foreword",comments,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"UC Irvine Law Review, Vol. 4, Issue 1 (March 2014), pp. 1-18",UC Irvine Law Review,Vol.  4,1 (March 2014),2014,1,18,4 UC Irvine L. Rev. 1 (2014),2014,0,0,8,"Jurisprudence, Law and Society, Legal History, History",2329
25,Law as...III - Glossolalia: Toward a Minor (Historical) Jurisprudence: Foreword,comments,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"UC Irvine Law Review, Vol. 5, Issue 2 (June 2015), pp. 239-262",UC Irvine Law Review,Vol.  5,2 (June 2015),2015,239,262,5 UC Irvine L. Rev. 239 (2015),2015,0,0,14,"Jurisprudence, Law and Society, Legal History, Criminal Law and Procedure, Practice and Procedure",2329
26,In This Issue,notes,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law and Social Inquiry , Vol. 33, Issue 1 (Winter 2008), pp. 1-4",Law and Social Inquiry ,Vol.  33,1 (Winter 2008),2008,1,4,33 Law & Soc. Inquiry 1 (2008),2008,0,0,1,"Housing, Housing Law, Bonds, Communications Law, Comparative Law, Politics",2329
27,In This Issue,notes,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law and Social Inquiry , Vol. 33, Issue 2 (Spring 2008), pp. 291-294",Law and Social Inquiry ,Vol.  33,2 (Spring 2008),2008,291,294,33 Law & Soc. Inquiry 291 (2008),2008,0,0,0,"Employment Practice, Harassment, Sexual Harassment",2329
28,In This Issue,notes,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law and Social Inquiry , Vol. 33, Issue 3 (Summer 2008), pp. 575-578",Law and Social Inquiry ,Vol.  33,3 (Summer 2008),2008,575,578,33 Law & Soc. Inquiry 575 (2008),2008,0,0,1,"Comparative Law, Sex, Sexuality and the Law, Labor",2329
29,In This Issue,notes,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law and Social Inquiry , Vol. 33, Issue 4 (Fall 2008), pp. 849-852",Law and Social Inquiry ,Vol.  33,4 (Fall 2008),2008,849,852,33 Law & Soc. Inquiry 849 (2008),2008,0,0,3,"Comparative Law, Jurisprudence, Politics, Civil Rights, Legal Profession, Courts",2329
30,Re-Interpreting Blackstone's Commentaries: A Seminal Text in National and International Contexts,reviews,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Adelaide Law Review, Vol. 36, Issue 2 (2015), pp. 599-622",Adelaide Law Review,Vol.  36,2 (2015),2015,599,622,36 Adel. L. Rev. 599 (2015),2015,0,0,11,"Legal Analysis and Writing, Legal Education, Legal History, History, Schools, Biography, Jurisprudence",2329
31,The Speech of a Slave,article,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Insights on Law and Society, Vol. 13, Issue 2 (Winter 2013), pp. 20-23",Insights on Law and Society,Vol.  13,2 (Winter 2013),2013,20,23,13 Insights on L. & Soc'y 20 (2012-2013),2012,0,0,0,"Confessions, Arts, Religion",2329
32,Rights v. Conspiracy: A Sociological Essay on the History of Labour Law in the United States,reviews,Christopher L. Tomlins,"Tomlins, Christopher L. (Cited 137 times)",1,"Law in Context: A Socio-Legal Journal, Vol. 9, Issue 1 (1991), pp. 129-130",Law in Context: A Socio-Legal Journal,Vol.  9,1 (1991),1991,129,130,9 Law Context: A Socio-Legal J. 129 (1991),1991,0,0,2,"History, States, Environment, Human Rights, Jurisprudence, Labor, Labor Law",2329
33,Bonds of Citizenship: Law and the Labors of Emancipation,reviews,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law & Society Review, Vol. 48, Issue 1 (March 2014), pp. 233-235",Law & Society Review,Vol.  48,1 (March 2014),2014,233,235,48 Law & Soc'y Rev. 233 (2014),2014,0,0,0,"Bonds, Citizenship, Genocide, Internet, Natural Law, Politics",2329
34,In This Issue,notes,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law and History Review, Vol. 17, pp. [xi]-[xiv]",Law and History Review,Vol.  17,,,[xi],[xiv],17 Law & Hist. Rev. [xi] (1999),1999,0,0,0,"Comparative Law, Discipline, History, Legal History, Immigrants, Immigration Law, Law and Society",2329
35,In This Issue,notes,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law and History Review, Vol. 17, pp. [xxi]-[xxiv]",Law and History Review,Vol.  17,,,[xxi],[xxiv],17 Law & Hist. Rev. [xxi] (1999),1999,0,0,0,"Courts, Education, Legal Education, Science and Technology",2329
36,The H-Law Resource Page,notes,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law and History Review, Vol. 17, Issue 1 (Spring 1999), pp. 207-208",Law and History Review,Vol.  17,1 (Spring 1999),1999,207,208,17 Law & Hist. Rev. 207 (1999),1999,0,0,0,"Literature, Evidence, Internet, Commerce, Communications Law, Law Enforcement and Corrections, Privacy, Technology, Terrorism",2329
37,Engaging Willard Hurst: A Symposium,article,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law and History Review, Vol. 18, pp. [xiii]-[xviii]",Law and History Review,Vol.  18,,,[xiii],[xviii],18 Law & Hist. Rev. [xiii] (2000),2000,0,0,0,"Law and Society, States, Federalism, History, Jurisdiction, Legal History, Lumber",2329
38,In This Issue,notes,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law and History Review, Vol. 18, pp. [xix]-[xxii]",Law and History Review,Vol.  18,,,[xix],[xxii],18 Law & Hist. Rev. [xix] (2000),2000,0,0,0,"Criminal Procedure, Procedure, Criminal Law, Jurisdiction",2329
39,In This Issue,notes,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law and History Review, Vol. 18, pp. [xxiii]-[xxvi]",Law and History Review,Vol.  18,,,[xxiii],[xxvi],18 Law & Hist. Rev. [xxiii] (2000),2000,0,0,0,"Arbitration, Dispute Resolution, Equity, Contracts, Employment, Interpretation and Construction",2329
40,In This Issue,notes,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law and History Review, Vol. 19, pp. [xv]-[xviii]",Law and History Review,Vol.  19,,,[xv],[xviii],19 Law & Hist. Rev. [xv] (2001),2001,0,0,0,"Comparative Law, Criminal Law and Procedure, Judges, Military Law, Dispute Resolution",2329
41,In This Issue,notes,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law and History Review, Vol. 19, pp. [xix]-[xxii]",Law and History Review,Vol.  19,,,[xix],[xxii],19 Law & Hist. Rev. [xix] (2001),2001,0,0,0,"Jurisprudence, Law and Society, Comparative Law, Legal History",2329
42,In This Issue,notes,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law and History Review, Vol. 19, pp. [xxiii]-[xxvi]",Law and History Review,Vol.  19,,,[xxiii],[xxvi],19 Law & Hist. Rev. [xxiii] (2001),2001,0,0,0,"Citizenship, Immigrants, History, Regulation",2329
43,In This Issue,notes,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law and History Review, Vol. 20, pp. [xiii]-[xvi]",Law and History Review,Vol.  20,,,[xiii],[xvi],20 Law & Hist. Rev. [xiii] (2002),2002,0,0,0,"Indian Law, Ethics, Law and Society, Legal Ethics, Professional Ethics, Race, Covenants",2329
44,In This Issue,notes,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law and History Review, Vol. 20, pp. [xvii]-[xx]",Law and History Review,Vol.  20,,,[xvii],[xx],20 Law & Hist. Rev. [xvii] (2002),2002,0,0,0,"Labor Law, General, Israel, Labor, Freedom of Association",2329
45,In This Issue,notes,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law and History Review, Vol. 20, pp. [xxi]-[xxiv]",Law and History Review,Vol.  20,,,[xxi],[xxiv],20 Law & Hist. Rev. [xxi] (2002),2002,0,0,0,"Citizenship, Jury, Women, Labor, Constitutional Law, Federalism, Jurisdiction, Sex",2329
46,In This Issue,notes,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law and History Review, Vol. 21, pp. [xiii]-[xvi]",Law and History Review,Vol.  21,,,[xiii],[xvi],21 Law & Hist. Rev. [xiii] (2003),2003,0,0,0,"Politics, Criminal Law and Procedure, Legal History",2329
47,In This Issue,notes,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law and History Review, Vol. 21, pp. [xvii]-[xx]",Law and History Review,Vol.  21,,,[xvii],[xx],21 Law & Hist. Rev. [xvii] (2003),2003,0,0,0,"Economics, History, Legal History, Roman Law, Theft",2329
48,In This Issue,notes,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law and History Review, Vol. 21, pp. [xxi]-[xxiv]",Law and History Review,Vol.  21,,,[xxi],[xxiv],21 Law & Hist. Rev. [xxi] (2003),2003,0,0,0,"Boxing, Property, Women, Comparative Law, Domestic Relations, Law Enforcement and Corrections, Transportation, South Africa",2329
49,In This Issue,notes,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law and History Review, Vol. 22, pp. [v]-[viii]",Law and History Review,Vol.  22,,,[v],[viii],22 Law & Hist. Rev. [v] (2004),2004,0,0,0,"Interest, Second Amendment, Evidence, Regulation",2329
50,In This Issue,notes,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law and History Review, Vol. 22, pp. [xi]-[xiv]",Law and History Review,Vol.  22,,,[xi],[xiv],22 Law & Hist. Rev. [xi] (2004),2004,0,0,0,"Curriculum, Biography, Legal Education, Contracts",2329
51,In This Issue,notes,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law and History Review, Vol. 22, pp. [xix]-[xxii]",Law and History Review,Vol.  22,,,[xix],[xxii],22 Law & Hist. Rev. [xix] (2004),2004,0,0,0,"Human Rights Law, Legal Analysis and Writing, Law Reform, History",2329
52,In This Issue,notes,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law and History Review, Vol. 23, pp. vii-x",Law and History Review,Vol.  23,,,vii,x,23 Law & Hist. Rev. vii (2005),2005,0,0,0,"Comparative Law, Law and Society, Indian Law, International Law, Human Rights Law",2329
53,In This Issue,notes,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law and History Review, Vol. 23, pp. vii-x",Law and History Review,Vol.  23,,,vii,x,23 Law & Hist. Rev. vii (2005),2005,0,0,0,"Law Reform, Religion, Jurisprudence, Child Labor, Juveniles, Labor, Labor Law",2329
54,In This Issue,notes,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law and History Review, Vol. 23, pp. iii-vi",Law and History Review,Vol.  23,,,iii,vi,23 Law & Hist. Rev. iii (2005),2005,0,0,0,"Comparative Law, Criminal Law and Procedure, Constitutional Law",2329
55,From the Editor,comments,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law and History Review, Vol. 15, pp. [vi]-[vi]",Law and History Review,Vol.  15,,,[vi],[vi],15 Law & Hist Rev. [vi] (1997),1997,0,0,0,"Age, History, Legal History, Constitutions, Legal Writing",2329
56,In This Issue,notes,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law and History Review, Vol. 15, pp. [xii]-[xii]",Law and History Review,Vol.  15,,,[xii],[xii],15 Law & Hist Rev. [xii] (1997),1997,0,0,0,"Domestic Relations, Jurisprudence, Indian Law, International Law",2329
57,In This Issue,notes,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law and History Review, Vol. 16, pp. [xiv]-[xvi]",Law and History Review,Vol.  16,,,[xiv],[xvi],16 Law & Hist. Rev. [xiv] (1998),1998,0,0,0,"Comparative Law, Economics, Criminal Law and Procedure, Juveniles",2329
58,In This Issue,notes,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law and History Review, Vol. 16, pp. [xxv]-[xxvi]",Law and History Review,Vol.  16,,,[xxv],[xxvi],16 Law & Hist. Rev. [xxv] (1998),1998,0,0,0,"Jurisdiction, International Law, Politics, Jurisprudence",2329
59,"Walter Johnson, River of Dark Dreams: Slavery and Empire in the Cotton Kingdom",reviews,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law and History Review, Vol. 32, Issue 1 (February 2014), pp. 209-211",Law and History Review,Vol.  32,1 (February 2014),2014,209,211,32 Law & Hist. Rev. 209 (February 2014),2014,0,0,5,"Slavery, Religion, Civil Law",2329
60,Nat Turner and the Rising in Southampton County,reviews,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law and History Review, Vol. 33, Issue 3 (August 2015), pp. 747-749",Law and History Review,Vol.  33,3 (August 2015),2015,747,749,33 Law & Hist. Rev. 747 (2015),2015,0,0,4,"Confessions, Arts, Religion",2329
61,Law as IV: Minor Jurisprudence in Historical Key,comments,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law Text Culture, Vol. 21, pp. 1-29",Law Text Culture,Vol.  21,,,1,29,21 Law Text Culture 1 (2017),2017,0,0,20,"Jurisprudence, Law and Society",2329
62,The Confessions of Nat Turner: A Paratextual Analysis,article,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"law&history, Vol. 1, pp. 1-28",law&history,Vol.  1,,,1,28,1 law&history 1 (2014),2014,0,0,12,"Confessions, Arts, Religion",2329
63,Fierce and Critical Faith: A Remembrance of Penny Pether,article,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Villanova Law Review, Vol. 60, Issue 3 (2015), pp. 667-692",Villanova Law Review,Vol.  60,3 (2015),2015,667,692,60 Vill. L. Rev. 667 (2015),2015,0,0,4,"Jurisprudence, Rape, Sex Crimes, Biography",2329
64,"Archiving Sovereignty: Law, History, Violence",reviews,Christopher L. Tomlins,"Tomlins, Christopher (Cited 137 times)",1,"Law & Society Review, Vol. 53, Issue 2 (2019), pp. 611-613",Law & Society Review,Vol.  53,2 (2019),2019,611,613,,,0,0,0,,2329
0,The Enduring Ambivalence of Corporate Law,article,Christopher M. Bruner,"Bruner, Christopher M. (Cited 270 times)",1,"Alabama Law Review, Vol. 59, Issue 5 (2008), pp. 1385-1450",Alabama Law Review,Vol.  59,5 (2008),2008,1385,1450,59 Ala. L. Rev. 1385 (2007-2008),2007,70,0,13,"Corporations, History, Labor",4529
1,"Good Faith, State of Mind, and the Outer Boundaries of Director Liability in Corporate Law",article,Christopher M. Bruner,"Bruner, Christopher M. (Cited 270 times)",1,"Wake Forest Law Review, Vol. 41, Issue 4 (2006), pp. 1131-1190",Wake Forest Law Review,Vol.  41,4 (2006),2006,1131,1190,41 Wake Forest L. Rev. 1131 (2006),2006,43,0,23,"Boundaries, Corporate Officers, Corporations, Good Faith, Liability, Courts",4529
2,Corporate Governance Reform in a Time of Crisis,article,Christopher M. Bruner,"Bruner, Christopher M. (Cited 270 times)",1,"Journal of Corporation Law, Vol. 36, Issue 2 (Winter 2011), pp. 309-342",Journal of Corporation Law,Vol.  36,2 (Winter 2011),2011,309,342,36 J. Corp. L. 309 (2010-2011),2010,32,0,79,"Banking, Compensation, Equity, Comparative Law",4529
3,Hemispheric Integration and the Politics of Regionalism: The Free Trade Area of the Americas (FTAA),article,Christopher M. Bruner,"Bruner, Christopher M. (Cited 270 times)",1,"University of Miami Inter-American Law Review, Vol. 33, Issue 1 (Spring 2002), pp. 1-68",University of Miami Inter-American Law Review,Vol.  33,1 (Spring 2002),2002,1,68,33 U. Miami Inter-Am. L. Rev. 1 (2002),2002,27,0,5,"International Trade, Politics, Dispute Resolution, Planning and Zoning",4529
4,Power and Purpose in the Anglo-American Corporation,article,Christopher M. Bruner,"Bruner, Christopher M. (Cited 270 times)",1,"Virginia Journal of International Law, Vol. 50, Issue 3 (Spring 2010), pp. 579-654",Virginia Journal of International Law,Vol.  50,3 (Spring 2010),2010,579,654,50 Va. J. Int'l L. 579 (2009-2010),2009,24,0,19,"Comparative Law, Corporations, Politics, Regulation, Common Law, Securities, Social Welfare",4529
5,"States, Markets, and Gatekeepers: Public-Private Regulatory Regimes in an Area of Economic Globalization",article,Christopher M. Bruner,"Bruner, Christopher M. (Cited 270 times)",1,"Michigan Journal of International Law, Vol. 30, Issue 1 (Fall 2008), pp. 125-176",Michigan Journal of International Law,Vol.  30,1 (Fall 2008),2008,125,176,30 Mich. J. Int'l L. 125 (2008-2009),2008,17,0,47,"Administration Law, Administrative Agencies, Economics, Electronic Commerce, Globalization, States, Corporations, Soft Law, Rule of Law",4529
